committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,30G,202212079547368174,F3X,4120820221633584125,23,E867EE79B5F68242E74,1667214,PAC,POLITICAL ACTION COMMITTEE,C00147512,C00147512,CONGRESSIONAL BLACK CAUCUS PAC,WASHINGTON,DC,20033,CONGRESSIONAL BLACK CAUCUS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 2/25/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-11-03 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665459471,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547368174,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,30G,202212079547368175,F3X,4120820221633584125,23,270CD27048A257A6FAC,1667214,CCM,CAMPAIGN COMMITTEE,C00794727,C00794727,FOUSHEE FOR CONGRESS,CHAPEL HILL,NC,27516,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/28/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-11-03 00:00:00,-5000.00,H,HOUSE,04,H2NC06114,"FOUSHEE, VALERIE JEAN PAIGE",VALERIE,FOUSHEE,JEAN PAIGE,,,NC,NORTH CAROLINA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665459474,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547368175,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,30G,202212079547368175,F3X,4120820221633584125,23,52FE015B79B824D1755,1667214,PAC,POLITICAL ACTION COMMITTEE,C00755173,C00755173,HONOR COURAGE COMMITMENT PAC,SAN ANTONIO,TX,78248,HONOR COURAGE COMMITMENT PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 8/31/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-11-03 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665459475,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547368175,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,30G,202212079547368180,F3X,4120820221633584125,23,2ED93EA8864BD0DE58C,1667214,CCM,CAMPAIGN COMMITTEE,C00496075,C00496075,RAND PAUL FOR US SENATE,NEWPORT,KY,41072,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 1/30/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-11-03 00:00:00,-5000.00,S,SENATE,,S0KY00156,"PAUL, RAND HOWARD",RAND,PAUL,HOWARD,,,KY,KENTUCKY,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665459489,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547368180,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,30G,202212079547368180,F3X,4120820221633584125,23,5180FA30C10CF0058FC,1667214,PAC,POLITICAL ACTION COMMITTEE,C00764761,C00764761,START RISING PAC,RAYVILLE,LA,71269,START RISING PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 4/27/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-10-31 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665459491,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547368180,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2021,YE,202201319485490451,F3X,4013120221403741240,23,C4B6A76FC9A8F6D264B,1564190,PAC,POLITICAL ACTION COMMITTEE,C00542621,C00542621,MAPLE PAC,BURLINGTON,VT,05402,MAPLE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 11/19/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-31 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-08 03:37:06.021,4020720221405749018,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485490451,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2021,M2,202102199428642338,F3X,4022020211160321094,23,12711410C0590EF91C6,1500937,PAC,POLITICAL ACTION COMMITTEE,C00630285,C00630285,OC JOBS & EDUCATION,SACRAMENTO,CA,95834,OC JOBS & EDUCATION,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 9/24/2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-01-28 00:00:00,-5000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-27 03:52:24.775,4022720211190021262,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102199428642338,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2021,M2,202102199428642338,F3X,4022020211160321094,23,1B2452B8D6D608080E5,1500937,CCM,CAMPAIGN COMMITTEE,C00499467,C00499467,TITUS FOR CONGRESS,LAS VEGAS,NV,89170,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 10/15/2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-01-14 00:00:00,-5000.00,H,HOUSE,01,H8NV03036,"TITUS, ALICE C. DINA",ALICE,TITUS,C. DINA,,,NV,NEVADA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-27 03:52:24.776,4022720211190021264,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102199428642338,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2021,M5,202105209446991809,F3X,4052120211296776029,23,12A2589015BAEF613FA,1517097,CCM,CAMPAIGN COMMITTEE,C00765164,C00765164,ALEX PADILLA FOR SENATE,LOS ANGELES,CA,90017,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 3/25/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-04-28 00:00:00,-5000.00,S,SENATE,,S2CA00955,"PADILLA, ALEX",ALEX,PADILLA,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-21 05:01:39.06,4052120211296856085,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209446991809,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,M9,202209199528570714,F3X,4091920221576021314,23,9BF6846B8A3283295AE,1630620,PAC,POLITICAL ACTION COMMITTEE,C00617803,C00617803,"JOBS, EDUCATION, & FAMILIES FIRST  JEFF PAC",WASHINGTON,DC,20006,"JOBS, EDUCATION, & FAMILIES FIRST  JEFF PAC",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 4/27/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-08-09 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-21 03:35:58.656,4092020221576269884,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209199528570714,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,M10,202210199537570027,F3X,4101920221589125097,23,3DC9179A74F2F775DA5,1644224,CCM,CAMPAIGN COMMITTEE,C00805002,C00805002,FRIENDS OF ALLAN FUNG,CRANSTON,RI,02920,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 8/31/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-09-26 00:00:00,-5000.00,H,HOUSE,02,H2RI02226,"FUNG, ALLAN W.",ALLAN,FUNG,W.,,,RI,RHODE ISLAND,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-10-27 04:06:13,4102620221592308690,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210199537570027,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,M10,202210199537570028,F3X,4101920221589125097,23,F280A178D54C48AE1CF,1644224,CCM,CAMPAIGN COMMITTEE,C00803726,C00803726,FRIENDS OF JEREMY SHAFFER,GIBSONIA,PA,15044,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 8/31/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-09-26 00:00:00,-5000.00,H,HOUSE,17,H2PA17160,"SHAFFER, JEREMY",JEREMY,SHAFFER,,,,PA,PENNSYLVANIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-10-27 04:06:13,4102620221592308694,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210199537570028,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,M10,202210199537570039,F3X,4101920221589125097,23,A0C600F2B2C283433B0,1644224,PAC,POLITICAL ACTION COMMITTEE,C00521310,C00521310,THE LIBERTY FUND,VANCOUVER,WA,986681992,THE LIBERTY FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 4/27/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-09-12 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-10-27 04:06:13,4102620221592308726,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210199537570039,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,12G,202210259541649936,F3X,4102620221591747002,23,A1B3629C25254F7D08E,1649395,CCM,CAMPAIGN COMMITTEE,C00558437,C00558437,BONNIE WATSON COLEMAN FOR CONGRESS,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/28/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-10-12 00:00:00,-5000.00,H,HOUSE,12,H4NJ12149,"WATSON COLEMAN, BONNIE",BONNIE,WATSON COLEMAN,,,,NJ,NEW JERSEY,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-10-27 04:06:13,4102620221592309407,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210259541649936,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2021,M11,202111199468640995,F3X,4112020211378843212,23,C4880AAFEEF4F427C5E,1549287,PAC,POLITICAL ACTION COMMITTEE,C00445379,C00445379,MAKING AMERICA PROSPEROUS PAC,SPRINGFIELD,VA,221520485,MAKING AMERICA PROSPEROUS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 9/21/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-10-27 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-11-20 03:50:56.716,4112020211378945555,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202111199468640995,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00284885,THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE,2022,30G,202212079547368176,F3X,4120820221633584125,23,26C588CC7E874E8F3FE,1667214,PAC,POLITICAL ACTION COMMITTEE,C00701680,C00701680,HOPE PAC,BOULDER,CO,80306,HOPE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 4/27/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-11-03 00:00:00,-2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665459477,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547368176,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
