committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,30G,202212089547600119,F3X,4120820221633585391,23,B825099,1668732,CCM,CAMPAIGN COMMITTEE,C00492991,C00492991,BLUMENTHAL FOR CONNECTICUT,STAMFORD,CT,06905,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 08/10/22,2022-11-04 00:00:00,-5000.00,S,SENATE,,S0CT00177,"BLUMENTHAL, RICHARD",RICHARD,BLUMENTHAL,,,,CT,CONNECTICUT,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665463900,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547600119,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,YE,202302209578697120,F3X,4022020231732425249,23,B827855,1690278,CCM,CAMPAIGN COMMITTEE,C00797175,C00797175,BECCA BALINT FOR VERMONT,BURLINGTON,VT,05402,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 09/14/22,2022-11-29 00:00:00,-5000.00,H,HOUSE,,H2VT01076,"BALINT, REBECCA",REBECCA,BALINT,,,,VT,VERMONT,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-02-22 03:36:06,4022120231732519222,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202302209578697120,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,M3,202203189493995222,F3X,4031820221460873163,23,B806316,1574964,PAC,POLITICAL ACTION COMMITTEE,C00466201,C00466201,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,WASHINGTON,DC,20005,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 12/02/21,2022-02-08 00:00:00,-5000.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-19 03:35:18.061,4031820221460924170,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189493995222,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,M8,202208199525582930,F3X,4081920221565480409,23,B819383,1625853,CCM,CAMPAIGN COMMITTEE,C00368217,C00368217,CARL MARLINGA FOR CONGRESS,NEW BALTIMORE,MI,48047,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 05/25/22,2022-07-18 00:00:00,-5000.00,H,HOUSE,10,H2MI10077,"MARLINGA, CARL J",CARL,MARLINGA,J,,,MI,MICHIGAN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-21 03:35:37.177,4082020221565687925,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525582930,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,M8,202208199525582930,F3X,4081920221565480409,23,B819378,1625853,CCM,CAMPAIGN COMMITTEE,C00241562,C00241562,DONALD DAVIS FOR CONGRESS,DUNN,NC,28335,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 05/25/22,2022-07-19 00:00:00,-5000.00,H,HOUSE,02,,"DAVIS, DONALD",DONALD,DAVIS,,,,NC,NORTH CAROLINA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-21 03:35:37.177,4082020221565687926,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525582930,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,M9,202209209528745191,F3X,4092020221576068957,23,B805061,1631654,PTY,POLITICAL PARTY COMMITTEE,C00166710,C00166710,ARIZONA STATE DEMOCRATIC CENTRAL EXECUTIVE CMTE,PHOENIX,AZ,85012,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 12/02/21,2022-08-31 00:00:00,-5000.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-23 03:35:16.307,4092220221576550020,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528745191,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,M9,202209209528745191,F3X,4092020221576068957,23,B819211,1631654,CCM,CAMPAIGN COMMITTEE,C00725101,C00725101,CHRISTY SMITH FOR CONGRESS,VALENCIA,CA,91355,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 05/25/22,2022-08-31 00:00:00,-5000.00,H,HOUSE,25,H0CA25154,"SMITH, CHRISTY",CHRISTY,SMITH,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-23 03:35:16.307,4092220221576550021,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528745191,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,M9,202209209528745192,F3X,4092020221576068957,23,B805031,1631654,PTY,POLITICAL PARTY COMMITTEE,C00167015,C00167015,DEMOCRATIC PARTY OF ILLINOIS,CHICAGO,IL,60602,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 12/02/21,2022-08-31 00:00:00,-5000.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-23 03:35:16.308,4092220221576550022,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528745192,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,M9,202209209528745192,F3X,4092020221576068957,23,B805286,1631654,PTY,POLITICAL PARTY COMMITTEE,C00019331,C00019331,DEMOCRATIC PARTY OF WISCONSIN,MADISON,WI,53703,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 12/02/21,2022-08-31 00:00:00,-5000.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-23 03:35:16.308,4092220221576550023,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528745192,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,2022,M9,202209209528745192,F3X,4092020221576068957,23,B812470,1631654,PAC,POLITICAL ACTION COMMITTEE,C00569871,C00569871,DOING RIGHT-RESULTS ACTION UNITY LEADERSHIP PAC,PALM DESERT,CA,92261,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 03/08/22,2022-08-31 00:00:00,-5000.00,,,,,,,,,,,,,P2022,NOT APPLICABLE,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-23 03:35:16.308,4092220221576550024,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528745192,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,L,B
