committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2022,YE,202301319575242073,F3X,4013120231721276324,23,18894313,1683283,COM,OTHER COMMITTEE,,,NRSC LEGAL PROCEEDINGS FUND,WASHINGTON,DC,20039,,,,,VOID - NRSC LEGAL PROCEEDINGS FUND; REPORTED ON THE POST GENERAL REPORT,OTHER,,,VOID - NRSC LEGAL PROCEEDINGS FUND; REPORTED ON THE POST GENERAL REPORT,2022-12-02 00:00:00,-45000.00,,,,,,,,,,,,,,,,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-01 03:36:13,4013120231721626765,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575242073,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2022,30G,202212079547244263,F3X,4120720221633442647,23,18866650,1666644,PAC,POLITICAL ACTION COMMITTEE,C00617803,C00617803,"JOBS, EDUCATION & FAMILIES FIRST - JEFF PAC",WASHINGTON,DC,20008,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"VOID - JOBS, EDUCATION & FAMILIES FIRST - JEFF PAC; REPORTED ON MAY MONTHLY REPORT",CONTRIBUTIONS,,,"VOID - JOBS, EDUCATION & FAMILIES FIRST - JEFF PAC; REPORTED ON MAY MONTHLY REPORT",2022-11-01 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665460417,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547244263,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2021,M2,202102189428320115,F3X,4021920211158262083,23,18158400,1500603,PAC,POLITICAL ACTION COMMITTEE,C00525212,C00525212,VICTORY AND FREEDOM PAC (VAF PAC),WASHINGTON,DC,20006,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - VICTORY AND FREEDOM PAC (VAF PAC); CONTRIBUTION REPORTED ON OCTOBER 20TH REPORT,CONTRIBUTIONS,,,VOID - VICTORY AND FREEDOM PAC (VAF PAC); CONTRIBUTION REPORTED ON OCTOBER 20TH REPORT,2021-01-08 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-26 03:53:00.997,4022620211189800821,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102189428320115,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2021,M3,202103199441623471,F3X,4032020211261827069,23,18177850,1505160,PAC,POLITICAL ACTION COMMITTEE,C00489336,C00489336,WILD AND WONDERFUL PAC,WARRENTON,VA,20186,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - WILD AND WONDERFUL PAC; CONTRIBUTION REPORTED ON OCTOBER 20TH REPORT,CONTRIBUTIONS,,,VOID - WILD AND WONDERFUL PAC; CONTRIBUTION REPORTED ON OCTOBER 20TH REPORT,2021-02-04 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-20 03:52:25.313,4032020211261914854,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103199441623471,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2022,M3,202203199494037476,F3X,4031920221460944030,23,18599477,1575586,PAC,POLITICAL ACTION COMMITTEE,C00617803,C00617803,"JOBS, EDUCATION & FAMILIES FIRST - JEFF PAC",WASHINGTON,DC,20008,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"VOID - JOBS, EDUCATION & FAMILIES FIRST - JEFF PAC; REPORTED ON YEAR END MONTHLY REPORT",CONTRIBUTIONS,,,"VOID - JOBS, EDUCATION & FAMILIES FIRST - JEFF PAC; REPORTED ON YEAR END MONTHLY REPORT",2022-02-01 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-24 03:35:07.707,4032320221464065657,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203199494037476,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2022,M4,202204209500132123,F3X,4042020221470986558,23,18659656,1589266,CCM,CAMPAIGN COMMITTEE,C00371203,C00371203,JOHN CARTER FOR CONGRESS,ROUND ROCK,TX,78665,JOHN CARTER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - JOHN CARTER FOR CONGRESS; REPORTED ON MARCH MONTHLY REPORT,CONTRIBUTIONS,,,VOID - JOHN CARTER FOR CONGRESS; REPORTED ON MARCH MONTHLY REPORT,2022-03-22 00:00:00,-5000.00,H,HOUSE,31,H2TX31044,"CARTER, JOHN R. REP.",JOHN,CARTER,R.,REP.,,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:08.658,4050420221474456609,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500132123,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2021,M5,202105209447027668,F3X,4052120211296776297,23,18304113,1517396,CCM,CAMPAIGN COMMITTEE,C00547570,C00547570,PERDUE FOR SENATE,ATLANTA,GA,30355,PERDUE FOR SENATE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - PERDUE FOR SENATE; REPORTED ON YEAR END MONTHLY REPORT,CONTRIBUTIONS,,,VOID - PERDUE FOR SENATE; REPORTED ON YEAR END MONTHLY REPORT,2021-04-30 00:00:00,-5000.00,S,SENATE,,S4GA11285,"PERDUE, DAVID A. SEN.",DAVID,PERDUE,A.,SEN.,,GA,GEORGIA,P2000,RECOUNT FUND,PRIMARY,2000,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-22 04:57:21.558,4052220211297041112,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209447027668,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2022,M6,202206209515047855,F3X,4062020221530402247,23,18706304,1604157,PAC,POLITICAL ACTION COMMITTEE,C00493924,C00493924,RAND PAC,NEWPORT,KY,41072,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - RAND PAC REPORTED ON MAY MONTHLY REPORT,CONTRIBUTIONS,,,VOID - RAND PAC REPORTED ON MAY MONTHLY REPORT,2022-05-20 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:07.565,4062120221530600225,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209515047855,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2022,M7,202207209522341897,F3X,4072020221541753643,23,18721006,1618033,CCM,CAMPAIGN COMMITTEE,C00573949,C00573949,JOSH GOTTHEIMER FOR CONGRESS,RIDGEWOOD,NJ,07451,JOSH GOTTHEIMER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - JOSH GOTTHEIMER FOR CONGRESS REPORTED ON MAY MONTHLY REPORT,CONTRIBUTIONS,,,VOID - JOSH GOTTHEIMER FOR CONGRESS REPORTED ON MAY MONTHLY REPORT,2022-06-02 00:00:00,-5000.00,H,HOUSE,05,H6NJ05171,"GOTTHEIMER, JOSHUA S. REP.",JOSHUA,GOTTHEIMER,S.,REP.,,NJ,NEW JERSEY,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-30 03:35:28.386,4072920221553577687,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522341897,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109017,AT&T INC. EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE (AT&T EMPLOYEE FEDERAL PAC),2022,M7,202207209522341924,F3X,4072020221541753643,23,18752085,1618033,PAC,POLITICAL ACTION COMMITTEE,C00425470,C00425470,DEMOCRATS WIN SEATS (DWS PAC),GAITHERSBURG,MD,20883,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - DEMOCRATS WIN SEATS (DWS PAC); REPORTED ON DECEMBER REPORT,CONTRIBUTIONS,,,VOID - DEMOCRATS WIN SEATS (DWS PAC); REPORTED ON DECEMBER REPORT,2022-06-30 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-30 03:35:28.526,4072920221553577780,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522341924,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
