committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2022,M5,202205209512429448,F3X,4052020221492737209,23,7E8FA3D3141B6812CEE,1596198,PAC,POLITICAL ACTION COMMITTEE,C00409276,C00409276,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,BRENTWOOD,TN,37024,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 3/16/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-04-26 00:00:00,-2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-24 03:36:19.846,4052320221492939003,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512429448,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2022,M10,202210199537576672,F3X,4101920221589125190,23,A869175828E9A78A34E,1644332,CCM,CAMPAIGN COMMITTEE,C00561597,C00561597,GLENN GROTHMAN FOR CONGRESS,FOND DU LAC,WI,549641215,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 8/29/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-09-30 00:00:00,-2500.00,H,HOUSE,06,H4WI06048,"GROTHMAN, GLENN S.",GLENN,GROTHMAN,S.,,,WI,WISCONSIN,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-16 04:06:44,4111520221629530982,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210199537576672,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2022,M6,202206179515004265,F3X,4061720221530229469,23,B773CC1D775427272C2,1603318,CCM,CAMPAIGN COMMITTEE,C00540302,C00540302,TIM SCOTT FOR SENATE,CHARLESTON,SC,294075305,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-05-26 00:00:00,500.00,S,SENATE,,S4SC00240,"SCOTT, TIMOTHY EUGENE",TIMOTHY,SCOTT,EUGENE,,,SC,SOUTH CAROLINA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-24 03:35:10.176,4062320221531141344,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179515004265,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2021,M10,202110129467227297,F3X,4101320211373598037,23,AC058BDC9F228052262,1541710,CCM,CAMPAIGN COMMITTEE,C00575548,C00575548,CATHERINE CORTEZ-MASTO FOR SENATE,LAS VEGAS,NV,89139,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2021-09-23 00:00:00,500.00,S,SENATE,,S6NV00200,"CORTEZ MASTO, CATHERINE",CATHERINE,CORTEZ MASTO,,,,NV,NEVADA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-13 03:54:18.558,4101320211373659182,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110129467227297,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2021,M10,202110129467227300,F3X,4101320211373598037,23,472D5CD8E42493DA819,1541710,CCM,CAMPAIGN COMMITTEE,C00466482,C00466482,FAMILIES FOR JAMES LANKFORD,BETHANY,OK,730081639,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-09-23 00:00:00,500.00,S,SENATE,,S4OK00232,"LANKFORD, JAMES PAUL",JAMES,LANKFORD,PAUL,,,OK,OKLAHOMA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-13 03:54:18.559,4101320211373659190,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110129467227300,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2022,30G,202212089547511649,F3X,4120820221633584839,23,53690CDA0701C8CD88F,1668069,PAC,POLITICAL ACTION COMMITTEE,C00365270,C00365270,M-PAC,SEATTLE,WA,98104,M-PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-27 00:00:00,1000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,4010620231666408142,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547511649,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2022,YE,202301209574860399,F3X,4012020231717716056,23,13CFA2B2812AF7C3D01,1677533,PAC,POLITICAL ACTION COMMITTEE,C00363648,C00363648,FIRST STATE PAC,WASHINGTON,DC,20005,FIRST STATE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-08 00:00:00,1000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-21 03:36:20,4012020231718639446,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301209574860399,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2022,M3,202203189493994786,F3X,4031820221460873153,23,9E89CE22C946E7AE511,1574954,CCM,CAMPAIGN COMMITTEE,C00514893,C00514893,PEOPLE FOR DEREK KILMER,TACOMA,WA,98402,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-02-25 00:00:00,1000.00,H,HOUSE,06,H2WA06129,"KILMER, DEREK",DEREK,KILMER,,,,WA,WASHINGTON,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-19 03:35:16.021,4031820221460924068,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189493994786,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2022,M3,202203189493994786,F3X,4031820221460873153,23,41283313BC58E5E3C36,1574954,CCM,CAMPAIGN COMMITTEE,C00539866,C00539866,ROBIN KELLY FOR CONGRESS,CHICAGO,IL,60654,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-02-25 00:00:00,1000.00,H,HOUSE,02,H2IL02172,"KELLY, ROBIN LYNNE",ROBIN,KELLY,LYNNE,,,IL,ILLINOIS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-19 03:35:16.021,4031820221460924069,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189493994786,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00536573,ABBVIE POLITICAL ACTION COMMITTEE,2022,M4,202204209500103630,F3X,4042020221470986449,23,1FFD9CB2AC7CC311836,1589144,CCM,CAMPAIGN COMMITTEE,C00637371,C00637371,CHRISSY HOULAHAN FOR CONGRESS,DEVON,PA,19333,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-03-16 00:00:00,1000.00,H,HOUSE,06,H8PA06087,"HOULAHAN, CHRISTINA J.",CHRISTINA,HOULAHAN,J.,,,PA,PENNSYLVANIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:08.613,4050420221474456365,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500103630,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,H,,P
