committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,30G,202304249581264579,F3X,4042420231743716013,23,D63626C60780B585529,1702148,PAC,POLITICAL ACTION COMMITTEE,C00571182,C00571182,GETTING STUFF DONE PAC (GSD-PAC),PHOENIX,AZ,85011,GETTING STUFF DONE PAC (GSD-PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-28 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-04-29 03:35:57,4042820231745875517,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202304249581264579,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,M10,202304249581263884,F3X,4042420231743716011,23,9DF505D659CA5DA1DB1,1702146,CCM,CAMPAIGN COMMITTEE,C00458125,C00458125,JUDY CHU FOR CONGRESS,ENCINO,CA,91436,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-09-19 00:00:00,-3000.00,H,HOUSE,28,H0CA32101,"CHU, JUDY MAY",JUDY,CHU,MAY,,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-04-28 03:35:57,4042720231744922597,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202304249581263884,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,M2,202202159491742400,F3X,4021520221407704070,23,D7FD1C07B33239FEA77,1568985,CCM,CAMPAIGN COMMITTEE,C00467571,C00467571,"ANDY BARR FOR CONGRESS, INC.",LEXINGTON,KY,40588,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-01-19 00:00:00,-2500.00,H,HOUSE,06,H0KY06104,"BARR, ANDY H. IV",ANDY,BARR,H.,,IV,KY,KENTUCKY,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-18 03:36:11.507,4021720221409041106,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202159491742400,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,M2,202202159491742404,F3X,4021520221407704070,23,9CC23C76A8295A82FB2,1568985,CCM,CAMPAIGN COMMITTEE,C00434191,C00434191,HIMES FOR CONGRESS,FAIRFIELD,CT,06824,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-01-28 00:00:00,-2500.00,H,HOUSE,04,H8CT04172,"HIMES, JAMES ANDREW",JAMES,HIMES,ANDREW,,,CT,CONNECTICUT,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-18 03:36:11.507,4021720221409041118,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202159491742404,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,M2,202202159491742405,F3X,4021520221407704070,23,1CF8A42957E44F38450,1568985,CCM,CAMPAIGN COMMITTEE,C00395467,C00395467,JEFF FORTENBERRY FOR UNITED STATES CONGRESS,LINCOLN,NE,68503,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-01-19 00:00:00,-2500.00,H,HOUSE,01,H4NE01064,"FORTENBERRY, JEFFREY LANE",JEFFREY,FORTENBERRY,LANE,,,NE,NEBRASKA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-18 03:36:11.508,4021720221409041121,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202159491742405,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2021,M4,202104099443155733,F3X,4041020211276664037,23,7E4BE84B3D295F17740,1508863,PAC,POLITICAL ACTION COMMITTEE,C00445379,C00445379,MAKING AMERICA PROSPEROUS PAC,SPRINGFIELD,VA,221520485,MAKING AMERICA PROSPEROUS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-03-31 00:00:00,-2500.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-10 04:11:51.403,4041020211276984994,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104099443155733,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,M10,202304249581263889,F3X,4042420231743716011,23,AC69AAC4051F81B1D02,1702146,PAC,POLITICAL ACTION COMMITTEE,C00461723,C00461723,SAVE AMERICA PAC,BOISE,ID,837026049,SAVE AMERICA PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-09-19 00:00:00,-2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-04-28 03:35:57,4042720231744922611,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202304249581263889,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,30G,202304249581264575,F3X,4042420231743716013,23,3626D477FECA3C9EA9D,1702148,CCM,CAMPAIGN COMMITTEE,C00467571,C00467571,"ANDY BARR FOR CONGRESS, INC.",LEXINGTON,KY,40588,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-10-27 00:00:00,-2500.00,H,HOUSE,06,H0KY06104,"BARR, ANDY H. IV",ANDY,BARR,H.,,IV,KY,KENTUCKY,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-04-29 03:35:57,4042820231745875504,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202304249581264575,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,30G,202304249581264576,F3X,4042420231743716013,23,27DF049743DCCC47F0F,1702148,PAC,POLITICAL ACTION COMMITTEE,C00484402,C00484402,COUNTRY ROADS PAC,CHARLESTON,WV,25325,COUNTRY ROADS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-28 00:00:00,-2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-04-29 03:35:57,4042820231745875508,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202304249581264576,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,YE,202304249581265073,F3X,4042420231743716014,23,E9A85B970BD472F9357,1702149,CCM,CAMPAIGN COMMITTEE,C00781443,C00781443,BRITT FOR ALABAMA INC,MONTGOMERY,AL,36109,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-12-31 00:00:00,-2500.00,S,SENATE,,S2AL00145,"BRITT, KATIE BOYD",KATIE,BRITT,BOYD,,,AL,ALABAMA,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-04-29 03:35:57,4042820231745875535,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202304249581265073,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2021,M7,202107099451003128,F3X,4071020211320418122,23,5334110DC14C4979D9D,1523837,CCM,CAMPAIGN COMMITTEE,C00441352,C00441352,STIVERS FOR CONGRESS,COLUMBUS,OH,432208113,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-06-30 00:00:00,-2500.00,H,HOUSE,15,H8OH15076,"STIVERS, STEVE",STEVE,STIVERS,,,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-10 04:54:02.112,4071020211320446127,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107099451003128,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,M9,202209129528389557,F3X,4091220221575316007,23,F67F2A9E821FDD146BE,1629039,CCM,CAMPAIGN COMMITTEE,C00521948,C00521948,RODNEY FOR CONGRESS,TAYLORVILLE,IL,625680344,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-08-29 00:00:00,-2500.00,H,HOUSE,15,H2IL13120,"DAVIS, RODNEY LEE",RODNEY,DAVIS,LEE,,,IL,ILLINOIS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-13 03:35:58.609,4091220221575335757,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209129528389557,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2021,M11,202111119468487093,F3X,4111220211378308023,23,63E279551117AA635C4,1547873,CCM,CAMPAIGN COMMITTEE,C00556365,C00556365,KATKO FOR CONGRESS,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-10-11 00:00:00,-2500.00,H,HOUSE,24,H4NY24073,"KATKO, JOHN MICHAEL",JOHN,KATKO,MICHAEL,,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-11-13 03:52:07.239,4111320211378354046,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202111119468487093,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,YE,202304249581265073,F3X,4042420231743716014,23,417934B4A5D3B84FC37,1702149,CCM,CAMPAIGN COMMITTEE,C00466482,C00466482,FAMILIES FOR JAMES LANKFORD,BETHANY,OK,730081639,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-12-31 00:00:00,-2000.00,S,SENATE,,S4OK00232,"LANKFORD, JAMES PAUL",JAMES,LANKFORD,PAUL,,,OK,OKLAHOMA,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-04-29 03:35:57,4042820231745875536,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202304249581265073,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2021,M8,202108119466239947,F3X,4081320211325964024,23,70FAC7A074265C1C60E,1534376,CCM,CAMPAIGN COMMITTEE,C00330142,C00330142,LARSON FOR CONGRESS,HARTFORD,CT,061261172,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-07-31 00:00:00,-1500.00,H,HOUSE,01,H8CT01046,"LARSON, JOHN BARRY",JOHN,LARSON,BARRY,,,CT,CONNECTICUT,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-08-13 05:00:24.986,4081320211326567431,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202108119466239947,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2021,M10,202110209468103502,F3X,4102120211374312219,23,DC3E6BA5D01F8747684,1545803,CCM,CAMPAIGN COMMITTEE,C00706614,C00706614,TONY GONZALES FOR CONGRESS,SHAVANO PARK,TX,78231,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-09-20 00:00:00,-1500.00,H,HOUSE,23,H0TX35015,"GONZALES, TONY II",TONY,GONZALES,,,II,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-26 03:52:23.706,4102620211375768818,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468103502,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00034157,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),2022,M2,202202159491742405,F3X,4021520221407704070,23,2D2137F9A013EC20F35,1568985,CCM,CAMPAIGN COMMITTEE,C00434191,C00434191,HIMES FOR CONGRESS,FAIRFIELD,CT,06824,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-01-28 00:00:00,-1000.00,H,HOUSE,04,H8CT04172,"HIMES, JAMES ANDREW",JAMES,HIMES,ANDREW,,,CT,CONNECTICUT,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-18 03:36:11.508,4021720221409041119,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202159491742405,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
