committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2022,YE,202301309575168596,F3X,4013020231720908379,23,BF6D4D4B99A73B049F7,1682160,CCM,CAMPAIGN COMMITTEE,C00435974,C00435974,ANDY HARRIS FOR CONGRESS,STEVENSVILLE,MD,21666,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/28/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-08 00:00:00,-3000.00,H,HOUSE,01,H8MD01094,"HARRIS, ANDREW P.",ANDREW,HARRIS,P.,,,MD,MARYLAND,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-31 03:36:10,4013020231721244542,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301309575168596,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2022,M2,202202179491758834,F3X,4021720221408692166,23,62E36D61E998DAE4064,1569677,PAC,POLITICAL ACTION COMMITTEE,C00691162,C00691162,HOOSIER PAC,ZIONSVILLE,IN,460770159,HOOSIER PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 11/17/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-19 00:00:00,-2500.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-23 04:23:17.758,4022220221424203675,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202179491758834,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2022,M2,202202179491758836,F3X,4021720221408692166,23,3E43E6A01310681D65E,1569677,PAC,POLITICAL ACTION COMMITTEE,C00439398,C00439398,TEXAS FIRST PAC,LAREDO,TX,78040,TEXAS FIRST PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/22/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-19 00:00:00,-2500.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-23 04:23:17.758,4022220221424203681,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202179491758836,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2022,M8,202208189525535668,F3X,4081820221565084247,23,0AF809C07C9DC8F77A2,1625219,PAC,POLITICAL ACTION COMMITTEE,C00497073,C00497073,LOBO PAC,ALBUQUERQUE,NM,87125,LOBO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/21/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-07-26 00:00:00,-2500.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-20 03:36:13.575,4081920221565566289,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208189525535668,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2022,30G,202212089547605267,F3X,4120820221633585460,23,A6242E9A002751403CB,1668817,PAC,POLITICAL ACTION COMMITTEE,C00452763,C00452763,NEW SOUTH LEADERSHIP PAC,RALEIGH,NC,27603,NEW SOUTH LEADERSHIP PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/27/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-31 00:00:00,-1500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-10 04:06:09,4010920231666592727,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547605267,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2021,M6,202106119448938437,F3X,4061220211308294035,23,483D9E3D4BF9894008C,1519602,CCM,CAMPAIGN COMMITTEE,C00226522,C00226522,RICHARD E NEAL FOR CONGRESS COMMITTEE,SPRINGFIELD,MA,01108,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 2/24/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-05-07 00:00:00,-1500.00,H,HOUSE,01,H8MA02041,"NEAL, RICHARD EDMUND",RICHARD,NEAL,EDMUND,,,MA,MASSACHUSETTS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-06-12 04:55:32.243,4061220211308338479,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202106119448938437,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2022,30G,202212089547605267,F3X,4120820221633585460,23,D4330F073759340D4F0,1668817,CCM,CAMPAIGN COMMITTEE,C00540732,C00540732,SCHATZ FOR SENATE,HONOLULU,HI,96812,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/7/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-21 00:00:00,-1000.00,S,SENATE,,S4HI00136,"SCHATZ, BRIAN EMANUEL",BRIAN,SCHATZ,EMANUEL,,,HI,HAWAII,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-10 04:06:09,4010920231666592728,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547605267,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2022,YE,202301309575168596,F3X,4013020231720908379,23,463A057405FC7873C92,1682160,CCM,CAMPAIGN COMMITTEE,C00655332,C00655332,CLOUD FOR CONGRESS,VICTORIA,TX,77903,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 7/27/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-14 00:00:00,-1000.00,H,HOUSE,27,H8TX27049,"CLOUD, MICHAEL J.",MICHAEL,CLOUD,J.,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-31 03:36:10,4013020231721244544,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301309575168596,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2022,M4,202204139496090294,F3X,4041320221470641447,23,4FF0FFB26C02270104B,1581485,CCM,CAMPAIGN COMMITTEE,C00718635,C00718635,"TIFFANY FOR WISCONSIN, INC.",WAUSAU,WI,544021007,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/21/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-03-07 00:00:00,-1000.00,H,HOUSE,07,H0WI07101,"TIFFANY, THOMAS P.",THOMAS,TIFFANY,P.,,,WI,WISCONSIN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-21 03:34:56.356,4042020221471016016,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496090294,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00089136,"ALTRIA GROUP, INC. POLITICAL ACTION COMMITTEE (ALTRIAPAC)",2021,M5,202105209447000687,F3X,4052120211296776078,23,1888354B4B7902BB6CE,1517149,CCM,CAMPAIGN COMMITTEE,C00561597,C00561597,GLENN GROTHMAN FOR CONGRESS,FOND DU LAC,WI,549641215,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/27/2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-04-27 00:00:00,-1000.00,H,HOUSE,06,H4WI06048,"GROTHMAN, GLENN S.",GLENN,GROTHMAN,S.,,,WI,WISCONSIN,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-21 05:01:46.912,4052120211296857507,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209447000687,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
