committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,30G,202212089557189117,F3X,4120920221633755305,23,75C537A6E9352BCC1B6,1671411,CCM,CAMPAIGN COMMITTEE,C00289603,C00289603,LOFGREN FOR CONGRESS,SAN JOSE,CA,95126,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 8/8/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-10-31 00:00:00,-5000.00,H,HOUSE,18,H4CA16049,"LOFGREN, ZOE",ZOE,LOFGREN,,,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-18 06:21:38,4011720231699468279,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089557189117,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613393,F3X,4013120221403740388,23,FD3B74A7F738DB96897,1562724,CCM,CAMPAIGN COMMITTEE,C00670547,C00670547,ARMSTRONG FOR CONGRESS,BISMARCK,ND,58503,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/19/20 DISBURSEMENT,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-5000.00,H,HOUSE,01,H8ND00096,"ARMSTRONG, KELLY M.",KELLY,ARMSTRONG,M.,,,ND,NORTH DAKOTA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-03 03:34:07.853,4020220221404097787,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613393,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613447,F3X,4013120221403740388,23,565E693BAE7D9515B7B,1562724,PAC,POLITICAL ACTION COMMITTEE,C00459925,C00459925,MURPHPAC,WASHINGTON,DC,20003,MURPHPAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/17/20 DISBURSEMENT,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-5000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-03 03:34:13.622,4020220221404097949,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613447,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263330,F3X,4081120221563943055,23,AFFC0AE538597C902A1,1623070,PAC,POLITICAL ACTION COMMITTEE,C00631051,C00631051,ABRAHAM LINCOLN PAC,ATHENS,GA,30605,ABRAHAM LINCOLN PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/6/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-13 03:34:27.378,4081220221564732205,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263330,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263331,F3X,4081120221563943055,23,BB2C7AB192D6811E352,1623070,PAC,POLITICAL ACTION COMMITTEE,C00483487,C00483487,BRETTPAC-THE LEADERSHIP PAC OF U.S.REPRESENATIVE BRETT GUTHRIE,ELIZABETHTOWN,KY,427019168,BRETTPAC-THE LEADERSHIP PAC OF U.S.REPRESENATIVE BRETT GUTHRIE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/8/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-13 03:34:27.378,4081220221564732208,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263331,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263332,F3X,4081120221563943055,23,0F0CEE90E91B684609B,1623070,PAC,POLITICAL ACTION COMMITTEE,C00147512,C00147512,CONGRESSIONAL BLACK CAUCUS PAC,WASHINGTON,DC,20033,CONGRESSIONAL BLACK CAUCUS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 2/25/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-13 03:34:27.38,4081220221564732213,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263332,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263335,F3X,4081120221563943055,23,0065395B64892512378,1623070,PAC,POLITICAL ACTION COMMITTEE,C00657262,C00657262,GO PAC GO,ATHENS,GA,30605,GO PAC GO,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-13 03:34:27.38,4081220221564732220,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263335,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263336,F3X,4081120221563943055,23,F6D2A85AA5D813A114F,1623070,PAC,POLITICAL ACTION COMMITTEE,C00485540,C00485540,LEADERSHIP FOR AMERICA TODAY TOMORROW AND ALWAYS PAC,DUBLIN,OH,43017,LEADERSHIP FOR AMERICA TODAY TOMORROW AND ALWAYS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/8/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-13 03:34:27.382,4081220221564732223,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263336,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263337,F3X,4081120221563943055,23,2C5BD7E0B89FC300722,1623070,PAC,POLITICAL ACTION COMMITTEE,C00573493,C00573493,RESTORING OUR DEMOCRACY (ROD PAC),WASHINGTON,DC,200034016,RESTORING OUR DEMOCRACY (ROD PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-13 03:34:27.382,4081220221564732226,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263337,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263338,F3X,4081120221563943055,23,F59391B4C7A41201DF0,1623070,PAC,POLITICAL ACTION COMMITTEE,C00481531,C00481531,TEXAS REPUBLICANS UNITED POLITICAL ACTION COMMITTEE (TRU PAC),AUSTIN,TX,78701,TEXAS REPUBLICANS UNITED POLITICAL ACTION COMMITTEE (TRU PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/6/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-13 03:34:27.386,4081220221564732231,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263338,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263341,F3X,4081120221563943055,23,89F7744159D3254915A,1623070,PAC,POLITICAL ACTION COMMITTEE,C00706176,C00706176,YOUR OHIO REPUBLICAN TEAM,BETHESDA,MD,20824,YOUR OHIO REPUBLICAN TEAM,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/6/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-13 03:34:27.386,4081220221564732238,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263341,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,H,,P
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M9,202209199528517771,F3X,4091920221576021136,23,FE29E5AB7220E5E398B,1630409,CCM,CAMPAIGN COMMITTEE,C00392688,C00392688,"MCCAUL FOR CONGRESS, INC",AUSTIN,TX,78701,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-08-09 00:00:00,-3000.00,H,HOUSE,10,H4TX10093,"MCCAUL, MICHAEL THOMAS SR.",MICHAEL,MCCAUL,THOMAS,,SR.,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-20 03:36:13.908,4091920221576057152,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209199528517771,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613450,F3X,4013120221403740388,23,79C7EBF1FDD4C1BB322,1562724,CCM,CAMPAIGN COMMITTEE,C00226928,C00226928,PALLONE FOR CONGRESS,LONG BRANCH,NJ,07740,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/20/20 DISBURSEMENT,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-2500.00,H,HOUSE,06,H8NJ03073,"PALLONE, FRANK JR.",FRANK,PALLONE,,,JR.,NJ,NEW JERSEY,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-03 03:34:13.623,4020220221404097958,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613450,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
