committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,YE,202301269574980579,F3X,4012620231720554094,23,86612703,1679808,PAC,POLITICAL ACTION COMMITTEE,C00494302,C00494302,LEAD ENCOURAGE ELECT PAC,HUDSON,WI,54016,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - LEAD ENCOURAGE ELECT PAC - CHECK DATED 8/10/2022,CONTRIBUTIONS,,,VOID - LEAD ENCOURAGE ELECT PAC - CHECK DATED 8/10/2022,2022-12-07 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-27 12:26:32,4012620231720643003,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574980579,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,12G,202210279541722881,F3X,4102720221592347289,23,86331940,1651365,PAC,POLITICAL ACTION COMMITTEE,C00571182,C00571182,GETTING STUFF DONE PAC (GSD-PAC),PHOENIX,AZ,85011,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - GETTING STUFF DONE PAC - CHECK DATED 12/5/2018,CONTRIBUTIONS,,,VOID - GETTING STUFF DONE PAC - CHECK DATED 12/5/2018,2022-10-07 00:00:00,-5000.00,,,,S8AZ00197,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-24 04:07:09,4112320221630718518,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541722881,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,12G,202210279541722881,F3X,4102720221592347289,23,86331943,1651365,PAC,POLITICAL ACTION COMMITTEE,C00467431,C00467431,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,ARLINGTON,VA,22219,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE - CHECK DATED 9/25/2019,CONTRIBUTIONS,,,VOID - THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE - CHECK DATED 9/25/2019,2022-10-07 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-24 04:07:09,4112320221630718520,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541722881,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,12G,202210279541722882,F3X,4102720221592347289,23,86331954,1651365,PAC,POLITICAL ACTION COMMITTEE,C00021972,C00021972,PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA BETTER GOVERNMENT COMMITTEE,WASHINGTON,DC,20004,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA BETTER GOV'T COMM - CHECK DATED 11/27/2019,CONTRIBUTIONS,,,VOID - PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA BETTER GOV'T COMM - CHECK DATED 11/27/2019,2022-10-07 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-24 04:07:09,4112320221630718528,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541722882,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,12G,202210279541722883,F3X,4102720221592347289,23,86331965,1651365,PAC,POLITICAL ACTION COMMITTEE,C00021972,C00021972,PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA BETTER GOVERNMENT COMMITTEE,WASHINGTON,DC,20004,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA BETTER GOV'T COMM - CHECK DATED 8/18/2020,CONTRIBUTIONS,,,VOID - PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA BETTER GOV'T COMM - CHECK DATED 8/18/2020,2022-10-07 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-24 04:07:09,4112320221630718535,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541722883,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,12G,202210279541722885,F3X,4102720221592347289,23,86370821,1651365,CCM,CAMPAIGN COMMITTEE,C00781443,C00781443,BRITT FOR ALABAMA INC,MONTGOMERY,AL,36109,BRITT FOR ALABAMA INC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - BRITT FOR ALABAMA INC - CHECK DATED 9/27/2022,CONTRIBUTIONS,,,VOID - BRITT FOR ALABAMA INC - CHECK DATED 9/27/2022,2022-10-14 00:00:00,-5000.00,S,SENATE,,S2AL00145,"BRITT, KATIE BOYD",KATIE,BRITT,BOYD,,,AL,ALABAMA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-24 04:07:09,4112320221630718545,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541722885,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,M4,202204209500054847,F3X,4042020221470986093,23,85507687,1588685,CCM,CAMPAIGN COMMITTEE,C00477240,C00477240,MORGAN GRIFFITH FOR CONGRESS,CHRISTIANSBURG,VA,24068,MORGAN GRIFFITH FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - MORGAN GRIFFITH FOR CONGRESS - CHECK DATED 2/18/2022,CONTRIBUTIONS,,,VOID - MORGAN GRIFFITH FOR CONGRESS - CHECK DATED 2/18/2022,2022-03-24 00:00:00,-3500.00,H,HOUSE,09,H0VA09055,"GRIFFITH, MORGAN H. REP.",MORGAN,GRIFFITH,H.,REP.,,VA,VIRGINIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:08.531,4050420221474455938,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500054847,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,12G,202210279541722881,F3X,4102720221592347289,23,86331942,1651365,CCM,CAMPAIGN COMMITTEE,C00258855,C00258855,VOLUNTEERS FOR SHIMKUS,COLLINSVILLE,IL,62234,VOLUNTEERS FOR SHIMKUS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - VOLUNTEERS FOR SHIMKUS - CHECK DATED 9/6/2019,CONTRIBUTIONS,,,VOID - VOLUNTEERS FOR SHIMKUS - CHECK DATED 9/6/2019,2022-10-07 00:00:00,-3500.00,H,HOUSE,15,H2IL20042,"SHIMKUS, JOHN M. REP.",JOHN,SHIMKUS,M.,REP.,,IL,ILLINOIS,P2020,,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-24 04:07:09,4112320221630718519,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541722881,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2022,12G,202210279541722882,F3X,4102720221592347289,23,86331953,1651365,CCM,CAMPAIGN COMMITTEE,C00588392,C00588392,TODOS CON JENNIFFER INC. DBA JENNIFFER FOR CONGRESS,SAN JUAN,PR,00936,TODOS CON JENNIFFER INC. DBA JENNIFFER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - TODOS CON JENNIFFER INC. DBA JENNIFFER FOR CONGRESS - CHECK DATED 11/12/2019,CONTRIBUTIONS,,,VOID - TODOS CON JENNIFFER INC. DBA JENNIFFER FOR CONGRESS - CHECK DATED 11/12/2019,2022-10-07 00:00:00,-3500.00,H,HOUSE,00,H6PR00082,"GONZALEZ-COLON, JENNIFFER REP.",JENNIFFER,GONZALEZ-COLON,,REP.,,PR,PUERTO RICO,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-24 04:07:09,4112320221630718527,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541722882,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00251876,AMGEN INC. POLITICAL ACTION COMMITTEE,2021,YE,202201319475587232,F3X,4013120221403740200,23,85029616,1562440,COM,OTHER COMMITTEE,,,TEAM MARSHALL II,ALEXANDRIA,VA,22313,,,,,VOID - TEAM MARSHALL II - CHECK DATED 10/20/2021,OTHER,,,VOID - TEAM MARSHALL II - CHECK DATED 10/20/2021,2021-12-10 00:00:00,-2500.00,,,,,,,,,,,,,,,,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-10 03:50:39.245,4020920221406086813,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475587232,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
