committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2022,M4,202204199500039716,F3X,4041920221470943195,23,4C3FEE3D0BE8BC4CB78,1588304,PAC,POLITICAL ACTION COMMITTEE,C00409730,C00409730,NEW DEMOCRAT COALITION ACTION FUND,WASHINGTON,DC,20003,NEW DEMOCRAT COALITION ACTION FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION - UNCASHED 01/26/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-03-29 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-01 03:32:28.174,4043020221473682185,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204199500039716,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2022,M4,202204199500039717,F3X,4041920221470943195,23,3B710D156D552852F18,1588304,PAC,POLITICAL ACTION COMMITTEE,C00165159,C00165159,REPUBLICAN MAINSTREET PARTNERSHIP PAC,WASHINGTON,DC,20004,REPUBLICAN MAINSTREET PARTNERSHIP PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION - UNCASHED 01/26/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-03-29 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-01 03:32:28.174,4043020221473682189,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204199500039717,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2021,M8,202108209466364754,F3X,4082120211329731255,23,220C162430EDF838368,1535652,CCM,CAMPAIGN COMMITTEE,C00615294,C00615294,CITIZENS FOR JOHN RUTHERFORD,JACKSONVILLE,FL,322578210,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY - UNCASHED 05/28/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-07-13 00:00:00,-2500.00,H,HOUSE,04,H6FL04105,"RUTHERFORD, JOHN H.",JOHN,RUTHERFORD,H.,,,FL,FLORIDA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-08-21 04:56:38.725,4082120211329886053,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202108209466364754,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2022,M8,202208199525566540,F3X,4081920221565480312,23,54393E5969CA6D53D50,1625746,CCM,CAMPAIGN COMMITTEE,C00310532,C00310532,KAY GRANGER CAMPAIGN FUND,FORT WORTH,TX,761076547,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL - UNCASHED 04/25/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-07-18 00:00:00,-2500.00,H,HOUSE,12,H6TX12060,"GRANGER, KAY",KAY,GRANGER,,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-23 03:36:45.545,4082220221565839603,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525566540,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2022,M3,202203189494020543,F3X,4031820221460873476,23,0129E576B007A8F8680,1575322,CCM,CAMPAIGN COMMITTEE,C00373001,C00373001,CITIZENS FOR TURNER,DAYTON,OH,454021603,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL - UNCASHED 12/20/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-02-17 00:00:00,-2000.00,H,HOUSE,10,H2OH03067,"TURNER, MICHAEL R.",MICHAEL,TURNER,R.,,,OH,OHIO,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-24 03:35:10.85,4032320221464066554,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189494020543,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2021,YE,202201289475269864,F3X,4012820221403433190,23,32E3D571482BC1CF05D,1560628,CCM,CAMPAIGN COMMITTEE,C00376087,C00376087,MARIO DIAZ-BALART FOR CONGRESS,MIAMI,FL,331733512,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 09/27/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-03 00:00:00,-1500.00,H,HOUSE,25,H2FL25018,"DIAZ-BALART, MARIO RAFAEL",MARIO,DIAZ-BALART,RAFAEL,,,FL,FLORIDA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:57.171,4012820221403596117,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201289475269864,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2022,M2,202202189491795969,F3X,4021820221409065546,23,69C0C8AB596F2A3D3D5,1570604,CCM,CAMPAIGN COMMITTEE,C00376087,C00376087,MARIO DIAZ-BALART FOR CONGRESS,MIAMI,FL,331733512,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 11/29/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-10 00:00:00,-1500.00,H,HOUSE,25,H2FL25018,"DIAZ-BALART, MARIO RAFAEL",MARIO,DIAZ-BALART,RAFAEL,,,FL,FLORIDA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:35:51.261,4030320221454873439,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491795969,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2021,YE,202201289475269856,F3X,4012820221403433190,23,1C3EFB819013681ABC6,1560628,CCM,CAMPAIGN COMMITTEE,C00574640,C00574640,ANTHONY BROWN FOR CONGRESS,BOWIE,MD,20721,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/28/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-03 00:00:00,-1000.00,H,HOUSE,04,H6MD04209,"BROWN, ANTHONY GREGORY",ANTHONY,BROWN,GREGORY,,,MD,MARYLAND,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:57.168,4012820221403596091,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201289475269856,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2021,YE,202201289475269858,F3X,4012820221403433190,23,B4FA8738919D77F685D,1560628,CCM,CAMPAIGN COMMITTEE,C00445452,C00445452,CONNOLLY FOR CONGRESS,MERRIFIELD,VA,22116,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 09/27/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-03 00:00:00,-1000.00,H,HOUSE,11,H8VA11062,"CONNOLLY, GERALD E.",GERALD,CONNOLLY,E.,,,VA,VIRGINIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:57.169,4012820221403596099,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201289475269858,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00281212,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),2022,M2,202202189491795970,F3X,4021820221409065546,23,0B0447C14C61F0EF1AA,1570604,CCM,CAMPAIGN COMMITTEE,C00367862,C00367862,MIKE ROGERS FOR CONGRESS,ANNISTON,AL,36201,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 09/27/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-10 00:00:00,-1000.00,H,HOUSE,03,H2AL03032,"ROGERS, MICHAEL DENNIS",MICHAEL,ROGERS,DENNIS,,,AL,ALABAMA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:35:51.261,4030320221454873442,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491795970,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
