committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2021,M10,202110199468035902,F3X,4102020211374032269,23,B791951,1545537,PTY,POLITICAL PARTY COMMITTEE,C00000935,C00000935,DCCC,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 08/06/21,2021-09-17 00:00:00,-15000.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-22 03:56:28.103,4102220211374892093,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110199468035902,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2021,YE,202201319485310016,F3X,4013120221403740858,23,B799492,1563524,PAC,POLITICAL ACTION COMMITTEE,C00551853,C00551853,OORAH! PAC,WASHINGTON,DC,20016,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 10/22/21,2021-12-15 00:00:00,-5000.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-09 03:33:29.71,4020820221405952044,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485310016,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2021,M3,202103169440544540,F3X,4031720211261351070,23,B775245,1504286,CCM,CAMPAIGN COMMITTEE,C00394957,C00394957,SCALISE FOR CONGRESS,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 09/25/20,2021-02-18 00:00:00,-5000.00,H,HOUSE,01,H0LA01087,"SCALISE, STEVE",STEVE,SCALISE,,,,LA,LOUISIANA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-17 03:51:52.69,4031720211261406044,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103169440544540,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2022,30G,202212079547381452,F3X,4120820221633584157,23,B821866,1667253,PAC,POLITICAL ACTION COMMITTEE,C00691154,C00691154,BELIEVE IN AMERICA PAC,ALEXANDRIA,VA,22301,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 06/27/22,2022-11-15 00:00:00,-2500.00,,,,,,,,,,,,,P2022,NOT APPLICABLE,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-05 15:28:01,4010420231665462776,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547381452,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2022,M4,202204209500117507,F3X,4042020221470986537,23,B811337,1589244,CCM,CAMPAIGN COMMITTEE,C00653634,C00653634,VAN TAYLOR CAMPAIGN,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 02/23/22,2022-03-08 00:00:00,-2500.00,H,HOUSE,03,H6TX17069,"TAYLOR, VAN",VAN,TAYLOR,,,,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-29 03:36:32.267,4042820221473214141,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500117507,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2022,M7,202207209522218655,F3X,4072020221541753071,23,B799500,1617354,PAC,POLITICAL ACTION COMMITTEE,C00691154,C00691154,BELIEVE IN AMERICA PAC,ALEXANDRIA,VA,22301,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 10/22/21,2022-06-21 00:00:00,-2500.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:20.46,4072820221553304950,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522218655,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2022,M4,202204209500117509,F3X,4042020221470986537,23,B791849,1589244,CCM,CAMPAIGN COMMITTEE,C00466482,C00466482,FAMILIES FOR JAMES LANKFORD,WASHINGTON,DC,20036,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 07/30/21,2022-03-18 00:00:00,-2000.00,S,SENATE,,S4OK00232,"LANKFORD, JAMES",JAMES,LANKFORD,,,,OK,OKLAHOMA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-29 03:36:32.267,4042820221473214146,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500117509,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2022,M5,202205209512468329,F3X,4052020221492737412,23,B814278,1596422,CCM,CAMPAIGN COMMITTEE,C00704981,C00704981,MICHELLE STEEL FOR CONGRESS,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,RETURNED CHECK: ORIGINAL CHECK DATED 03/25/22,2022-04-11 00:00:00,-2000.00,H,HOUSE,45,H0CA48198,"STEEL, MICHELLE",MICHELLE,STEEL,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-24 03:37:33.418,4052320221492953026,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512468329,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2022,M6,202206159514910430,F3X,4061520221529752103,23,B816978,1602260,CCM,CAMPAIGN COMMITTEE,C00557652,C00557652,NORMA TORRES FOR CONGRESS,COVINA,CA,91722,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 04/26/22,2022-05-18 00:00:00,-2000.00,H,HOUSE,35,H4CA35031,"TORRES, NORMA",NORMA,TORRES,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-17 07:49:11.555,4061520221530208502,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206159514910430,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00235739,BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),2022,M7,202207209522218658,F3X,4072020221541753071,23,B795628,1617354,CCM,CAMPAIGN COMMITTEE,C00670034,C00670034,SHARICE FOR CONGRESS,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 09/22/21,2022-06-22 00:00:00,-2000.00,H,HOUSE,03,H8KS03155,"DAVIDS, SHARICE",SHARICE,DAVIDS,,,,KS,KANSAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:20.461,4072820221553304959,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522218658,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
