committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239931,F3X,4012820221403433014,23,ADE5AECAE05D0EA7CC8,1560362,PAC,POLITICAL ACTION COMMITTEE,C00391797,C00391797,DIRIGO PAC,ALEXANDRIA,VA,22313,DIRIGO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-07-31 00:00:00,-5000.00,,,,,,,,,,,,,G2020,CONTRIBUTION,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.566,4012820221403594979,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239931,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239944,F3X,4012820221403433014,23,B3B3B80A3E5258A6F6A,1560362,PAC,POLITICAL ACTION COMMITTEE,C00349233,C00349233,NEW MILLENNIUM PAC,PROVIDENCE,RI,02903,NEW MILLENNIUM PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2021 CONTRIBUTION - CHECK LOST/NEVER CLEARED,CONTRIBUTIONS,,,,2021-12-06 00:00:00,-5000.00,,,,,,,,,,,,,G2021,CONTRIBUTION,GENERAL,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.569,4012820221403595019,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239944,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239926,F3X,4012820221403433014,23,8CDEB6BF20DCA56BAFF,1560362,PAC,POLITICAL ACTION COMMITTEE,C00365536,C00365536,CHC BOLD PAC,WASHINGTON,DC,20033,CHC BOLD PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-10-28 00:00:00,-2500.00,,,,,,,,,,,,,G2021,CONTRIBUTION,GENERAL,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.566,4012820221403594966,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239926,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239928,F3X,4012820221403433014,23,2DB1AB58C2C11E3519E,1560362,PAC,POLITICAL ACTION COMMITTEE,C00147512,C00147512,CONGRESSIONAL BLACK CAUCUS PAC,WASHINGTON,DC,20013,CONGRESSIONAL BLACK CAUCUS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-2500.00,,,,,,,,,,,,,G2021,CONTRIBUTION,GENERAL,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.566,4012820221403594971,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239928,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239942,F3X,4012820221403433014,23,4194BECCAD94E834D04,1560362,CCM,CAMPAIGN COMMITTEE,C00554709,C00554709,MARK DESAULNIER FOR CONGRESS,WASHINGTON,DC,20006,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 GENERAL,CONTRIBUTIONS,,,,2021-07-31 00:00:00,-2500.00,H,HOUSE,11,H0CA10073,"DESAULNIER, MARK JAMES",MARK,DESAULNIER,JAMES,,,CA,CALIFORNIA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.569,4012820221403595013,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239942,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239937,F3X,4012820221403433014,23,6DEBE74F2D8C988472D,1560362,CCM,CAMPAIGN COMMITTEE,C00556365,C00556365,KATKO FOR CONGRESS,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 GENERAL,CONTRIBUTIONS,,,,2021-07-31 00:00:00,-2000.00,H,HOUSE,24,H4NY24073,"KATKO, JOHN MICHAEL",JOHN,KATKO,MICHAEL,,,NY,NEW YORK,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.567,4012820221403594999,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239937,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239923,F3X,4012820221403433014,23,D05D3C1709DAEC056A9,1560362,PAC,POLITICAL ACTION COMMITTEE,C00493700,C00493700,BLUE HEN FEDERAL PAC,WASHINGTON,DC,20003,BLUE HEN FEDERAL PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-07-31 00:00:00,-1500.00,,,,,,,,,,,,,G2020,CONTRIBUTION,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.491,4012820221403594957,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239923,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239931,F3X,4012820221403433014,23,BC261454E7EF8AC96A5,1560362,PAC,POLITICAL ACTION COMMITTEE,C00391797,C00391797,DIRIGO PAC,ALEXANDRIA,VA,22313,DIRIGO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-1500.00,,,,,,,,,,,,,G2021,CONTRIBUTION,GENERAL,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.566,4012820221403594980,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239931,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239932,F3X,4012820221403433014,23,DBEBBF202A41A71AD18,1560362,PAC,POLITICAL ACTION COMMITTEE,C00412791,C00412791,FORWARD TOGETHER PAC,ALEXANDRIA,VA,223146233,FORWARD TOGETHER PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-07-31 00:00:00,-1000.00,,,,,,,,,,,,,G2020,CONTRIBUTION,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.567,4012820221403594984,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239932,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00194746,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,2021,YE,202201279475239934,F3X,4012820221403433014,23,F655CE4129D2D96F6C6,1560362,CCM,CAMPAIGN COMMITTEE,C00729608,C00729608,GEORGIANS FOR KELLY LOEFFLER,ATLANTA,GA,30325,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 GENERAL,CONTRIBUTIONS,,,,2021-07-31 00:00:00,-1000.00,S,SENATE,,S0GA00526,"LOEFFLER, KELLY",KELLY,LOEFFLER,,,,GA,GEORGIA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:54.567,4012820221403594989,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475239934,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
