committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2022,M6,202206179514991584,F3X,4061720221530229310,23,BD5CF427B9B22ACBFF7,1603128,PAC,POLITICAL ACTION COMMITTEE,C00368696,C00368696,RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC),JACKSON,MS,392050054,RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 3/29/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-05-31 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.433,4062120221530603667,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179514991584,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2022,M6,202206179514991587,F3X,4061720221530229310,23,C57DDA8A349D6612305,1603128,PAC,POLITICAL ACTION COMMITTEE,C00461723,C00461723,SAVE AMERICA PAC,BOISE,ID,837026049,SAVE AMERICA PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 4/12/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-05-31 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.433,4062120221530603676,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179514991587,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2021,M9,202109209466765225,F3X,4092120211371134046,23,F46C4F57069544B3935,1538753,CCM,CAMPAIGN COMMITTEE,C00669358,C00669358,SCANLON FOR CONGRESS,SWARTHMORE,PA,19081,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/30/20 DISBURSEMENT,CONTRIBUTIONS,,,,2021-08-13 00:00:00,-5000.00,H,HOUSE,05,H8PA07200,"SCANLON, MARY GAY",MARY,SCANLON,GAY,,,PA,PENNSYLVANIA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-09-21 03:52:55.666,4092120211371242178,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466765225,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2022,M6,202206179514991569,F3X,4061720221530229310,23,9D0AB4D6F5D5E73B4A5,1603128,CCM,CAMPAIGN COMMITTEE,C00330142,C00330142,LARSON FOR CONGRESS,HARTFORD,CT,061261172,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 4/12/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-05-31 00:00:00,-2500.00,H,HOUSE,01,H8CT01046,"LARSON, JOHN BARRY",JOHN,LARSON,BARRY,,,CT,CONNECTICUT,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.425,4062120221530603621,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179514991569,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2022,M6,202206179514991585,F3X,4061720221530229310,23,8B07F7F8E9A11E1824E,1603128,CCM,CAMPAIGN COMMITTEE,C00504019,C00504019,RICK W. ALLEN FOR CONGRESS,AUGUSTA,GA,30903,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/1/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-05-31 00:00:00,-2000.00,H,HOUSE,12,H2GA12121,"ALLEN, RICHARD W.",RICHARD,ALLEN,W.,,,GA,GEORGIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.433,4062120221530603670,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179514991585,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2021,YE,202201279475238658,F3X,4012820221403433003,23,67F1FFDF7F7C1EC36C4,1560340,CCM,CAMPAIGN COMMITTEE,C00610212,C00610212,MIKE GALLAGHER FOR WISCONSIN,GREEN BAY,WI,54305,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 8/2/21 DISBURSEMENT,CONTRIBUTIONS,,,,2021-12-30 00:00:00,-1000.00,H,HOUSE,08,H6WI08155,"GALLAGHER, MICHAEL JOHN",MICHAEL,GALLAGHER,JOHN,,,WI,WISCONSIN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-29 03:34:48.394,4012820221403592501,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475238658,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2022,M4,202204199500029340,F3X,4041920221470943095,23,566FDC5441301857E13,1588183,CCM,CAMPAIGN COMMITTEE,C00574640,C00574640,ANTHONY BROWN FOR CONGRESS,BOWIE,MD,20721,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/1/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-03-30 00:00:00,-1000.00,H,HOUSE,04,H6MD04209,"BROWN, ANTHONY GREGORY",ANTHONY,BROWN,GREGORY,,,MD,MARYLAND,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:34:06.464,4042720221473043621,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204199500029340,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2022,M6,202206179514991563,F3X,4061720221530229310,23,A15060884E5C6646EF1,1603128,CCM,CAMPAIGN COMMITTEE,C00434191,C00434191,HIMES FOR CONGRESS,FAIRFIELD,CT,06824,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/28/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-05-31 00:00:00,-1000.00,H,HOUSE,04,H8CT04172,"HIMES, JAMES ANDREW",JAMES,HIMES,ANDREW,,,CT,CONNECTICUT,C2022,CONVENTION,CONVENTION,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.421,4062120221530603603,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179514991563,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2022,M6,202206179514991579,F3X,4061720221530229310,23,0F0DDF29851EF878663,1603128,CCM,CAMPAIGN COMMITTEE,C00498345,C00498345,MULLIN FOR AMERICA,MUSKOGEE,OK,74402,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 2/7/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-05-31 00:00:00,-1000.00,S,SENATE,,S2OK00186,"MULLIN, MARKWAYNE",MARKWAYNE,MULLIN,,,,OK,OKLAHOMA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.43,4062120221530603651,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179514991579,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00142711,THE BOEING COMPANY POLITICAL ACTION COMMITTEE,2022,M6,202206179514991579,F3X,4061720221530229310,23,59C6680DD7637AF5D94,1603128,CCM,CAMPAIGN COMMITTEE,C00730150,C00730150,NEHLS FOR CONGRESS,SUGAR LAND,TX,77496,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 2/7/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-05-31 00:00:00,-1000.00,H,HOUSE,22,H0TX22302,"NEHLS, TROY E.",TROY,NEHLS,E.,,,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.43,4062120221530603653,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179514991579,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
