committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2021,YE,202201319485747365,F3X,4013120221403741684,23,2AB598C6642013F8874,1564934,PAC,POLITICAL ACTION COMMITTEE,C00459925,C00459925,MURPHPAC,WASHINGTON,DC,20003,MURPHPAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/29/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-12 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-05 03:50:37.044,4020420221405001817,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485747365,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2021,YE,202201319485747366,F3X,4013120221403741684,23,B3499D4A48C8F75B791,1564934,PAC,POLITICAL ACTION COMMITTEE,C00452763,C00452763,NEW SOUTH LEADERSHIP PAC,RALEIGH,NC,27601,NEW SOUTH LEADERSHIP PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/27/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-14 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-05 03:50:37.044,4020420221405001819,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485747366,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2021,YE,202201319485747368,F3X,4013120221403741684,23,54BF947707708C85287,1564934,CCM,CAMPAIGN COMMITTEE,C00458463,C00458463,PORTMAN FOR SENATE COMMITTEE,DUBLIN,OH,430178914,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 5/17/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-12 00:00:00,-5000.00,S,SENATE,,S0OH00133,"PORTMAN, ROB J.",ROB,PORTMAN,J.,,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-05 03:50:37.044,4020420221405001825,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485747368,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2022,M6,202206179515006245,F3X,4061720221530229504,23,438E3F5412B25943A06,1603362,PAC,POLITICAL ACTION COMMITTEE,C00331694,C00331694,AMERICA WORKS FEDERAL PAC,WASHINGTON,DC,20003,AMERICA WORKS FEDERAL PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/29/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-16 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:34:20.248,4062120221530573336,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179515006245,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2022,M6,202206179515006263,F3X,4061720221530229504,23,843A0A48358A6D723D1,1603362,PAC,POLITICAL ACTION COMMITTEE,C00571000,C00571000,TRUE NORTH PAC,ALEXANDRIA,VA,22314,TRUE NORTH PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 11/30/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-16 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:34:20.262,4062120221530573392,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179515006263,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2022,M6,202206179515006264,F3X,4061720221530229504,23,0759CF5633B1976E9AB,1603362,CCM,CAMPAIGN COMMITTEE,C00200584,C00200584,UPTON FOR ALL OF US,SAINT JOSEPH,MI,490850490,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/27/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-16 00:00:00,-5000.00,H,HOUSE,06,H6MI04113,"UPTON, FREDERICK STEPHEN",FREDERICK,UPTON,STEPHEN,,,MI,MICHIGAN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:34:20.262,4062120221530573393,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179515006264,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2022,M8,202208169525407974,F3X,4081620221564846095,23,0AA249BCCD9E0870816,1624360,PAC,POLITICAL ACTION COMMITTEE,C00469429,C00469429,CMR POLITICAL ACTION COMMITTEE,SPRINGFIELD,VA,22152,CMR POLITICAL ACTION COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/29/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-07-11 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-18 03:37:34.823,4081720221565053595,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208169525407974,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2021,M12,202112209474470248,F3X,4122120211386231125,23,1B7BF9341D6BDB5267D,1552642,PAC,POLITICAL ACTION COMMITTEE,C00522425,C00522425,JET PAC,OTTAWA,IL,61350,JET PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 8/27/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-11-16 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-12-21 09:15:54.664,4122120211386317123,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202112209474470248,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2022,30G,202212079547208395,F3X,4120720221633442260,23,0EEB4825D1DDE152782,1666178,CCM,CAMPAIGN COMMITTEE,C00167585,C00167585,CITIZENS FOR WATERS,NORWALK,CA,90650,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 8/2/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-11-03 00:00:00,-2500.00,H,HOUSE,43,H4CA23011,"WATERS, MAXINE",MAXINE,WATERS,,,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-04 04:06:13,4010320231645678625,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547208395,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00426775,CHARTER COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE,2022,30G,202212079547208396,F3X,4120720221633442260,23,FBE5D0CBB603330AC23,1666178,CCM,CAMPAIGN COMMITTEE,C00279851,C00279851,FRIENDS OF BENNIE THOMPSON,BOLTON,MS,390410100,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/21/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-2500.00,H,HOUSE,02,H4MS02068,"THOMPSON, BENNIE G.",BENNIE,THOMPSON,G.,,,MS,MISSISSIPPI,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-04 04:06:13,4010320231645678627,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547208396,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
