committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2022,YE,202301319575508877,F3X,4013120231721277669,23,74F066EDE3FFAC9BEC5,1685357,PAC,POLITICAL ACTION COMMITTEE,C00326439,C00326439,HOUSE CONSERVATIVES FUND,ALEXANDRIA,VA,22314,HOUSE CONSERVATIVES FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-20 00:00:00,-5000.00,,,,,,,,,,,,,G2022,CONTRIBUTION,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-02 03:36:07,4020120231721959749,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575508877,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2022,YE,202301319575508880,F3X,4013120231721277669,23,88AA043FEA2D3C5654D,1685357,PAC,POLITICAL ACTION COMMITTEE,C00540054,C00540054,NEBRASKA SANDHILLS PAC,ALEXANDRIA,VA,22314,NEBRASKA SANDHILLS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-20 00:00:00,-5000.00,,,,,,,,,,,,,G2022,CONTRIBUTION,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-02 03:36:07,4020120231721959758,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575508880,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2022,30G,202301319575504968,F3X,4013120231721277634,23,ECA5298077223F8B334,1685297,CCM,CAMPAIGN COMMITTEE,C00725853,C00725853,BURGESS 4 UTAH,ATHENS,GA,30605,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL CONTRIBUTION,CONTRIBUTIONS,,,,2022-11-01 00:00:00,-5000.00,H,HOUSE,04,H0UT04076,"OWENS, BURGESS",BURGESS,OWENS,,,,UT,UTAH,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-02-14 03:36:06,4021320231725843432,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575504968,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2021,M2,202103209441678843,F3X,4032120211261928119,23,1EFF1840C45BBBD3DA6,1505727,PTY,POLITICAL PARTY COMMITTEE,C00038505,C00038505,NORTH CAROLINA REPUBLICAN PARTY,RALEIGH,NC,276051831,NORTH CAROLINA REPUBLICAN PARTY,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-01-12 00:00:00,-5000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2021-03-25 04:55:39.623,4032520211268620010,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103209441678843,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2021,M5,202105209446991373,F3X,4052120211296776024,23,D43DD335CBD79BE7884,1517092,PAC,POLITICAL ACTION COMMITTEE,C00351031,C00351031,ASIAN AMERICAN ACTION FUND,WASHINGTON,DC,20006,ASIAN AMERICAN ACTION FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-04-21 00:00:00,-5000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-22 04:57:18.175,4052220211297039535,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209446991373,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2021,M5,202105209446991384,F3X,4052120211296776024,23,01FB5CBC79527757FF3,1517092,PAC,POLITICAL ACTION COMMITTEE,C00349233,C00349233,NEW MILLENNIUM PAC,PROVIDENCE,RI,02903,NEW MILLENNIUM PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-04-21 00:00:00,-5000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-22 04:57:18.177,4052220211297039566,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209446991384,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2021,M10,202111199468761101,F3X,4112020211378843473,23,0762C8716D07C536778,1549580,PAC,POLITICAL ACTION COMMITTEE,C00235655,C00235655,BLUEGRASS COMMITTEE,ALEXANDRIA,VA,22314,BLUEGRASS COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-27 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2021-11-26 03:47:42.861,4112620211379936061,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202111199468761101,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2022,M8,202208209525710719,F3X,4082020221565600213,23,D99199624D84A9E4E4F,1626483,CCM,CAMPAIGN COMMITTEE,C00446815,C00446815,MCCLINTOCK FOR CONGRESS,GRANITE BAY,CA,95746,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY CONTRIBUTION,CONTRIBUTIONS,,,,2022-07-13 00:00:00,-3000.00,H,HOUSE,05,H8CA04152,"MCCLINTOCK, THOMAS M.",THOMAS,MCCLINTOCK,M.,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-24 03:35:59.974,4082320221565971550,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208209525710719,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2022,M2,202202209491843488,F3X,4022020221409176118,23,CAE758CB175D0AE6550,1571084,PAC,POLITICAL ACTION COMMITTEE,C00363648,C00363648,FIRST STATE PAC,WILMINGTON,DE,19804,FIRST STATE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-14 00:00:00,-2500.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:57:58.433,4030320221459494345,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202209491843488,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00248716,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,2022,M2,202202209491843492,F3X,4022020221409176118,23,8351164E88AA8BEB618,1571084,CCM,CAMPAIGN COMMITTEE,C00655613,C00655613,SUSIE LEE FOR CONGRESS,LAS VEGAS,NV,89148,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-21 00:00:00,-2500.00,H,HOUSE,03,H6NV04020,"LEE, SUSIE",SUSIE,LEE,,,,NV,NEVADA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:57:58.434,4030320221459494357,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202209491843492,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
