committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2022,30G,202212069547153889,F3X,4120620221633299244,23,B827278,1665239,CCM,CAMPAIGN COMMITTEE,C00301838,C00301838,STEVE CHABOT FOR CONGRESS,DUBLIN,OH,43017,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 09/06/2022,2022-10-21 00:00:00,-2500.00,H,HOUSE,01,H8OH01043,"CHABOT, STEVEN J",STEVEN,CHABOT,J,,,OH,OHIO,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-14 04:06:47,4121320221635205221,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212069547153889,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2022,M7,202207209522365587,F3X,4072020221541753668,23,B821944,1618060,CCM,CAMPAIGN COMMITTEE,C00330142,C00330142,LARSON FOR CONGRESS,HARTFORD,CT,06126,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-06-24 00:00:00,500.00,H,HOUSE,01,H8CT01046,"LARSON, JOHN B",JOHN,LARSON,B,,,CT,CONNECTICUT,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:10.569,4072820221553300069,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522365587,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2021,YE,202204209500136452,F3X,4042020221470986577,23,B795188,1589292,CCM,CAMPAIGN COMMITTEE,C00445452,C00445452,CONNOLLY FOR CONGRESS,MERRIFIELD,VA,22116,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-16 00:00:00,1000.00,H,HOUSE,11,H8VA11062,"CONNOLLY, GERRY",GERRY,CONNOLLY,,,,VA,VIRGINIA,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:33:49.783,4042720221473037728,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500136452,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2021,YE,202204209500136453,F3X,4042020221470986577,23,B795017,1589292,CCM,CAMPAIGN COMMITTEE,C00438713,C00438713,FRIENDS OF MARK WARNER,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-16 00:00:00,1000.00,S,SENATE,,S6VA00093,"WARNER, MARK",MARK,WARNER,,,,VA,VIRGINIA,P2026,,PRIMARY,2026,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:33:49.786,4042720221473037732,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500136453,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2021,YE,202204209500136455,F3X,4042020221470986577,23,B795003,1589292,CCM,CAMPAIGN COMMITTEE,C00344697,C00344697,LANGEVIN FOR CONGRESS,WARWICK,RI,02886,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-16 00:00:00,1000.00,H,HOUSE,02,H0RI02139,"LANGEVIN, JAMES",JAMES,LANGEVIN,,,,RI,RHODE ISLAND,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:33:49.786,4042720221473037737,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500136455,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2021,YE,202204209500136455,F3X,4042020221470986577,23,B795053,1589292,CCM,CAMPAIGN COMMITTEE,C00068353,C00068353,LEAHY FOR U.S. SENATOR COMMITTEE,MONTPELIER,VT,05601,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-16 00:00:00,1000.00,S,SENATE,,S4VT00017,"LEAHY, PATRICK J",PATRICK,LEAHY,J,,,VT,VERMONT,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:33:49.786,4042720221473037738,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500136455,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2021,YE,202204209500136456,F3X,4042020221470986577,23,B795191,1589292,CCM,CAMPAIGN COMMITTEE,C00514893,C00514893,PEOPLE FOR DEREK KILMER,TACOMA,WA,98402,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-16 00:00:00,1000.00,H,HOUSE,06,H2WA06129,"KILMER, DEREK",DEREK,KILMER,,,,WA,WASHINGTON,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:33:49.788,4042720221473037741,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500136456,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2021,YE,202204209500136458,F3X,4042020221470986577,23,B795042,1589292,CCM,CAMPAIGN COMMITTEE,C00657304,C00657304,STANTON FOR ARIZONA,PHOENIX,AZ,85018,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-16 00:00:00,1000.00,H,HOUSE,09,H8AZ09040,"STANTON, GREG",GREG,STANTON,,,,AZ,ARIZONA,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:33:49.788,4042720221473037746,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500136458,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2021,YE,202204209500136460,F3X,4042020221470986577,23,B795189,1589292,CCM,CAMPAIGN COMMITTEE,C00638023,C00638023,WEXTON FOR CONGRESS,STERLING,VA,20165,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-16 00:00:00,1000.00,H,HOUSE,10,H8VA10106,"WEXTON, JENNIFER",JENNIFER,WEXTON,,,,VA,VIRGINIA,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:33:49.79,4042720221473037752,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500136460,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00477653,COX ENTERPRISES PAC (COXPAC) INC.,2021,YE,202204209500136461,F3X,4042020221470986577,23,B795391,1589292,CCM,CAMPAIGN COMMITTEE,C00607200,C00607200,SUOZZI FOR CONGRESS,GLEN COVE,NY,11542,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-21 00:00:00,1000.00,H,HOUSE,03,H6NY03247,"SUOZZI, TOM",TOM,SUOZZI,,,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-04-28 03:33:49.79,4042720221473037756,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500136461,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
