committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2022,M4,202204209500061904,F3X,4042020221470986225,23,072EF566E6DB3021B65,1588849,PTY,POLITICAL PARTY COMMITTEE,C00042366,C00042366,DSCC,WASHINGTON,DC,20002,DSCC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"UNCASHED JANUARY 31, 2022 CONTRIBUTION",CONTRIBUTIONS,,,,2022-03-17 00:00:00,-15000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:08.592,4050420221474456249,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500061904,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2022,M6,202206209515037802,F3X,4062020221530402065,23,B85DC1E125202DA29FA,1603958,PAC,POLITICAL ACTION COMMITTEE,C00392738,C00392738,HOOPS PAC,PORTLAND,OR,97208,HOOPS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 8/02/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-02 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.498,4062120221530604118,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209515037802,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2022,M6,202206209515037810,F3X,4062020221530402065,23,DBFC4F61B0D18DB4D20,1603958,CCM,CAMPAIGN COMMITTEE,C00226522,C00226522,RICHARD E NEAL FOR CONGRESS COMMITTEE,SPRINGFIELD,MA,01108,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 11/02/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-05 00:00:00,-2500.00,H,HOUSE,01,H8MA02041,"NEAL, RICHARD EDMUND",RICHARD,NEAL,EDMUND,,,MA,MASSACHUSETTS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.501,4062120221530604141,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209515037810,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2022,30G,202212089547521782,F3X,4120820221633584876,23,B220B5C26666C2FEC8C,1668109,CCM,CAMPAIGN COMMITTEE,C00226522,C00226522,RICHARD E NEAL FOR CONGRESS COMMITTEE,SPRINGFIELD,MA,01108,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 6/22/2022 CHECK,CONTRIBUTIONS,,,,2022-10-31 00:00:00,-2000.00,H,HOUSE,01,H8MA02041,"NEAL, RICHARD EDMUND",RICHARD,NEAL,EDMUND,,,MA,MASSACHUSETTS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,4010620231666412503,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547521782,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2021,M2,202103209441676313,F3X,4032120211261928071,23,05F237E820F06A82738,1505666,PAC,POLITICAL ACTION COMMITTEE,C00458570,C00458570,A NEW DIRECTION PAC,WASHINGTON,DC,20033,A NEW DIRECTION PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,10/12/2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-01-18 00:00:00,-2000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-25 04:55:39.622,4032520211268620003,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103209441676313,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2022,M4,202204209500061907,F3X,4042020221470986225,23,3B043771B84562D3261,1588849,CCM,CAMPAIGN COMMITTEE,C00516666,C00516666,GRACE FOR NEW YORK,FRESH MEADOWS,NY,11365,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"UNCASHED NOVEMBER 2, 2021 CONTRIBUTION",CONTRIBUTIONS,,,,2022-03-02 00:00:00,-2000.00,H,HOUSE,06,H2NY06116,"MENG, GRACE",GRACE,MENG,,,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:08.594,4050420221474456256,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500061907,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2021,M3,202103209441676436,F3X,4032120211261928074,23,39B6A63FBCE723C6773,1505669,CCM,CAMPAIGN COMMITTEE,C00540732,C00540732,SCHATZ FOR SENATE,HONOLULU,HI,96812,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 11/13/2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-02-11 00:00:00,-1500.00,S,SENATE,,S4HI00136,"SCHATZ, BRIAN EMANUEL",BRIAN,SCHATZ,EMANUEL,,,HI,HAWAII,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-23 14:46:26.291,4032320211262032639,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103209441676436,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2022,M4,202204209500061910,F3X,4042020221470986225,23,955FDA69D0B442AA2B4,1588849,CCM,CAMPAIGN COMMITTEE,C00446906,C00446906,KURT SCHRADER FOR CONGRESS,OREGON CITY,OR,97045,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"UNCASHED DECEMBER 13, 2021 CONTRIBUTION",CONTRIBUTIONS,,,,2022-03-02 00:00:00,-1500.00,H,HOUSE,05,H8OR05107,"SCHRADER, KURT",KURT,SCHRADER,,,,OR,OREGON,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:08.595,4050420221474456265,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500061910,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2022,M6,202206209515037810,F3X,4062020221530402065,23,95CD6BE7EB43A3ED7FE,1603958,CCM,CAMPAIGN COMMITTEE,C00226522,C00226522,RICHARD E NEAL FOR CONGRESS COMMITTEE,SPRINGFIELD,MA,01108,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 11/02/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-05 00:00:00,-1000.00,H,HOUSE,01,H8MA02041,"NEAL, RICHARD EDMUND",RICHARD,NEAL,EDMUND,,,MA,MASSACHUSETTS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:19.501,4062120221530604142,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209515037810,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00340943,DAVITA INC. POLITICAL ACTION COMMITTEE (DAPAC),2022,M8,202209209528584691,F3X,4092020221576068209,23,9150ABA05BE92787C86,1630848,CCM,CAMPAIGN COMMITTEE,C00498345,C00498345,MULLIN FOR AMERICA,MUSKOGEE,OK,74402,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF UNCASHED 5/10/2022 CHECK,CONTRIBUTIONS,,,,2022-07-19 00:00:00,-1000.00,S,SENATE,,S2OK00186,"MULLIN, MARKWAYNE",MARKWAYNE,MULLIN,,,,OK,OKLAHOMA,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-09-22 03:35:40.499,4092120221576412183,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528584691,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
