committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00104802,DELTA AIR LINES PAC,2022,30G,202212089547844353,F3X,4120820221633586191,23,B9A9E9B13018A4A7086B,1669785,CCM,CAMPAIGN COMMITTEE,C00504019,C00504019,RICK W. ALLEN FOR CONGRESS,AUGUSTA,GA,30903,RICK W. ALLEN FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-10-24 00:00:00,-5000.00,H,HOUSE,12,H2GA12121,"ALLEN, RICK W.",RICK,ALLEN,W.,,,GA,GEORGIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-13 04:11:25,4011220231691119311,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547844353,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,YE,202301319575587178,F3X,4013120231721277763,23,BA4AC96241BA64444BA6,1685505,CCM,CAMPAIGN COMMITTEE,C00629659,C00629659,JIMMY GOMEZ FOR CONGRESS,LOS ANGELES,CA,90017,JIMMY GOMEZ FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,STOP PAYMENT - CHECK LOST,CONTRIBUTIONS,,,,2022-11-29 00:00:00,-4000.00,H,HOUSE,34,H8CA34266,"GOMEZ, JIMMY",JIMMY,GOMEZ,,,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-07 03:36:06,4020620231723344882,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575587178,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,M10,202210209541141346,F3X,4102020221589932933,23,BF981B423639B4E6E93F,1645774,CCM,CAMPAIGN COMMITTEE,C00629659,C00629659,JIMMY GOMEZ FOR CONGRESS,LOS ANGELES,CA,90017,JIMMY GOMEZ FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-09-23 00:00:00,-4000.00,H,HOUSE,34,H8CA34266,"GOMEZ, JIMMY",JIMMY,GOMEZ,,,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-19 04:06:21,4111820221630372491,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209541141346,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,M5,202205209512508286,F3X,4052020221492737775,23,B0E112720C8884E59BAA,1596859,CCM,CAMPAIGN COMMITTEE,C00607838,C00607838,DREW FERGUSON FOR CONGRESS INC.,WEST POINT,GA,30271,DREW FERGUSON FOR CONGRESS INC.,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2022-04-22 00:00:00,-2500.00,H,HOUSE,03,H6GA03113,"FERGUSON, DREW IV",DREW,FERGUSON,,,IV,GA,GEORGIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-26 03:34:37.155,4052520221493580401,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512508286,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,M8,202208199525640772,F3X,4081920221565480583,23,B1D3D861339944D79BE9,1626066,CCM,CAMPAIGN COMMITTEE,C00473371,C00473371,HOEVEN FOR SENATE,ARLINGTON,VA,58502,HOEVEN FOR SENATE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2022-07-05 00:00:00,-2500.00,S,SENATE,,S0ND00093,"HOEVEN, JOHN III",JOHN,HOEVEN,,,III,ND,NORTH DAKOTA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-24 03:36:05.865,4082320221565974054,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525640772,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,M9,202209209528776415,F3X,4092020221576069032,23,BA03C7E3F001D43949EB,1631733,CCM,CAMPAIGN COMMITTEE,C00725853,C00725853,BURGESS 4 UTAH,RIVERTON,UT,30605,BURGESS 4 UTAH,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED/LOST CHECK,CONTRIBUTIONS,,,,2022-08-04 00:00:00,-2500.00,H,HOUSE,04,H0UT04076,"OWENS, BURGESS",BURGESS,OWENS,,,,UT,UTAH,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-22 03:35:58.789,4092120221576421524,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528776415,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,M9,202209209528776417,F3X,4092020221576069032,23,BF8F2540AC0B8436FBD7,1631733,CCM,CAMPAIGN COMMITTEE,C00559393,C00559393,DAN NEWHOUSE FOR CONGRESS,YAKIMA,WA,989091949,DAN NEWHOUSE FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2022-08-10 00:00:00,-2500.00,H,HOUSE,04,H4WA04104,"NEWHOUSE, DAN",DAN,NEWHOUSE,,,,WA,WASHINGTON,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-22 03:35:58.789,4092120221576421529,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528776417,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2021,M9,202109209466763936,F3X,4092120211371134044,23,B31ADEA9C5BB24124AD8,1538751,CCM,CAMPAIGN COMMITTEE,C00573949,C00573949,JOSH GOTTHEIMER FOR CONGRESS,RIDGEWOOD,NJ,07451,JOSH GOTTHEIMER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,STOP PAYMENT - CHECK LOST,CONTRIBUTIONS,,,,2021-08-25 00:00:00,-2500.00,H,HOUSE,05,H6NJ05171,"GOTTHEIMER, JOSH",JOSH,GOTTHEIMER,,,,NJ,NEW JERSEY,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-09-22 03:52:40.593,4092220211371639613,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466763936,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2021,YE,202201319485627377,F3X,4013120221403741424,23,B465C3CDF3A614DF990D,1564518,PAC,POLITICAL ACTION COMMITTEE,C00573626,C00573626,LEE PAC,SHIRLEY,NY,11967,LEE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,STOP PAYMENT - CHECK LOST,CONTRIBUTIONS,,,,2021-12-22 00:00:00,-1500.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-15 03:34:36.283,4021420221407691334,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485627377,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2021,M11,202111199468710770,F3X,4112020211378843366,23,BEAA172F2140C40079E9,1549459,CCM,CAMPAIGN COMMITTEE,C00574889,C00574889,TAMMY FOR ILLINOIS,CHICAGO,IL,60610,TAMMY FOR ILLINOIS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2021-10-21 00:00:00,-1000.00,S,SENATE,,S6IL00292,"DUCKWORTH, TAMMY",TAMMY,DUCKWORTH,,,,IL,ILLINOIS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-11-24 03:49:58.084,4112420211379522721,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202111199468710770,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,M6,202206209515147941,F3X,4062020221530402531,23,B99AAC7F1AFBC493AAF1,1604468,CCM,CAMPAIGN COMMITTEE,C00509968,C00509968,CARTWRIGHT FOR CONGRESS,SCRANTON,PA,18501,CARTWRIGHT FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-05-12 00:00:00,500.00,H,HOUSE,08,H2PA17079,"CARTWRIGHT, MATT",MATT,CARTWRIGHT,,,,PA,PENNSYLVANIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-23 03:34:12.857,4062220221530771910,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209515147941,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,M7,202207209522373962,F3X,4072020221541753741,23,BC6A049CAE8E04B15BF3,1618148,CCM,CAMPAIGN COMMITTEE,C00735985,C00735985,CARLOS GIMENEZ FOR CONGRESS,MIAMI,FL,33174,CARLOS GIMENEZ FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-06-06 00:00:00,500.00,H,HOUSE,28,H0FL26036,"GIMENEZ, CARLOS",CARLOS,GIMENEZ,,,,FL,FLORIDA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-03 03:38:39.688,4080220221553897473,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522373962,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00104802,DELTA AIR LINES PAC,2022,30G,202212089547844350,F3X,4120820221633586191,23,B17BE741B65B74113A09,1669785,CCM,CAMPAIGN COMMITTEE,C00460055,C00460055,FREDERICA S. WILSON FOR CONGRESS,MIAMI GARDENS,FL,20003,FREDERICA S. WILSON FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-10-31 00:00:00,1000.00,H,HOUSE,24,H0FL17068,"WILSON, FREDERICA S.",FREDERICA,WILSON,S.,,,FL,FLORIDA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-13 04:11:25,4011220231691119301,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547844350,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
