committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2022,M4,202204209500147419,F3X,4042020221470986665,23,7C9F8B4B986163BA01E,1589394,CCM,CAMPAIGN COMMITTEE,C00412304,C00412304,MONTANANS FOR TESTER,HELENA,MT,59624,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2024 PRIMARY LOST CONTRIBUTION,CONTRIBUTIONS,,,,2022-03-15 00:00:00,-5000.00,S,SENATE,,S6MT00162,"TESTER, JON",JON,TESTER,,,,MT,MONTANA,P2024,,PRIMARY,2024,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-29 03:36:26.87,4042820221473212297,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500147419,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2022,M5,202205209512429166,F3X,4052020221492737207,23,4C6DAA87C0571E57E60,1596196,PAC,POLITICAL ACTION COMMITTEE,C00165159,C00165159,REPUBLICAN MAINSTREET PARTNERSHIP PAC,WASHINGTON,DC,20004,REPUBLICAN MAINSTREET PARTNERSHIP PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2021 LOST CONTRIBUTION,CONTRIBUTIONS,,,,2022-04-06 00:00:00,-5000.00,,,,,,,,,,,,,P,CONTRIBUTION,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-24 03:36:27.214,4052320221492939100,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512429166,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2022,M8,202208199525554385,F3X,4081920221565480218,23,3C5A50346FC9CB425DF,1625634,PAC,POLITICAL ACTION COMMITTEE,C00551853,C00551853,OORAH! POLITICAL ACTION COMMITTEE,CARMEL,IN,46082,OORAH! POLITICAL ACTION COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 RETURNED 5/18/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-07-01 00:00:00,-5000.00,,,,,,,,,,,,,P,CONTRIBUTION,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-23 03:36:17.746,4082220221565836305,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525554385,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2021,M10,202110209468054356,F3X,4102120211374312150,23,AE67F4F47E749F68764,1545723,CCM,CAMPAIGN COMMITTEE,C00575548,C00575548,CATHERINE CORTEZ MASTO FOR SENATE,LAS VEGAS,NV,89139,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL LOST CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-08 00:00:00,-5000.00,S,SENATE,,S6NV00200,"CORTEZ MASTO, CATHERINE",CATHERINE,CORTEZ MASTO,,,,NV,NEVADA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-23 03:53:58.494,4102320211375308187,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468054356,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2022,12G,202210279541938423,F3X,4102720221592348564,23,8E9C8A7E9B1DE13B4E4,1653247,CCM,CAMPAIGN COMMITTEE,C00795930,C00795930,DOCTOR OZ FOR SENATE,HUNTINGDON VALLEY,PA,19006,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL RETURNED CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-19 00:00:00,-5000.00,S,SENATE,,S2PA00638,"OZ, MEHMET",MEHMET,OZ,,,,PA,PENNSYLVANIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-30 04:06:22,4112920221631584498,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541938423,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2022,YE,202301319575347318,F3X,4013120231721276941,23,55A4968342EAEC2B074,1684230,PAC,POLITICAL ACTION COMMITTEE,C00387464,C00387464,ALAMO PAC,AUSTIN,TX,78701,ALAMO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 LOST CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-07 00:00:00,-2500.00,,,,,,,,,,,,,P,CONTRIBUTION,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722245610,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575347318,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2022,YE,202301319575347318,F3X,4013120231721276941,23,706EE634016DCAAE7FF,1684230,PAC,POLITICAL ACTION COMMITTEE,C00387464,C00387464,ALAMO PAC,AUSTIN,TX,78701,ALAMO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 LOST CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-07 00:00:00,-2500.00,,,,,,,,,,,,,P,CONTRIBUTION,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722245611,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575347318,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2022,YE,202301319575347319,F3X,4013120231721276941,23,340BD783B2CC55700A6,1684230,PAC,POLITICAL ACTION COMMITTEE,C00632323,C00632323,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),ALEXANDRIA,VA,22313,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 LOST CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-07 00:00:00,-2500.00,,,,,,,,,,,,,P,CONTRIBUTION,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722245613,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575347319,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2022,YE,202301319575347320,F3X,4013120231721276941,23,FC6977A115CE9808DC7,1684230,PAC,POLITICAL ACTION COMMITTEE,C00489336,C00489336,WILD AND WONDERFUL PAC,ARLINGTON,VA,22206,WILD AND WONDERFUL PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 LOST CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-08 00:00:00,-2500.00,,,,,,,,,,,,,P,CONTRIBUTION,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722245618,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575347320,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00197228,"ELEVANCE HEALTH, INC. POLITICAL ACTION COMMITTEE (ELEVANCE HEALTH PAC)",2021,YE,202201319485545222,F3X,4013120221403741304,23,53587FED44BACF79FF0,1564323,CCM,CAMPAIGN COMMITTEE,C00461061,C00461061,BERA FOR CONGRESS,ELK GROVE,CA,95758,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL LOST CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-30 00:00:00,-2500.00,H,HOUSE,07,H0CA03078,"BERA, AMERISH B.",AMERISH,BERA,B.,,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-10 03:50:39.232,4020920221406086628,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485545222,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
