committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2021,YE,202201319485150735,F3X,4013120221403740421,23,B445FCF5B474B4B62A83,1562792,PAC,POLITICAL ACTION COMMITTEE,C00344234,C00344234,PAC TO THE FUTURE,WASHINGTON,DC,20005,PAC TO THE FUTURE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CHECK LOST,CONTRIBUTIONS,,,,2021-12-22 00:00:00,-2500.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-11 03:33:51.969,4021020221406498893,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485150735,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2022,M4,202204139496083748,F3X,4041320221470641242,23,BEA2DF3310967443699E,1581187,PAC,POLITICAL ACTION COMMITTEE,C00680132,C00680132,JOINING IDEAS TO MOTIVATE MOVEMENT FOR YOU (JIMMY PAC),GAITHERSBURG,MD,208833142,JOINING IDEAS TO MOTIVATE MOVEMENT FOR YOU (JIMMY PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - OPERATING FUND / LPAC / (PANETTA) CA,CONTRIBUTIONS,,,,2022-03-25 00:00:00,-2500.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-14 10:59:50.879,4041320221470734983,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496083748,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2022,M4,202204139496083753,F3X,4041320221470641242,23,B30812E6A55CB4226BF7,1581187,PAC,POLITICAL ACTION COMMITTEE,C00542027,C00542027,BIG SKY OPPORTUNITY PAC,HELENA,MT,22314,BIG SKY OPPORTUNITY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - OPERATING FUND / LPAC / (DAINES) MT,CONTRIBUTIONS,,,,2022-03-25 00:00:00,-2500.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-14 10:59:50.881,4041320221470734997,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496083753,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2022,M4,202204139496083753,F3X,4041320221470641242,23,B7CDE64EF7B0F4F38AA0,1581187,PAC,POLITICAL ACTION COMMITTEE,C00517235,C00517235,TURQUOISE PAC,WASHINGTON,DC,20003,TURQUOISE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - OPERATING FUND / L-PAC (LUJAN) NM,CONTRIBUTIONS,,,,2022-03-25 00:00:00,-2500.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-14 10:59:50.881,4041320221470734999,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496083753,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2021,M5,202105079446373056,F3X,4050820211287135101,23,B01D3858C3F1447F2912,1515500,PAC,POLITICAL ACTION COMMITTEE,C00635219,C00635219,DAVID PAC,WASHINGTON,DC,20003,DAVID PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2021-04-05 00:00:00,-2500.00,,,,,,,,,,,,,P2020,OTHER,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-11 04:52:53.561,4051120211292802553,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105079446373056,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2022,M4,202204139496083755,F3X,4041320221470641242,23,BCA8C24987AA54EFEB64,1581187,PAC,POLITICAL ACTION COMMITTEE,C00635219,C00635219,DAVID PAC,WASHINGTON,DC,20003,DAVID PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - OPERATING FUND / LPAC / (KUSTOFF) TN,CONTRIBUTIONS,,,,2022-03-25 00:00:00,-1500.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-14 10:59:50.883,4041320221470735005,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496083755,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2021,YE,202201319485150738,F3X,4013120221403740421,23,B4044C92F1B6D4DD7892,1562792,PAC,POLITICAL ACTION COMMITTEE,C00398750,C00398750,NEW PAC (C00398750),VISALIA,CA,932907480,NEW PAC (C00398750),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2021-12-14 00:00:00,-1000.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-11 03:33:51.969,4021020221406498900,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485150738,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2022,M4,202204139496083738,F3X,4041320221470641242,23,B891B515D3328441DA20,1581187,CCM,CAMPAIGN COMMITTEE,C00376665,C00376665,COOPER FOR CONGRESS,NASHVILLE,TN,37219,COOPER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2022-03-29 00:00:00,-1000.00,H,HOUSE,05,H2TN05131,"COOPER, JIM",JIM,COOPER,,,,TN,TENNESSEE,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-14 10:59:50.875,4041320221470734954,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496083738,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2021,M5,202105079446373058,F3X,4050820211287135101,23,BF270BEC3483B46B9B0E,1515500,PAC,POLITICAL ACTION COMMITTEE,C00417493,C00417493,PROGRESSIVE AMERICANS FOR DEMOCRACY,EUGENE,OR,97402,PROGRESSIVE AMERICANS FOR DEMOCRACY,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2021-04-05 00:00:00,-1000.00,,,,,,,,,,,,,P2020,OTHER,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-11 04:52:53.561,4051120211292802557,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105079446373058,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00068692,FEDEX CORPORATION POLITICAL ACTION COMMITTEE,2022,M5,202205169512363994,F3X,4051620221486556078,23,B671EB3927E6444E1887,1594620,PAC,POLITICAL ACTION COMMITTEE,C00461723,C00461723,SAVE AMERICA PAC (C00461723),BOISE,ID,837026049,SAVE AMERICA PAC (C00461723),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED CHECK,CONTRIBUTIONS,,,,2022-04-25 00:00:00,-1000.00,,,,,,,,,,,,,P2022,OTHER,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-17 13:56:40.39,4051620221486615297,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205169512363994,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
