committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,M2,202202189491782735,F3X,4021820221409065324,23,85176915,1570334,PAC,POLITICAL ACTION COMMITTEE,C00296640,C00296640,REPUBLICAN MAJORITY FUND,WASHINGTON,DC,20001,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - REPUBLICAN MAJORITY FUND,CONTRIBUTIONS,,,VOID - REPUBLICAN MAJORITY FUND,2022-01-12 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:42:49.325,4030320221459481546,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491782735,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,M4,202204159496323733,F3X,4041520221470815490,23,85005298,1584041,CCM,CAMPAIGN COMMITTEE,C00371302,C00371302,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,LAREDO,TX,78040,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,CONTRIBUTIONS,X,,RE-DESIGNATION ON 03/24/2022,2022-03-24 00:00:00,-5000.00,H,HOUSE,28,H2TX23082,"CUELLAR, HENRY REP.",HENRY,CUELLAR,,REP.,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-21 03:34:56.359,4042020221471016021,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204159496323733,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2021,M5,202105189446924582,F3X,4051920211294803015,23,83911661,1516581,PAC,POLITICAL ACTION COMMITTEE,C00376038,C00376038,HELP AMERICA'S LEADERS PAC (HALPAC),WASHINGTON,DC,20001,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - HELP AMERICA'S LEADERS PAC (HALPAC),CONTRIBUTIONS,,,VOID - HELP AMERICA'S LEADERS PAC (HALPAC),2021-04-19 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-19 04:55:06.4,4051920211294836955,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105189446924582,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2021,M5,202105189446924585,F3X,4051920211294803015,23,83937057,1516581,CCM,CAMPAIGN COMMITTEE,C00373001,C00373001,CITIZENS FOR TURNER,DAYTON,OH,45402,CITIZENS FOR TURNER,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CITIZENS FOR TURNER,CONTRIBUTIONS,,,VOID - CITIZENS FOR TURNER,2021-04-26 00:00:00,-5000.00,H,HOUSE,10,H2OH03067,"TURNER, MICHAEL R. REP.",MICHAEL,TURNER,R.,REP.,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-19 04:55:06.401,4051920211294836965,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105189446924585,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2021,M7,202107209451782600,F3X,4072120211321224319,23,84128929,1529153,CCM,CAMPAIGN COMMITTEE,C00441352,C00441352,STIVERS FOR CONGRESS,COLUMBUS,OH,43220,STIVERS FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - STIVERS FOR CONGRESS,CONTRIBUTIONS,,,VOID - STIVERS FOR CONGRESS,2021-06-03 00:00:00,-5000.00,H,HOUSE,15,H8OH15076,"STIVERS, STEVE REP.",STEVE,STIVERS,,REP.,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-27 07:01:39.773,4072720211322947912,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107209451782600,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,M8,202208179525476073,F3X,4081720221564969100,23,86046302,1624608,PAC,POLITICAL ACTION COMMITTEE,C00571000,C00571000,TRUE NORTH PAC,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - TRUE NORTH PAC,CONTRIBUTIONS,,,VOID - TRUE NORTH PAC,2022-07-26 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-18 03:37:34.86,4081720221565053819,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208179525476073,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2021,M2,202102189428318626,F3X,4021920211158262023,23,83437887,1500528,CCM,CAMPAIGN COMMITTEE,C00532465,C00532465,ROUNDS FOR SENATE,PIERRE,SD,57501,ROUNDS FOR SENATE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - ROUNDS FOR SENATE,CONTRIBUTIONS,,,VOID - ROUNDS FOR SENATE,2021-01-13 00:00:00,-3500.00,S,SENATE,,S4SD00049,"ROUNDS, MIKE SEN.",MIKE,ROUNDS,,SEN.,,SD,SOUTH DAKOTA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-20 03:57:48.742,4022020211161114663,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102189428318626,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2021,M9,202109179466713413,F3X,4091820211371042127,23,84509181,1538508,CCM,CAMPAIGN COMMITTEE,C00266940,C00266940,SANFORD BISHOP FOR CONGRESS,COLUMBUS,GA,31902,SANFORD BISHOP FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - SANFORD BISHOP FOR CONGRESS,CONTRIBUTIONS,,,VOID - SANFORD BISHOP FOR CONGRESS,2021-08-17 00:00:00,-3000.00,H,HOUSE,02,H2GA02031,"BISHOP, SANFORD D. REP. JR.",SANFORD,BISHOP,D.,REP.,JR.,GA,GEORGIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-09-18 03:55:01.26,4091820211371094068,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202109179466713413,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202302099578204858,F3X,4020920231723650045,23,86583582,1688241,PAC,POLITICAL ACTION COMMITTEE,C00326439,C00326439,HOUSE CONSERVATIVES FUND,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - BUILDING A NATIONAL KNOWLEDGEABLE SECURITY PAC,CONTRIBUTIONS,,,VOID - BUILDING A NATIONAL KNOWLEDGEABLE SECURITY PAC,2022-12-02 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-02-11 03:36:06,4021020231725287492,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202302099578204858,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00078451,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),2022,YE,202302099578204862,F3X,4020920231723650045,23,86841032,1688241,PAC,POLITICAL ACTION COMMITTEE,C00538835,C00538835,COMMON GROUND PAC,ALEXANDRIA,VA,223012604,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - COMMON GROUND PAC,CONTRIBUTIONS,,,VOID - COMMON GROUND PAC,2022-12-30 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-02-11 03:36:06,4021020231725287502,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202302099578204862,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
