committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2021,YE,202201319485753992,F3X,4013120221403741691,23,1F508AED7FF99F8BFBB,1564947,PAC,POLITICAL ACTION COMMITTEE,C00629212,C00629212,ALL FOR OUR COUNTRY LEADERSHIP PAC,WASHINGTON,DC,20003,ALL FOR OUR COUNTRY LEADERSHIP PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/11/21 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-07 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-09 03:47:58.749,4020820221405948141,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485753992,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2021,YE,202201319485753993,F3X,4013120221403741691,23,3C85C20417AD495A090,1564947,CCM,CAMPAIGN COMMITTEE,C00662650,C00662650,BALDERSON FOR CONGRESS,COLUMBUS,OH,432208113,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/27/21 CONTRIBUTION,CONTRIBUTIONS,,,,2021-12-07 00:00:00,-5000.00,H,HOUSE,12,H8OH12180,"BALDERSON, TROY",TROY,BALDERSON,,,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-09 03:47:58.749,4020820221405948144,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485753993,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2021,M4,202104159443477965,F3X,4041620211277765313,23,F70CFA9D55A92D92D80,1511606,CCM,CAMPAIGN COMMITTEE,C00492645,C00492645,FRIENDS OF CHRIS MURPHY,CHESHIRE,CT,06410,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/24/20 CONTRIBUTION,CONTRIBUTIONS,,,,2021-03-30 00:00:00,-5000.00,S,SENATE,,S2CT00132,"MURPHY, CHRISTOPHER SCOTT",CHRISTOPHER,MURPHY,SCOTT,,,CT,CONNECTICUT,C2024,CONVENTION,CONVENTION,2024,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-20 03:50:55.372,4042020211278464317,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104159443477965,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2022,30G,202212089547589828,F3X,4120820221633585308,23,01A8BC6C00F85E563AF,1668635,PAC,POLITICAL ACTION COMMITTEE,C00390674,C00390674,FREEDOM FUND,ATHENS,GA,30605,FREEDOM FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/28/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-21 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-22 11:20:14,4122120221644742740,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547589828,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2022,30G,202212089547589830,F3X,4120820221633585308,23,9FF46E322666B6DB1C8,1668635,PAC,POLITICAL ACTION COMMITTEE,C00379479,C00379479,THE HAWKEYE PAC,DES MOINES,IA,503010156,THE HAWKEYE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/28/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-21 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-22 11:20:14,4122120221644742747,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547589830,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2021,M4,202104159443477965,F3X,4041620211277765313,23,6BD73ADB4C204591331,1511606,PAC,POLITICAL ACTION COMMITTEE,C00391797,C00391797,DIRIGO PAC,ALEXANDRIA,VA,22313,DIRIGO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 3/26/20 CONTRIBUTION,CONTRIBUTIONS,,,,2021-03-30 00:00:00,-4000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-20 03:50:55.372,4042020211278464316,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104159443477965,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2022,30G,202212089547589829,F3X,4120820221633585308,23,8FA3D781198E2BED1DB,1668635,PAC,POLITICAL ACTION COMMITTEE,C00582726,C00582726,JUMP INTO ACTION FOR CONSERVATIVES TO KEEP OUR IDEAS ELEVATED PAC,ALEXANDRIA,VA,22313,JUMP INTO ACTION FOR CONSERVATIVES TO KEEP OUR IDEAS ELEVATED PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 7/1/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-28 00:00:00,-3500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-22 11:20:14,4122120221644742743,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547589829,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2022,M3,202203209494042900,F3X,4032020221463746043,23,AF4BD8E7E33ECF45743,1575726,CCM,CAMPAIGN COMMITTEE,C00446906,C00446906,KURT SCHRADER FOR CONGRESS,OREGON CITY,OR,97045,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/16/21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-02-15 00:00:00,-3000.00,H,HOUSE,05,H8OR05107,"SCHRADER, KURT",KURT,SCHRADER,,,,OR,OREGON,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-23 03:51:28.135,4032220221463993501,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203209494042900,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2022,YE,202301319575489874,F3X,4013120231721277569,23,C311F118E603B61E7D6,1685197,PAC,POLITICAL ACTION COMMITTEE,C00513523,C00513523,TN4UPAC,NASHVILLE,TN,37209,TN4UPAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/23/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-31 00:00:00,-2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722247744,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575489874,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00076810,GENERAL MOTORS COMPANY POLITICAL ACTION COMMITTEE (GM PAC),2021,M2,202102199428640827,F3X,4022020211160321020,23,1D84F6D5970B17BAE3E,1500847,CCM,CAMPAIGN COMMITTEE,C00706788,C00706788,JACOBS FOR CONGRESS,HAMBURG,NY,14075,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/16/20 CONTRIBUTION - GENERAL DEBT RETIREMENT,CONTRIBUTIONS,,,,2021-01-31 00:00:00,-2500.00,H,HOUSE,27,H0NY27090,"JACOBS, CHRISTOPHER L.",CHRISTOPHER,JACOBS,L.,,,NY,NEW YORK,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-02 03:51:33.631,4030220211190386302,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102199428640827,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
