committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00428623,GOOGLE LLC NETPAC,2021,M3,202103199441661139,F3X,4032020211261827420,23,EXPB247304,1505571,CCM,CAMPAIGN COMMITTEE,C00443580,C00443580,LUMMIS FOR WYOMING INC.,CASPER,WY,82601,LUMMIS FOR WYOMING INC.,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,REVERSAL OF TRANSACTION DATED 12/16/20,CONTRIBUTIONS,,,,2021-02-09 00:00:00,-5000.00,S,SENATE,,S0WY00137,"LUMMIS, CYNTHIA",CYNTHIA,LUMMIS,,,,WY,WYOMING,P,G2020 DEBT,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-23 14:46:26.245,4032320211262032604,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103199441661139,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2022,M3,202203189494025963,F3X,4031820221460873592,23,EB265048,1575456,CCM,CAMPAIGN COMMITTEE,C00459255,C00459255,"FRIENDS OF TODD YOUNG, INC.",CARMEL,IN,46082,"FRIENDS OF TODD YOUNG, INC.",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK; ORIGINALLY ISSUED 9/30/21,CONTRIBUTIONS,,,,2022-02-18 00:00:00,-5000.00,S,SENATE,,S6IN00191,"YOUNG, TODD",TODD,YOUNG,,,,IN,INDIANA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-24 03:35:13.583,4032320221464067195,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189494025963,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2021,M4,202104209445051828,F3X,4042320211278759013,23,EXPB247277,1513962,CCM,CAMPAIGN COMMITTEE,C00714261,C00714261,SALAZAR FOR CONGRESS,ALEXANDRIA,VA,22308,SALAZAR FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY ISSUED 12/16/2020,CONTRIBUTIONS,,,,2021-03-04 00:00:00,-5000.00,H,HOUSE,27,H8FL27185,"SALAZAR, MARIA ELVIRA",MARIA ELVIRA,SALAZAR,,,,FL,FLORIDA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-26 05:14:16.661,4042520211279064836,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104209445051828,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2021,M10,202110209468198856,F3X,4102120211374312457,23,EXPB259526,1546087,COM,OTHER COMMITTEE,C00409730,C00409730,NEW DEMOCRAT COALITION ACTION FUND,WASHINGTON,DC,20003,NEW DEMOCRAT COALITION ACTION FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY DATED 3/5/21,CONTRIBUTIONS,,,,2021-09-01 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-26 03:53:22.719,4102620211375774899,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468198856,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2021,M6,202106189449644624,F3X,4061920211309407373,23,EXPB251723,1521013,CCM,CAMPAIGN COMMITTEE,C00437277,C00437277,JEFF MERKLEY FOR OREGON,PORTLAND,OR,97293,JEFF MERKLEY FOR OREGON,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY DATED 10/28/20,CONTRIBUTIONS,,,,2021-05-18 00:00:00,-4000.00,S,SENATE,,S8OR00207,"MERKLEY, JEFF",JEFF,MERKLEY,,,,OR,OREGON,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-06-23 04:55:47.158,4062320211309668900,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202106189449644624,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2022,M9,202209209528744377,F3X,4092020221576068947,23,EB274362,1631641,CCM,CAMPAIGN COMMITTEE,C00459255,C00459255,"FRIENDS OF TODD YOUNG, INC.",CARMEL,IN,46082,"FRIENDS OF TODD YOUNG, INC.",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK; ORIGINALLY ISSUED 7/1/22,CONTRIBUTIONS,,,,2022-08-30 00:00:00,-4000.00,S,SENATE,,S6IN00191,"YOUNG, TODD",TODD,YOUNG,,,,IN,INDIANA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-23 03:35:16.207,4092220221576549485,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528744377,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2022,M2,202202189491797843,F3X,4021820221409065608,23,EB264376,1570683,CCM,CAMPAIGN COMMITTEE,C00660795,C00660795,DAN CRENSHAW FOR CONGESS,HOUSTON,TX,77243,DAN CRENSHAW FOR CONGESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK; ORIGINALLY ISSUED 8/13/21,CONTRIBUTIONS,,,,2022-01-27 00:00:00,-2500.00,H,HOUSE,02,H8TX02166,"CRENSHAW, DAN",DAN,CRENSHAW,,,,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:43:33.848,4030320221459492717,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491797843,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2021,M4,202104209445051837,F3X,4042320211278759013,23,EXPB247308,1513962,COM,OTHER COMMITTEE,C00307991,C00307991,GUN SAFETY PAC,PROVIDENCE,RI,02903,GUN SAFETY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY ISSUED 9/16/2020,CONTRIBUTIONS,,,,2021-03-11 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-26 05:14:16.663,4042520211279064863,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104209445051837,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2022,M4,202204209500165289,F3X,4042020221470986753,23,EB266402,1589497,CCM,CAMPAIGN COMMITTEE,C00737767,C00737767,VICTORIA SPARTZ FOR CONGRESS,NOBLESVILLE,IN,46061,VICTORIA SPARTZ FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK; ORIGINALLY ISSUED 10/29/21,CONTRIBUTIONS,,,,2022-03-17 00:00:00,-2500.00,H,HOUSE,05,H0IN05326,"SPARTZ, VICTORIA",VICTORIA,SPARTZ,,,,IN,INDIANA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-29 03:36:20.492,4042820221473211116,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500165289,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00428623,GOOGLE LLC NETPAC,2022,M5,202205209512526608,F3X,4052020221492737807,23,EB267765,1596896,CCM,CAMPAIGN COMMITTEE,C00765164,C00765164,ALEX PADILLA FOR SENATE,LOS ANGELES,CA,90017,ALEX PADILLA FOR SENATE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK ORIGINALLY DATED 3/11/22,CONTRIBUTIONS,,,,2022-04-07 00:00:00,-2500.00,S,SENATE,,S2CA00955,"PADILLA, ALEX",ALEX,PADILLA,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-26 03:34:34.781,4052520221493578957,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512526608,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
