committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2022,M2,202202189491795638,F3X,4021820221409065527,23,58C7C263CFB92BBE68E,1570582,PAC,POLITICAL ACTION COMMITTEE,C00495887,C00495887,TOMORROW IS MEANINGFUL PAC,CHARLESTON,SC,29407,TOMORROW IS MEANINGFUL PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,ERRONEOUS REVERSAL OF 12/27/21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-04 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:57:49.651,4030320221459492089,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491795638,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2021,M6,202106189449393017,F3X,4061920211309407021,23,67D8FE4ECD58E2A9CD3,1520613,PAC,POLITICAL ACTION COMMITTEE,C00738260,C00738260,"POINT ACTION PAC, INC.",ATLANTA,GA,30342,"POINT ACTION PAC, INC.",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 2020 CONTRIBUTION,CONTRIBUTIONS,,,,2021-05-12 00:00:00,-3500.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-06-22 04:51:26.946,4062220211309560731,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202106189449393017,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2022,M2,202202189491795637,F3X,4021820221409065527,23,C2580A73BCD571FE7B1,1570582,PAC,POLITICAL ACTION COMMITTEE,C00571323,C00571323,TOGETHER HOLDING OUR MAJORITY PAC,RALEIGH,NC,27624,TOGETHER HOLDING OUR MAJORITY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,ERRONEOUS BANK REVERSAL OF 12/27/21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-04 00:00:00,-3000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:57:49.651,4030320221459492088,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491795637,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2022,M8,202208199525566160,F3X,4081920221565480308,23,70D9B43DA7432C11BE0,1625742,CCM,CAMPAIGN COMMITTEE,C00466482,C00466482,FAMILIES FOR JAMES LANKFORD,BETHANY,OK,730081639,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,RETURNED 6/28/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-01 00:00:00,-2500.00,S,SENATE,,S4OK00232,"LANKFORD, JAMES PAUL",JAMES,LANKFORD,PAUL,,,OK,OKLAHOMA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-23 03:36:45.535,4082220221565839521,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525566160,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2022,M8,202208199525566161,F3X,4081920221565480308,23,062056F98BF0D7BF773,1625742,PAC,POLITICAL ACTION COMMITTEE,C00035535,C00035535,THE CONSUMER BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,WASHINGTON,DC,20005,THE CONSUMER BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,RETURNED 6/28/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-01 00:00:00,-2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-23 03:36:45.536,4082220221565839525,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525566161,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2021,M10,202110209468247465,F3X,4102120211374312497,23,98E97642BB7561B36CE,1546134,CCM,CAMPAIGN COMMITTEE,C00330886,C00330886,MIKE CRAPO FOR US SENATE,BOISE,ID,83701,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,RETURNED 2022 PRIMARY CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-07 00:00:00,-2500.00,S,SENATE,,S8ID00027,"CRAPO, MICHAEL DEAN",MICHAEL,CRAPO,DEAN,,,ID,IDAHO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-26 03:53:40.157,4102620211375776741,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468247465,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2021,M11,202111199468707739,F3X,4112020211378843336,23,35E647ADB962E8B2025,1549427,PAC,POLITICAL ACTION COMMITTEE,C00193177,C00193177,BANK POLICY INSTITUTE PAC,WASHINGTON,DC,200053008,BANK POLICY INSTITUTE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,RETURNED 2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-10-04 00:00:00,-2500.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-11-24 03:49:50.73,4112420211379522530,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202111199468707739,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2022,M8,202208199525566160,F3X,4081920221565480308,23,D03A7557AED11238CD6,1625742,CCM,CAMPAIGN COMMITTEE,C00458976,C00458976,TERRI SEWELL FOR CONGRESS,BIRMINGHAM,AL,35201,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,RETURNED 6/28/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-07-01 00:00:00,-1500.00,H,HOUSE,07,H0AL07086,"SEWELL, TERRYCINA ANDREA",TERRYCINA,SEWELL,ANDREA,,,AL,ALABAMA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-23 03:36:45.536,4082220221565839523,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525566160,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2022,M10,202210209537611094,F3X,4102020221589932098,23,EA1EA9999AB0579979F,1644792,CCM,CAMPAIGN COMMITTEE,C00521948,C00521948,RODNEY FOR CONGRESS,TAYLORVILLE,IL,625680344,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 8/3/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-09-30 00:00:00,-1000.00,H,HOUSE,15,H2IL13120,"DAVIS, RODNEY LEE",RODNEY,DAVIS,LEE,,,IL,ILLINOIS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-17 04:06:26,4111620221629815870,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537611094,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,2022,M2,202202189491795637,F3X,4021820221409065527,23,6494F3E52D99F3986AA,1570582,CCM,CAMPAIGN COMMITTEE,C00458315,C00458315,MORAN FOR KANSAS,BELLEVILLE,KS,669350541,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,ERRONEOUS BANK REVERSAL OF 12/27/21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-01-03 00:00:00,-500.00,S,SENATE,,S0KS00091,"MORAN, JERRY W.",JERRY,MORAN,W.,,,KS,KANSAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-04 03:57:49.651,4030320221459492086,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202202189491795637,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
