committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599200,F3X,4071520221540567334,23,47585542,1612235,PTY,POLITICAL PARTY COMMITTEE,C00000935,C00000935,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE BUILDING FUND,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - 12/20/21 DCCC BUILDING FUND CONTRIBUTION,CONTRIBUTIONS,,,VOID - 12/20/21 DCCC BUILDING FUND CONTRIBUTION,2022-04-19 00:00:00,-30000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.266,4072220221543453012,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599200,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599197,F3X,4071520221540567334,23,47496748,1612235,PAC,POLITICAL ACTION COMMITTEE,C00650267,C00650267,BUILDING A NATIONAL KNOWLEDGABLE SECURITY PAC,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - 3/26/22 BUILDING A NATIONAL KNOWLEDGABLE SECURITY PAC,CONTRIBUTIONS,,,VOID - 3/26/22 BUILDING A NATIONAL KNOWLEDGABLE SECURITY PAC,2022-04-19 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.255,4072220221543453002,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599197,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599200,F3X,4071520221540567334,23,47585543,1612235,PAC,POLITICAL ACTION COMMITTEE,C00458570,C00458570,A NEW DIRECTION PAC,WASHINGTON,DC,20004,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - 12/8/21 A NEW DIRECTION PAC CONTRIBUTION,CONTRIBUTIONS,,,VOID - 12/8/21 A NEW DIRECTION PAC CONTRIBUTION,2022-04-15 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.266,4072220221543453013,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599200,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599201,F3X,4071520221540567334,23,47585544,1612235,PAC,POLITICAL ACTION COMMITTEE,C00692327,C00692327,LET'S GET TO WORK PAC,WASHINGTON,DC,20002,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - 12/7/21 LET'S GET TO WORK PAC CONTRIBUTION,CONTRIBUTIONS,,,VOID - 12/7/21 LET'S GET TO WORK PAC CONTRIBUTION,2022-04-15 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.266,4072220221543453014,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599201,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,30G,202212089550115617,F3X,4120820221633586517,23,48108112,1670210,CCM,CAMPAIGN COMMITTEE,C00638023,C00638023,WEXTON FOR CONGRESS,STERLING,VA,20165,WEXTON FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - WEXTON FOR CONGRESS,CONTRIBUTIONS,,,VOID - WEXTON FOR CONGRESS,2022-10-26 00:00:00,-2000.00,H,HOUSE,10,H8VA10106,"WEXTON, JENNIFER T. REP.",JENNIFER,WEXTON,T.,REP.,,VA,VIRGINIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-14 03:36:41,4011320231698163410,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550115617,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599197,F3X,4071520221540567334,23,47497565,1612235,CCM,CAMPAIGN COMMITTEE,C00575167,C00575167,DON BACON FOR CONGRESS,OMAHA,NE,68139,DON BACON FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - 7/7/21 DON BACON FOR CONGRESS CONTRIBUTION,CONTRIBUTIONS,,,VOID - 7/7/21 DON BACON FOR CONGRESS CONTRIBUTION,2022-04-19 00:00:00,-1000.00,H,HOUSE,02,H6NE02125,"BACON, DONALD REP.",DONALD,BACON,,REP.,,NE,NEBRASKA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.255,4072220221543453004,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599197,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,30G,202212089550115623,F3X,4120820221633586517,23,48116821,1670210,CCM,CAMPAIGN COMMITTEE,C00703843,C00703843,BICE FOR CONGRESS,OKLAHOMA CITY,OK,73156,BICE FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,2022 GENERAL,2022-11-03 00:00:00,500.00,H,HOUSE,05,H0OK05205,"BICE, STEPHANIE ASADY REP.",STEPHANIE,BICE,ASADY,REP.,,OK,OKLAHOMA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-14 03:36:41,4011320231698163428,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550115623,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2021,YE,202201319485759525,F3X,4013120221403741717,23,46942526,1564999,CCM,CAMPAIGN COMMITTEE,C00343871,C00343871,SCHIFF FOR CONGRESS,LOS ANGELES,CA,90017,SCHIFF FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,2022 GENERAL,2021-12-06 00:00:00,500.00,H,HOUSE,28,H0CA27085,"SCHIFF, ADAM B. REP.",ADAM,SCHIFF,B.,REP.,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-10 03:35:38.64,4020920221406090757,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485759525,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q1,202204159496838300,F3X,4041520221470816525,23,47227902,1586160,CCM,CAMPAIGN COMMITTEE,C00441014,C00441014,ROB WITTMAN FOR CONGRESS,ALEXANDRIA,VA,22313,ROB WITTMAN FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,2022 PRIMARY,2022-02-25 00:00:00,500.00,H,HOUSE,01,H8VA01147,"WITTMAN, ROBERT J. REP.",ROBERT,WITTMAN,J.,REP.,,VA,VIRGINIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-30 03:34:14.359,4042920221473617218,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204159496838300,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q1,202204159496838301,F3X,4041520221470816525,23,47227907,1586160,CCM,CAMPAIGN COMMITTEE,C00514893,C00514893,PEOPLE FOR DEREK KILMER,TACOMA,WA,98402,PEOPLE FOR DEREK KILMER,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,2022 GENERAL,2022-02-25 00:00:00,500.00,H,HOUSE,06,H2WA06129,"KILMER, DEREK REP.",DEREK,KILMER,,REP.,,WA,WASHINGTON,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-30 03:34:14.359,4042920221473617223,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204159496838301,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q1,202204159496838309,F3X,4041520221470816525,23,47389618,1586160,CCM,CAMPAIGN COMMITTEE,C00729954,C00729954,GARBARINO FOR CONGRESS,BAYPORT,NY,11705,GARBARINO FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,2022 PRIMARY,2022-03-26 00:00:00,500.00,H,HOUSE,02,H0NY02234,"GARBARINO, ANDREW R. REP.",ANDREW,GARBARINO,R.,REP.,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-30 03:34:14.364,4042920221473617247,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204159496838309,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599194,F3X,4071520221540567334,23,47496731,1612235,CCM,CAMPAIGN COMMITTEE,C00547893,C00547893,ELISE FOR CONGRESS,GLENS FALLS,NY,12801,ELISE FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,2022 GENERAL,2022-04-19 00:00:00,500.00,H,HOUSE,21,H4NY21079,"STEFANIK, ELISE REP.",ELISE,STEFANIK,,REP.,,NY,NEW YORK,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.244,4072220221543452993,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599194,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599195,F3X,4071520221540567334,23,47496735,1612235,CCM,CAMPAIGN COMMITTEE,C00727529,C00727529,MRVAN FOR CONGRESS,CROWN POINT,IN,46308,MRVAN FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,2022 PRIMARY,2022-04-19 00:00:00,500.00,H,HOUSE,01,H0IN01150,"MRVAN, FRANK JOHN REP.",FRANK,MRVAN,JOHN,REP.,,IN,INDIANA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.255,4072220221543452997,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599195,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599196,F3X,4071520221540567334,23,47496745,1612235,CCM,CAMPAIGN COMMITTEE,C00497818,C00497818,WENSTRUP FOR CONGRESS,CINCINNATI,OH,45209,WENSTRUP FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,2022 PRIMARY,2022-04-19 00:00:00,500.00,H,HOUSE,02,H2OH02085,"WENSTRUP, BRAD REP.",BRAD,WENSTRUP,,REP.,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.255,4072220221543452999,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599196,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599203,F3X,4071520221540567334,23,47599335,1612235,CCM,CAMPAIGN COMMITTEE,C00638023,C00638023,WEXTON FOR CONGRESS,STERLING,VA,20165,WEXTON FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,2022 GENERAL,2022-05-10 00:00:00,500.00,H,HOUSE,10,H8VA10106,"WEXTON, JENNIFER T. REP.",JENNIFER,WEXTON,T.,REP.,,VA,VIRGINIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.299,4072220221543453021,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599203,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00100321,"L3HARRIS TECHNOLOGIES, INC. PAC",2022,Q2,202207159518599216,F3X,4071520221540567334,23,47726227,1612235,CCM,CAMPAIGN COMMITTEE,C00376673,C00376673,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,LUTHERVILLE,MD,21094,DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,2022 GENERAL,2022-06-27 00:00:00,500.00,H,HOUSE,02,H2MD02160,"RUPPERSBERGER, C.A. DUTCH REP.",C.A.,RUPPERSBERGER,DUTCH,REP.,,MD,MARYLAND,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:36:28.367,4072220221543453061,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207159518599216,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
