committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2021,M2,202102189428322435,F3X,4021920211158262090,23,83561301,1500613,PAC,POLITICAL ACTION COMMITTEE,C00571596,C00571596,DAINES BIG SKY COMMITTEE,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - DAINES BIG SKY COMMITTEE,CONTRIBUTIONS,,,VOID - DAINES BIG SKY COMMITTEE,2021-01-31 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-26 03:53:00.936,4022620211189800308,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102189428322435,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2021,M2,202102189428322437,F3X,4021920211158262090,23,83561310,1500613,PAC,POLITICAL ACTION COMMITTEE,,,CARTER PAC,BETHESDA,MD,20814,,,,,VOID - CARTER PAC,OTHER,,,VOID - CARTER PAC,2021-01-31 00:00:00,-5000.00,,,,,,,,,,,,,,,,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-26 03:53:00.939,4022620211189800313,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102189428322437,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2021,M5,202105209447075154,F3X,4052120211296776423,23,83561304,1517533,CCM,CAMPAIGN COMMITTEE,C00443580,C00443580,LUMMIS FOR WYOMING INC.,CASPER,WY,82601,LUMMIS FOR WYOMING INC.,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - LUMMIS FOR WYOMING INC.,CONTRIBUTIONS,,,VOID - LUMMIS FOR WYOMING INC.,2021-04-01 00:00:00,-5000.00,S,SENATE,,S0WY00137,"LUMMIS, CYNTHIA",CYNTHIA,LUMMIS,,,,WY,WYOMING,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-22 04:57:18.168,4052220211297039411,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209447075154,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2021,M5,202105209447075155,F3X,4052120211296776423,23,83561313,1517533,CCM,CAMPAIGN COMMITTEE,C00419630,C00419630,YARMUTH FOR CONGRESS,LOUISVILLE,KY,40202,YARMUTH FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - YARMUTH FOR CONGRESS,CONTRIBUTIONS,,,VOID - YARMUTH FOR CONGRESS,2021-04-01 00:00:00,-5000.00,H,HOUSE,03,H6KY03124,"YARMUTH, JOHN A. REP.",JOHN,YARMUTH,A.,REP.,,KY,KENTUCKY,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-22 04:57:18.168,4052220211297039415,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209447075155,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2021,M5,202105209447075155,F3X,4052120211296776423,23,83561314,1517533,PAC,POLITICAL ACTION COMMITTEE,C00500256,C00500256,WHO DAT PAC,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - WHO DAT PAC,CONTRIBUTIONS,,,VOID - WHO DAT PAC,2021-04-01 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-22 04:57:18.168,4052220211297039416,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209447075155,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2022,12G,202210279541945524,F3X,4102720221592348587,23,86372491,1653281,PAC,POLITICAL ACTION COMMITTEE,C00354308,C00354308,IMPACT COMMITTEE,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - IMPACT COMMITTEE,CONTRIBUTIONS,,,VOID - IMPACT COMMITTEE,2022-10-10 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-30 04:06:22,4112920221631584883,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210279541945524,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2021,M2,202102189428322434,F3X,4021920211158262090,23,83561296,1500613,PAC,POLITICAL ACTION COMMITTEE,C00366666,C00366666,COMMITTEE FOR LEADERSHIP AND PROGRESS,BETHESDA,MD,20824,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - COMMITTEE FOR LEADERSHIP AND PROGRESS,CONTRIBUTIONS,,,VOID - COMMITTEE FOR LEADERSHIP AND PROGRESS,2021-01-31 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-26 03:53:00.936,4022620211189800305,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102189428322434,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2021,M2,202102189428322437,F3X,4021920211158262090,23,83561309,1500613,PAC,POLITICAL ACTION COMMITTEE,C00570101,C00570101,VIBE PAC,LOS ANGELES,CA,90010,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - VIBE PAC,CONTRIBUTIONS,,,VOID - VIBE PAC,2021-01-31 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-26 03:53:00.939,4022620211189800312,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102189428322437,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2021,M5,202105209447075155,F3X,4052120211296776423,23,83610189,1517533,PAC,POLITICAL ACTION COMMITTEE,C00522318,C00522318,PATRIOT POLITICAL ACTION COMMITTEE,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - PATRIOT POLITICAL ACTION COMMITTEE,CONTRIBUTIONS,,,VOID - PATRIOT POLITICAL ACTION COMMITTEE,2021-04-01 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-22 04:57:18.168,4052220211297039419,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105209447075155,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00303024,LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE,2022,M7,202207209522365149,F3X,4072020221541753667,23,85892157,1618059,PAC,POLITICAL ACTION COMMITTEE,C00467431,C00467431,EYE OF THE TIGER PAC,ARLINGTON,VA,22219,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - 12/7/21 CONTRIBUTION,CONTRIBUTIONS,,,VOID - 12/7/21 CONTRIBUTION,2022-06-23 00:00:00,-2500.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:08.564,4072820221553299643,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522365149,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
