committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,30G,202212089547562376,F3X,4120820221633585102,23,1652B52A08A65D4EC4F,1668382,CCM,CAMPAIGN COMMITTEE,C00573949,C00573949,JOSH GOTTHEIMER FOR CONGRESS,RIDGEWOOD,NJ,07451,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/29/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-28 00:00:00,-5000.00,H,HOUSE,05,H6NJ05171,"GOTTHEIMER, JOSHUA S.",JOSHUA,GOTTHEIMER,S.,,,NJ,NEW JERSEY,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-10 04:06:09,4010920231666591067,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547562376,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,YE,202301319575403324,F3X,4013120231721277196,23,5F495E8DBABB25DA326,1684631,PAC,POLITICAL ACTION COMMITTEE,C00493700,C00493700,BLUE HEN FEDERAL PAC,WASHINGTON,DC,20003,BLUE HEN FEDERAL PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/19/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-14 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-01 03:36:13,4013120231721631919,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575403324,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,M9,202209209528585439,F3X,4092020221576068212,23,CE68B334AE65AB22923,1630851,PAC,POLITICAL ACTION COMMITTEE,C00611400,C00611400,NEW ENERGY IN WASHINGTON HOUSE PAC (N.E.W. HOUSE PAC),YAKIMA,WA,989090394,NEW ENERGY IN WASHINGTON HOUSE PAC (N.E.W. HOUSE PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 7/15/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-08-03 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-21 03:36:02.351,4092020221576271381,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528585439,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,M10,202210209537630320,F3X,4102020221589932175,23,BC8BFC6E66B6676B383,1644875,PAC,POLITICAL ACTION COMMITTEE,C00550970,C00550970,EQUALITY PAC,WASHINGTON,DC,20003,EQUALITY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 3/29/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-09-29 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-17 04:06:26,4111620221629817230,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537630320,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,12G,202210259541636464,F3X,4102520221590892345,23,3EA376F17C4710B2E07,1648954,PAC,POLITICAL ACTION COMMITTEE,C00550970,C00550970,EQUALITY PAC,WASHINGTON,DC,20003,EQUALITY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/29/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-18 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-22 04:06:17,4112120221630515117,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210259541636464,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2021,M12,202112209474518120,F3X,4122120211386231181,23,E3CD85EF5CDF708ED4D,1552705,PAC,POLITICAL ACTION COMMITTEE,C00497073,C00497073,LOBO PAC,ALBUQUERQUE,NM,87125,LOBO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 4/29/21 CONTRIBUTION,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-12-22 06:14:16.447,4122220211386487554,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202112209474518120,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,M3,202203209494042978,F3X,4032020221463746044,23,D810A5E765863481705,1575727,PAC,POLITICAL ACTION COMMITTEE,C00494302,C00494302,LEAD ENCOURAGE ELECT PAC,HUDSON,WI,540160183,LEAD ENCOURAGE ELECT PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 11/30/21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-02-15 00:00:00,-4500.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-24 03:35:10.913,4032320221464066807,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203209494042978,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,M7,202207209522228316,F3X,4072020221541753227,23,7B7ECAFFA50BF4012C9,1617534,CCM,CAMPAIGN COMMITTEE,C00473827,C00473827,FRIENDS OF MIKE LEE INC,SALT LAKE CITY,UT,84110,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 5/31/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-06-20 00:00:00,-4000.00,S,SENATE,,S0UT00165,"LEE, MICHAEL SHUMWAY",MICHAEL,LEE,SHUMWAY,,,UT,UTAH,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-30 03:35:11.727,4072920221553572381,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522228316,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,YE,202301319575403332,F3X,4013120231721277196,23,8704754A0BF22644AFB,1684631,CCM,CAMPAIGN COMMITTEE,C00226928,C00226928,PALLONE FOR CONGRESS,LONG BRANCH,NJ,07740,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/4/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-20 00:00:00,-2500.00,H,HOUSE,06,H8NJ03073,"PALLONE, FRANK JR.",FRANK,PALLONE,,,JR.,NJ,NEW JERSEY,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-01 03:36:13,4013120231721631942,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575403332,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00227546,MICROSOFT CORPORATION STAKEHOLDERS VOLUNTARY PAC - MSVPAC,2022,M9,202209209528585438,F3X,4092020221576068212,23,F6365ECECDC9DD4E946,1630851,CCM,CAMPAIGN COMMITTEE,C00559393,C00559393,DAN NEWHOUSE FOR CONGRESS,YAKIMA,WA,989091949,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 7/15/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-08-01 00:00:00,-2500.00,H,HOUSE,04,H4WA04104,"NEWHOUSE, DANIEL MILTON",DANIEL,NEWHOUSE,MILTON,,,WA,WASHINGTON,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-21 03:36:02.35,4092020221576271378,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528585438,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
