committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2022,M6,202206169514984510,F3X,4061720221530229234,23,336622680B9A939709B,1603009,PTY,POLITICAL PARTY COMMITTEE,C00042366,C00042366,DSCC (BUILDING FUND),WASHINGTON,DC,20002,DSCC (BUILDING FUND),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION - ORIGINAL CHECK ISSUED 2/9/22 WAS LOST,CONTRIBUTIONS,,,,2022-05-25 00:00:00,-15000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:34:20.199,4062120221530573120,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206169514984510,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2022,30G,202212089547625055,F3X,4120820221633585618,23,11357BB558AE2B612D6,1669011,PAC,POLITICAL ACTION COMMITTEE,C00497073,C00497073,LOBO PAC,ALBUQUERQUE,NM,87125,LOBO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION - CHECK LOST,CONTRIBUTIONS,,,,2022-10-24 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-13 04:11:25,4011220231691112072,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547625055,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2022,YE,202301269574994167,F3X,4012620231720554266,23,AF76DADE26A0249D189,1680057,PAC,POLITICAL ACTION COMMITTEE,C00655423,C00655423,BRIDGE THE GAP PAC,GAITHERSBURG,MD,20883,BRIDGE THE GAP PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION - ORIGINAL CHECK LOST,CONTRIBUTIONS,,,,2022-12-12 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-28 03:36:10,4012720231720807316,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574994167,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2021,M2,202102089427100280,F3X,4020920211122168031,23,174C43921BA420C2128,1499068,CCM,CAMPAIGN COMMITTEE,C00346312,C00346312,FRIENDS OF SCHUMER,NEW YORK,NY,10016,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-01-14 00:00:00,-5000.00,S,SENATE,,S8NY00082,"SCHUMER, CHARLES E.",CHARLES,SCHUMER,E.,,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-18 09:23:31.312,4021720211156788504,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102089427100280,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2021,M2,202102089427100280,F3X,4020920211122168031,23,344C04490B059294142,1499068,CCM,CAMPAIGN COMMITTEE,C00666040,C00666040,MCSALLY FOR SENATE INC,TUCSON,AZ,85731,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,CONTRIBUTIONS,,,,2021-01-14 00:00:00,-5000.00,S,SENATE,,S8AZ00221,"MCSALLY, MARTHA ELIZABETH",MARTHA,MCSALLY,ELIZABETH,,,AZ,ARIZONA,P2020,,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-18 09:23:31.313,4021720211156788505,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102089427100280,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2021,M4,202104079443074873,F3X,4040720211276535029,23,283F9CF27A17FC524B3,1508240,CCM,CAMPAIGN COMMITTEE,C00671859,C00671859,MARIA ELVIRA SALAZAR FOR CONGRESS,MIAMI,FL,332558033,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 GENERAL DEBT RETIREMENT - ORIGINAL CHECK LOST IN MAIL,CONTRIBUTIONS,,,,2021-03-04 00:00:00,-5000.00,H,HOUSE,27,H8FL27185,"SALAZAR, MARIA E.",MARIA,SALAZAR,E.,,,FL,FLORIDA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-08 04:27:18.395,4040720211276558071,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104079443074873,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2022,M4,202205049502541640,F3X,4050420221474237032,23,89A5EE997A885F2761C,1591858,PAC,POLITICAL ACTION COMMITTEE,C00442368,C00442368,COMMON VALUES PAC,ALEXANDRIA,VA,22314,COMMON VALUES PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-03-03 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-05-14 03:38:20.273,4051320221485721138,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205049502541640,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2022,M4,202205049502541642,F3X,4050420221474237032,23,128EE5F30F52A9CA30E,1591858,PAC,POLITICAL ACTION COMMITTEE,C00390674,C00390674,FREEDOM FUND,ATHENS,GA,30605,FREEDOM FUND,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION - ORIGINAL CHECK LOST,CONTRIBUTIONS,,,,2022-03-31 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-05-14 03:38:20.274,4051320221485721144,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205049502541642,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2021,M7,202107129451019142,F3X,4071420211320547017,23,4D1F0F4134B5B9FFD9D,1524540,CCM,CAMPAIGN COMMITTEE,C00311043,C00311043,BRADY FOR CONGRESS,THE WOODLANDS,TX,773878277,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL - ORIGINAL CHECK ISSUED 4/20/21 - CHECK LOST/NEVER CASHED,CONTRIBUTIONS,,,,2021-06-15 00:00:00,-5000.00,H,HOUSE,08,H6TX08100,"BRADY, KEVIN PATRICK",KEVIN,BRADY,PATRICK,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-14 07:52:48.754,4071420211320571253,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107129451019142,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00064774,"NEXTERA ENERGY, INC. POLITICAL ACTION COMMITTEE",2021,M7,202107129451019142,F3X,4071420211320547017,23,AD9C9F00349D514B1B6,1524540,CCM,CAMPAIGN COMMITTEE,C00311043,C00311043,BRADY FOR CONGRESS,THE WOODLANDS,TX,773878277,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY - ORIGINAL CHECK ISSUED 4/20/21 - CHECK LOST/NEVER CASHED,CONTRIBUTIONS,,,,2021-06-15 00:00:00,-5000.00,H,HOUSE,08,H6TX08100,"BRADY, KEVIN PATRICK",KEVIN,BRADY,PATRICK,,,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-14 07:52:58.618,4071420211320571254,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107129451019142,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
