committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00016683,PFIZER INC. PAC,2022,M4,202204139496080410,F3X,4041320221470641119,23,FE7909BC8DD13DA7FE8,1581001,PTY,POLITICAL PARTY COMMITTEE,C00027466,C00027466,NRSC,WASHINGTON,DC,20002,NRSC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 17256 DATED 2/16/22 VOIDED.,CONTRIBUTIONS,,,,2022-03-21 00:00:00,-10000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-14 10:59:39.091,4041320221470732758,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496080410,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2021,M4,202104139443281397,F3X,4041420211277102047,23,2CBE5AEBF882E980980,1509727,PAC,POLITICAL ACTION COMMITTEE,C00363648,C00363648,FIRST STATE PAC,WILMINGTON,DE,19804,FIRST STATE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 16746 DATED 9/24/20 RETURNED,CONTRIBUTIONS,,,,2021-03-22 00:00:00,-5000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-14 03:58:42.485,4041420211277166504,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104139443281397,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2021,M8,202108179466298293,F3X,4081820211328135032,23,DED61AA08474DBB4BA2,1534927,PTY,POLITICAL PARTY COMMITTEE,C00506410,C00506410,SENATE VICTORY PAC,SAINT PAUL,MN,55103,SENATE VICTORY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2021 CONTRIBUTION,CONTRIBUTIONS,,,,2021-07-08 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:41.004,4081820211328385554,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202108179466298293,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2021,M11,202111169468501533,F3X,4111720211378608010,23,98A381DF19C76F5D8C0,1548335,PAC,POLITICAL ACTION COMMITTEE,C00355677,C00355677,BIOTECHNOLOGY INNOVATION ORGANIZATION PAC (BIO PAC),WASHINGTON,DC,20024,BIOTECHNOLOGY INNOVATION ORGANIZATION PAC (BIO PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 16970 DATED 6/17/21 LOST/VOIDED,CONTRIBUTIONS,,,,2021-10-05 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-11-17 03:58:16.36,4111720211378640361,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202111169468501533,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2022,12G,202210269541663720,F3X,4102620221591747334,23,EA2BB69B4F6A85AB12A,1650085,CCM,CAMPAIGN COMMITTEE,C00775015,C00775015,SCHMITT FOR SENATE,SAINT LOUIS,MO,63122,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 18199 DATED 9/20/22 RETURNED UN-CASHED,CONTRIBUTIONS,,,,2022-10-13 00:00:00,-5000.00,S,SENATE,,S2MO00544,"SCHMITT, ERIC S.",ERIC,SCHMITT,S.,,,MO,MISSOURI,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-23 04:06:26,4112220221630612452,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210269541663720,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2021,M10,202110189467926768,F3X,4101920211373935014,23,5218C0CD0794CE14DC6,1544927,CCM,CAMPAIGN COMMITTEE,C00650697,C00650697,PETE STAUBER FOR CONGRESS,DULUTH,MN,55811,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 16866 DATED 3/17/21 RETURNED UN-CASHED.,CONTRIBUTIONS,,,,2021-09-22 00:00:00,-3000.00,H,HOUSE,08,H8MN08043,"STAUBER, PETE",PETE,STAUBER,,,,MN,MINNESOTA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-20 03:55:28.871,4102020211374299982,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110189467926768,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2022,30G,202211299547069225,F3X,4112920221631261128,23,A356FF619B074EA0FDF,1662927,CCM,CAMPAIGN COMMITTEE,C00446906,C00446906,KURT SCHRADER FOR CONGRESS,OREGON CITY,OR,97045,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 18079 DATED 5/17/22 RETURNED BY CANDIDATE - 2022 GENERAL,CONTRIBUTIONS,,,,2022-11-02 00:00:00,-3000.00,H,HOUSE,05,H8OR05107,"SCHRADER, KURT",KURT,SCHRADER,,,,OR,OREGON,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-09 04:07:21,4120820221633732403,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202211299547069225,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2021,YE,202201249475115839,F3X,4012420221389075143,23,47785E2883F16105985,1558601,CCM,CAMPAIGN COMMITTEE,C00458877,C00458877,KINZINGER FOR CONGRESS,OTTAWA,IL,61350,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 17129 DATED 10/20/21 RETURNED UN-CASHED,CONTRIBUTIONS,,,,2021-12-03 00:00:00,-2500.00,H,HOUSE,16,H0IL11052,"KINZINGER, ADAM DANIEL",ADAM,KINZINGER,DANIEL,,,IL,ILLINOIS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-26 03:50:14.098,4012520221389628680,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201249475115839,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2021,M4,202104139443281397,F3X,4041420211277102047,23,D2A16B44CF41615C68F,1509727,CCM,CAMPAIGN COMMITTEE,C00729608,C00729608,GEORGIANS FOR KELLY LOEFFLER,ATLANTA,GA,30325,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 16757 DATED 9/24/20 RETURNED,CONTRIBUTIONS,,,,2021-03-22 00:00:00,-2500.00,S,SENATE,,S0GA00526,"LOEFFLER, KELLY",KELLY,LOEFFLER,,,,GA,GEORGIA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-14 03:58:42.485,4041420211277166505,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104139443281397,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00016683,PFIZER INC. PAC,2021,M4,202104139443281397,F3X,4041420211277102047,23,A751B5C0CFD80F96F18,1509727,CCM,CAMPAIGN COMMITTEE,C00541888,C00541888,KATHERINE CLARK FOR CONGRESS,BELMONT,MA,024789998,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CK# 16768 DATED 9/24/20 RETURNED,CONTRIBUTIONS,,,,2021-03-22 00:00:00,-2500.00,H,HOUSE,05,H4MA05084,"CLARK, KATHERINE M.",KATHERINE,CLARK,M.,,,MA,MASSACHUSETTS,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-14 03:58:42.485,4041420211277166506,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104139443281397,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
