committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,YE,202301319575259039,F3X,4013120231721276506,23,7FD7D237C436FD333F2,1683558,PAC,POLITICAL ACTION COMMITTEE,C00391797,C00391797,DIRIGO PAC,ALEXANDRIA,VA,22313,DIRIGO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-20 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722236677,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575259039,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,YE,202301319575259042,F3X,4013120231721276506,23,8A9FED3ED282DFBFE0F,1683558,PAC,POLITICAL ACTION COMMITTEE,C00409276,C00409276,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,BRENTWOOD,TN,37024,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-20 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722236685,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575259042,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,YE,202301319575259042,F3X,4013120231721276506,23,E46D3FB694C96557519,1683558,PAC,POLITICAL ACTION COMMITTEE,C00349233,C00349233,NEW MILLENNIUM PAC,PROVIDENCE,RI,02903,NEW MILLENNIUM PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-12-07 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722236687,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575259042,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,M6,202206209517730861,F3X,4062120221530423066,23,E4D6D345E640B2C8739,1604657,CCM,CAMPAIGN COMMITTEE,C00495358,C00495358,KAINE FOR VIRGINIA,ALEXANDRIA,VA,223146233,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2024 PRIMARY,CONTRIBUTIONS,,,,2022-05-10 00:00:00,-5000.00,S,SENATE,,S2VA00142,"KAINE, TIMOTHY MICHAEL",TIMOTHY,KAINE,MICHAEL,,,VA,VIRGINIA,P2024,,PRIMARY,2024,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-24 03:35:16.682,4062320221531142059,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209517730861,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,M7,202207209522369231,F3X,4072020221541753717,23,66A99E7CC5571F20762,1618116,PAC,POLITICAL ACTION COMMITTEE,C00391797,C00391797,DIRIGO PAC,ALEXANDRIA,VA,22313,DIRIGO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-06-30 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-30 03:35:25.77,4072920221553577398,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522369231,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,M7,202207209522369235,F3X,4072020221541753717,23,CC7798389D9EBD44D02,1618116,PAC,POLITICAL ACTION COMMITTEE,C00566851,C00566851,JOBS OPPORTUNITY AND NEW IDEAS PAC,DES MOINES,IA,50393,JOBS OPPORTUNITY AND NEW IDEAS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-06-30 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-30 03:35:25.774,4072920221553577411,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522369235,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,M7,202207209522369238,F3X,4072020221541753717,23,B96D4F4B9682EAD2B69,1618116,PAC,POLITICAL ACTION COMMITTEE,C00409276,C00409276,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,BRENTWOOD,TN,37024,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-06-30 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-30 03:35:25.78,4072920221553577421,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522369238,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,M7,202207209522369244,F3X,4072020221541753717,23,C503ED60A7D923149FE,1618116,CCM,CAMPAIGN COMMITTEE,C00506048,C00506048,TOM RICE FOR CONGRESS,MYRTLE BEACH,SC,295720020,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 RUN-OFF,CONTRIBUTIONS,,,,2022-06-30 00:00:00,-5000.00,H,HOUSE,07,H2SC07066,"RICE, TOM",TOM,RICE,,,,SC,SOUTH CAROLINA,R2022,RUNOFF,RUNOFF,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-30 03:35:25.805,4072920221553577439,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522369244,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,M9,202209209528864381,F3X,4092120221576292027,23,E199ABA2C3CFFF9DAAE,1631860,PAC,POLITICAL ACTION COMMITTEE,C00769695,C00769695,FREEDOM FORCE PAC,CORAL GABLES,FL,33134,FREEDOM FORCE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-08-31 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-09-22 03:35:53.287,4092120221576417663,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202209209528864381,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00107235,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,2022,M10,202210209541396564,F3X,4102020221589933021,23,57E63E4259FD2940B0D,1645883,PAC,POLITICAL ACTION COMMITTEE,C00391797,C00391797,DIRIGO PAC,ALEXANDRIA,VA,22313,DIRIGO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-09-26 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-19 04:06:21,4111820221630366143,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209541396564,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
