committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2022,30G,202212089547679598,F3X,4120820221633585694,23,86485715,1669116,CCM,CAMPAIGN COMMITTEE,C00516666,C00516666,GRACE FOR NEW YORK,FRESH MEADOWS,NY,11365,GRACE FOR NEW YORK,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - GRACE FOR NEW YORK - CHECK DATED 9/13/2022,CONTRIBUTIONS,,,VOID - GRACE FOR NEW YORK - CHECK DATED 9/13/2022,2022-11-04 00:00:00,-5000.00,H,HOUSE,06,H2NY06116,"MENG, GRACE REP.",GRACE,MENG,,REP.,,NY,NEW YORK,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-10 04:06:09,4010920231666594172,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547679598,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2022,30G,202212089547679599,F3X,4120820221633585694,23,86485716,1669116,CCM,CAMPAIGN COMMITTEE,C00677492,C00677492,"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",SUNRISE,FL,33351,"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"VOID - SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC - CHECK DATED 9/27/2022",CONTRIBUTIONS,,,"VOID - SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC - CHECK DATED 9/27/2022",2022-11-04 00:00:00,-5000.00,H,HOUSE,20,H8FL20032,"CHERFILUS-MCCORMICK, SHEILA REP.",SHEILA,CHERFILUS-MCCORMICK,,REP.,,FL,FLORIDA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-10 04:06:09,4010920231666594173,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547679599,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2022,M5,202205209512421515,F3X,4052020221492737101,23,85600926,1596077,PAC,POLITICAL ACTION COMMITTEE,C00427401,C00427401,CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC,WASHINGTON,DC,20002,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC - CHECK DATED 12/4/2021,CONTRIBUTIONS,,,VOID - CONSERVATIVE & REPUBLICAN TOGETHER EQUALS RESULTS PAC - CHECK DATED 12/4/2021,2022-04-12 00:00:00,-5000.00,,,,H2TX31044,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-21 03:36:04.201,4052020221492785412,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512421515,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2021,M4,202106189449643043,F3X,4061920211309407352,23,83866755,1520989,PAC,POLITICAL ACTION COMMITTEE,C00691576,C00691576,HYDE-SMITH VICTORY FUND,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - HYDE-SMITH VICTORY FUND - CHECK DATED 10/12/2020,CONTRIBUTIONS,,,VOID - HYDE-SMITH VICTORY FUND - CHECK DATED 10/12/2020,2021-03-01 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2021-09-22 03:52:05.541,4062420211310708083,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202106189449643043,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2021,M2,202106189449641238,F3X,4061920211309407343,23,83124408,1520977,CCM,CAMPAIGN COMMITTEE,C00450049,C00450049,PAUL TONKO FOR CONGRESS,ALBANY,NY,12206,PAUL TONKO FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,CONTRIBUTIONS,X,,RE-DESIGNATION ON 01/06/2021,2021-01-06 00:00:00,-4000.00,H,HOUSE,20,H8NY21203,"TONKO, PAUL DAVID REP.",PAUL,TONKO,DAVID,REP.,,NY,NEW YORK,G2020,,GENERAL,2020,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2021-06-24 04:52:54.692,4062420211310708073,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202106189449641238,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2022,30G,202212089547679598,F3X,4120820221633585694,23,86485713,1669116,CCM,CAMPAIGN COMMITTEE,C00392688,C00392688,"MCCAUL FOR CONGRESS, INC",AUSTIN,TX,78701,"MCCAUL FOR CONGRESS, INC",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"VOID - MCCAUL FOR CONGRESS, INC - CHECK DATED 9/13/2022",CONTRIBUTIONS,,,"VOID - MCCAUL FOR CONGRESS, INC - CHECK DATED 9/13/2022",2022-11-04 00:00:00,-3000.00,H,HOUSE,10,H4TX10093,"MCCAUL, MICHAEL T. REP.",MICHAEL,MCCAUL,T.,REP.,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-10 04:06:09,4010920231666594170,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547679598,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2022,30G,202212089547679600,F3X,4120820221633585694,23,86542378,1669116,CCM,CAMPAIGN COMMITTEE,C00392688,C00392688,"MCCAUL FOR CONGRESS, INC",AUSTIN,TX,78701,"MCCAUL FOR CONGRESS, INC",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"VOID - MCCAUL FOR CONGRESS, INC - CHECK DATED 11/4/2022",CONTRIBUTIONS,,,"VOID - MCCAUL FOR CONGRESS, INC - CHECK DATED 11/4/2022",2022-11-16 00:00:00,-3000.00,H,HOUSE,10,H4TX10093,"MCCAUL, MICHAEL T. REP.",MICHAEL,MCCAUL,T.,REP.,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-10 04:06:09,4010920231666594178,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547679600,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2022,M5,202205209512421515,F3X,4052020221492737101,23,85600794,1596077,PAC,POLITICAL ACTION COMMITTEE,C00705152,C00705152,WOMEN EXCEL PAC (WEX PAC),STERLING,VA,20165,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - WOMEN EXCEL PAC (WEX PAC) - CHECK DATED 12/10/2021,CONTRIBUTIONS,,,VOID - WOMEN EXCEL PAC (WEX PAC) - CHECK DATED 12/10/2021,2022-04-12 00:00:00,-2500.00,,,,H8VA10106,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-21 03:36:04.201,4052020221492785411,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512421515,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2022,YE,202301319575281877,F3X,4013120231721276652,23,86626967,1683797,CCM,CAMPAIGN COMMITTEE,C00606939,C00606939,ROSEN FOR NEVADA,LAS VEGAS,NV,89126,ROSEN FOR NEVADA,,,,VOID - ROSEN FOR NEVADA - CHECK DATED 9/13/2022,OTHER,,,VOID - ROSEN FOR NEVADA - CHECK DATED 9/13/2022,2022-12-15 00:00:00,-1500.00,S,SENATE,,S8NV00156,"ROSEN, JACKY SEN.",JACKY,ROSEN,,SEN.,,NV,NEVADA,P2024,,PRIMARY,2024,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-01 03:36:13,4013120231721629336,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575281877,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RAYTHEON TECHNOLOGIES CORPORATION PAC,2022,M4,202204209500063032,F3X,4042020221470986243,23,85359616,1588874,CCM,CAMPAIGN COMMITTEE,C00434191,C00434191,HIMES FOR CONGRESS,FAIRFIELD,CT,06824,HIMES FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,CONTRIBUTIONS,X,,RE-DESIGNATION ON 03/10/2022,2022-03-10 00:00:00,-1500.00,H,HOUSE,04,H8CT04172,"HIMES, JIM A. REP.",JIM,HIMES,A.,REP.,,CT,CONNECTICUT,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:18.369,4050420221474461197,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500063032,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
