committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00388827,ROCK HOLDINGS INC. PAC,2021,M10,202203189493989519,F3X,4031820221460873060,23,BD2E6AAFC85BB4149A85,1574844,PAC,POLITICAL ACTION COMMITTEE,C00427435,C00427435,MAVERICK PAC USA,BEVERLY,MA,01915,MAVERICK PAC USA,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CONTRIBUTION MADE 6/24/21,CONTRIBUTIONS,,,,2021-09-28 00:00:00,-5000.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-03-20 03:35:19.376,4031920221461861665,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189493989519,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2021,M8,202108169466291708,F3X,4081720211326702053,23,BD8D5F1C8950C4AF3B0F,1534837,CCM,CAMPAIGN COMMITTEE,C00556365,C00556365,KATKO FOR CONGRESS,ALEXANDRIA,VA,22314,KATKO FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CONTRIBUTION MADE 09/25/20,CONTRIBUTIONS,,,,2021-07-27 00:00:00,-5000.00,H,HOUSE,24,H4NY24073,"KATKO, JOHN REP.",JOHN,KATKO,,REP.,,NY,NEW YORK,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:41.01,4081820211328385637,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202108169466291708,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2021,M8,202108169466291709,F3X,4081720211326702053,23,B4A1ED408CD9348D8984,1534837,PAC,POLITICAL ACTION COMMITTEE,C00543207,C00543207,BADLANDS PAC,ALEXANDRIA,VA,22313,BADLANDS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CONTRIBUTION MADE 09/25/20,CONTRIBUTIONS,,,,2021-07-27 00:00:00,-5000.00,,,,,,,,,,,,,P2020,OTHER,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:41.01,4081820211328385641,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202108169466291709,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2021,M8,202108169466291708,F3X,4081720211326702053,23,B829EDF00DD2249AD926,1534837,CCM,CAMPAIGN COMMITTEE,C00495846,C00495846,ANN WAGNER FOR CONGRESS,BALLWIN,MO,63022,ANN WAGNER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CONTRIBUTION MADE 08/31/20,CONTRIBUTIONS,,,,2021-07-27 00:00:00,-3500.00,H,HOUSE,02,H2MO02102,"WAGNER, ANN REP.",ANN,WAGNER,,REP.,,MO,MISSOURI,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:41.01,4081820211328385638,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202108169466291708,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2021,M9,202201219475075686,F3X,4012120221388948099,23,BDF707A1ACBBF489B8B2,1558089,CCM,CAMPAIGN COMMITTEE,C00721449,C00721449,JAKE AUCHINCLOSS FOR CONGRESS,NEWTONVILLE,MA,02460,JAKE AUCHINCLOSS FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CONTRIBUTION MADE 06/24/21,CONTRIBUTIONS,,,,2021-08-31 00:00:00,-3000.00,H,HOUSE,04,H0MA04192,"AUCHINCLOSS, JAKE REP.",JAKE,AUCHINCLOSS,,REP.,,MA,MASSACHUSETTS,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2022-01-23 03:32:15.281,4012220221389029197,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201219475075686,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2021,M8,202108169466291708,F3X,4081720211326702053,23,B441A616AF2C34AD99BC,1534837,CCM,CAMPAIGN COMMITTEE,C00521948,C00521948,RODNEY FOR CONGRESS,TAYLORVILLE,IL,62568,RODNEY FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CONTRIBUTION MADE 09/25/20,CONTRIBUTIONS,,,,2021-07-27 00:00:00,-3000.00,H,HOUSE,13,H2IL13120,"DAVIS, RODNEY REP.",RODNEY,DAVIS,,REP.,,IL,ILLINOIS,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:41.01,4081820211328385639,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202108169466291708,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2021,YE,202201319485714855,F3X,4013120221403741575,23,B11B1B773F2DE484094B,1564741,CCM,CAMPAIGN COMMITTEE,C00401190,C00401190,BUTTERFIELD FOR CONGRESS,RALEIGH,NC,27601,BUTTERFIELD FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CONTRIBUTION MADE 12/17/21,CONTRIBUTIONS,,,,2021-12-31 00:00:00,-2500.00,H,HOUSE,01,H4NC01046,"BUTTERFIELD, G.K. REP. JR.",G.K.,BUTTERFIELD,,REP.,JR.,NC,NORTH CAROLINA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-12 03:35:57.988,4021120221407385966,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485714855,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2022,YE,202303069578972907,F3X,4030620231733291011,23,BDB259901F4144227837,1692065,CCM,CAMPAIGN COMMITTEE,C00662601,C00662601,LANCE GOODEN FOR CONGRESS COMMITTEE,TERRELL,TX,75160,LANCE GOODEN FOR CONGRESS COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CONTRIBUTION MADE 09/27/22,CONTRIBUTIONS,,,,2022-12-02 00:00:00,-2500.00,H,HOUSE,05,H8TX05144,"GOODEN, LANCE REP.",LANCE,GOODEN,,REP.,,TX,TEXAS,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-03-08 03:36:06,4030720231734120002,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202303069578972907,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2022,M7,202207189522171726,F3X,4071820221540842189,23,B42ED6672CB07423F83C,1616648,CCM,CAMPAIGN COMMITTEE,C00473827,C00473827,FRIENDS OF MIKE LEE INC,PROVO,UT,84110,FRIENDS OF MIKE LEE INC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CONTRIBUTION MADE 05/24/22,CONTRIBUTIONS,,,,2022-06-20 00:00:00,-2500.00,S,SENATE,,S0UT00165,"LEE, MIKE SEN.",MIKE,LEE,,SEN.,,UT,UTAH,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-28 03:35:36.536,4072720221552945408,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207189522171726,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00388827,ROCK HOLDINGS INC. PAC,2021,M8,202108169466291707,F3X,4081720211326702053,23,BF8CBAF23BA1D434DA4F,1534837,CCM,CAMPAIGN COMMITTEE,C00346080,C00346080,CLAY JR. FOR CONGRESS,ST. LOUIS,MO,63108,CLAY JR. FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CONTRIBUTION MADE 7/31/20,CONTRIBUTIONS,,,,2021-07-27 00:00:00,-2500.00,H,HOUSE,01,H0MO01066,"CLAY, WM. LACY REP.",WM. LACY,CLAY,,REP.,,MO,MISSOURI,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-08-18 04:52:41.009,4081820211328385634,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202108169466291707,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
