committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2022,M5,202205209512420933,F3X,4052020221492737090,23,BA44D4118CD99405D8CE,1596063,PAC,POLITICAL ACTION COMMITTEE,C00439521,C00439521,AMERICAN SECURITY PAC,ALEXANDRIA,AL,36250,AMERICAN SECURITY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 3/13/2020 CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-04-15 00:00:00,-5000.00,,,,,,,,,,,,,P2020,OTHER,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-21 03:35:58.468,4052020221492783751,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512420933,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2022,M5,202205209512420933,F3X,4052020221492737090,23,B8C51EF28BDE241D1BF6,1596063,PAC,POLITICAL ACTION COMMITTEE,C00634436,C00634436,GOLDEN RULE PAC,WASHINGTON,DC,20003,GOLDEN RULE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 5/26/2021 POLITICAL CONTRIBUTION,CONTRIBUTIONS,,,,2022-04-15 00:00:00,-5000.00,,,,,,,,,,,,,P2021,OTHER,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-21 03:35:58.468,4052020221492783752,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512420933,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2021,MY,202107239451971505,F3X,4072420211322496031,23,BCD6E82E91DB84A8B92A,1530116,CCM,CAMPAIGN COMMITTEE,C00581074,C00581074,DARREN SOTO FOR CONGRESS,KISSIMMEE,FL,347420239,DARREN SOTO FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 4.27.21 POLITICAL CONTRIBUTION,CONTRIBUTIONS,,,,2021-05-14 00:00:00,-5000.00,H,HOUSE,09,H6FL09179,"SOTO, DARREN",DARREN,SOTO,,,,FL,FLORIDA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-24 04:53:18.692,4072420211322824159,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107239451971505,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2021,MY,202107239451971510,F3X,4072420211322496031,23,B1E95D56C320A424E8B9,1530116,CCM,CAMPAIGN COMMITTEE,C00638650,C00638650,HALEY STEVENS FOR CONGRESS,BIRMINGHAM,MI,480090913,HALEY STEVENS FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 4.27.21 POLITICAL CONTRIBUTION,CONTRIBUTIONS,,,,2021-05-14 00:00:00,-5000.00,H,HOUSE,11,H8MI11254,"STEVENS, HALEY",HALEY,STEVENS,,,,MI,MICHIGAN,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-24 04:53:18.693,4072420211322824173,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107239451971510,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2021,MY,202107239451971510,F3X,4072420211322496031,23,BEEDD961333124429B10,1530116,CCM,CAMPAIGN COMMITTEE,C00638650,C00638650,HALEY STEVENS FOR CONGRESS,BIRMINGHAM,MI,480090913,HALEY STEVENS FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 4.27.21 POLITICAL CONTRIBUTION,CONTRIBUTIONS,,,,2021-05-14 00:00:00,-5000.00,H,HOUSE,11,H8MI11254,"STEVENS, HALEY",HALEY,STEVENS,,,,MI,MICHIGAN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-24 04:53:18.694,4072420211322824175,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107239451971510,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2022,30G,202212089550416360,F3X,4120820221633586925,23,BE00350029E334CE8AC0,1670770,CCM,CAMPAIGN COMMITTEE,C00664375,C00664375,ELAINE FOR CONGRESS,VIRGINIA BEACH,VA,23466,ELAINE FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 5/27/22 POLITICAL CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-31 00:00:00,-2500.00,H,HOUSE,02,H8VA02111,"LURIA, ELAINE REP.",ELAINE,LURIA,,REP.,,VA,VIRGINIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-16 03:36:17,4011520231698280526,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550416360,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2022,30G,202212089550416365,F3X,4120820221633586925,23,B98D31E13FCB44BC985E,1670770,CCM,CAMPAIGN COMMITTEE,C00477240,C00477240,MORGAN GRIFFITH FOR CONGRESS,CHRISTIANSBURG,VA,24068,MORGAN GRIFFITH FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 10/20/22 CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-11-02 00:00:00,-2500.00,H,HOUSE,09,H0VA09055,"GRIFFITH, MORGAN REP.",MORGAN,GRIFFITH,,REP.,,VA,VIRGINIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-16 03:36:17,4011520231698280542,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550416365,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2022,M3,202203189493987221,F3X,4031820221460873004,23,B8A022D9573D94541952,1574768,CCM,CAMPAIGN COMMITTEE,C00474189,C00474189,MIKE KELLY FOR CONGRESS,LYNDORA,PA,16045,MIKE KELLY FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - CONTRIBUTION TO CANDIDATE COMMITTEE,CONTRIBUTIONS,,,,2022-02-23 00:00:00,-2500.00,H,HOUSE,16,H0PA03271,"KELLY, GEORGE J JR",GEORGE,KELLY,J,,JR,PA,PENNSYLVANIA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-19 03:35:06.381,4031820221460922379,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189493987221,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2021,MY,202107239451971503,F3X,4072420211322496031,23,B5230718E0ECA436A838,1530116,CCM,CAMPAIGN COMMITTEE,C00373001,C00373001,CITIZENS FOR TURNER,DAYTON,OH,454021603,CITIZENS FOR TURNER,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 4.27.21 POLITICAL CONTRIBUTION,CONTRIBUTIONS,,,,2021-05-14 00:00:00,-2500.00,H,HOUSE,10,H2OH03067,"TURNER, MICHAEL R",MICHAEL,TURNER,R,,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-24 04:53:18.691,4072420211322824153,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107239451971503,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00411116,SPACE EXPLORATION TECHNOLOGIES CORP. PAC,2021,MY,202107239451971521,F3X,4072420211322496031,23,B9B4D03F5E72F40CCBFD,1530116,CCM,CAMPAIGN COMMITTEE,C00238907,C00238907,THE REED COMMITTEE,CRANSTON,RI,029200628,THE REED COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 4.27.21 POLITICAL CONTRIBUTION,CONTRIBUTIONS,,,,2021-05-14 00:00:00,-2500.00,S,SENATE,,S6RI00163,"REED, JOHN F",JOHN,REED,F,,,RI,RHODE ISLAND,P2026,,PRIMARY,2026,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-24 04:53:18.696,4072420211322824206,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107239451971521,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
