committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2022,M8,202208199525677880,F3X,4082020221565600000,23,EC83B47DD09CB262BE8,1626195,CCM,CAMPAIGN COMMITTEE,C00614214,C00614214,BERGMAN FOR CONGRESS,ACME,MI,49610,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY CONTRIBUTION (REDESIGNATED TO GENERAL 2022),CONTRIBUTIONS,,,REDESIGNATED TO GENERAL PER CAMPAIGN REQUEST.,2022-07-29 00:00:00,-4500.00,H,HOUSE,01,H6MI01226,"BERGMAN, JACK",JACK,BERGMAN,,,,MI,MICHIGAN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-21 03:35:44.741,4082020221565688647,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525677880,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2021,M12,202112139469844111,F3X,4121520211385978009,23,2DA270FEA376BA9A3FC,1551558,CCM,CAMPAIGN COMMITTEE,C00438697,C00438697,LATTA FOR CONGRESS,BOWLING GREEN,OH,434020106,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK - 2022 PRIMARY CONTRIBUTION - LOST,CONTRIBUTIONS,,,,2021-11-10 00:00:00,-2500.00,H,HOUSE,05,H8OH05036,"LATTA, ROBERT E.",ROBERT,LATTA,E.,,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-12-15 03:49:22.439,4121520211386011160,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202112139469844111,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2021,M7,202107199451708519,F3X,4072020211321090159,23,7F414E8D9679B4FE273,1528590,CCM,CAMPAIGN COMMITTEE,C00213512,C00213512,NANCY PELOSI FOR CONGRESS,WASHINGTON,DC,20005,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY CONTRIBUTION ISSUED 04/29/21 - CHECK LOST,CONTRIBUTIONS,,,,2021-06-29 00:00:00,-2000.00,H,HOUSE,12,H8CA05035,"PELOSI, NANCY",NANCY,PELOSI,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-22 04:54:04.38,4072220211322025923,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107199451708519,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2021,M2,202102179428287576,F3X,4021720211155898156,23,A3692733DB087EC5748,1500460,PAC,POLITICAL ACTION COMMITTEE,C00440032,C00440032,PROMOTING OUR REPUBLICAN TEAM PAC,CINCINNATI,OH,452442768,PROMOTING OUR REPUBLICAN TEAM PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID 2020 CONTRIBUTION ISSUED 12/09/2020 - CHECK RETURNED BY RECIPIENT,CONTRIBUTIONS,,,,2021-01-31 00:00:00,-1000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-02-26 03:53:00.865,4022620211189800008,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202102179428287576,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2021,M3,202103159440483600,F3X,4031520211255868065,23,97FA4CD9010DE9AACA1,1504074,PAC,POLITICAL ACTION COMMITTEE,C00235655,C00235655,BLUEGRASS COMMITTEE,ALEXANDRIA,VA,22314,BLUEGRASS COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID STALE DATE 2020 CONTRIBUTION ISSUED 06/22/30 - CHECK NOT CASHED,CONTRIBUTIONS,,,,2021-02-28 00:00:00,-1000.00,,,,,,,,,,,,,02020,CONTRIBUTION,FOR 2000,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-16 04:15:03.441,4031520211256485279,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103159440483600,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2021,M3,202103159440483605,F3X,4031520211255868065,23,AD76CA08B7EB1046472,1504074,CCM,CAMPAIGN COMMITTEE,C00527457,C00527457,FRIENDS OF DAVE JOYCE,DUBLIN,OH,430178914,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID STALE DATE GENERAL 2020 CONTRIBUTION ISSUED 06/22/20 - CHECK NOT CASHED,CONTRIBUTIONS,,,,2021-02-28 00:00:00,-1000.00,H,HOUSE,14,H2OH14064,"JOYCE, DAVID PATRICK",DAVID,JOYCE,PATRICK,,,OH,OHIO,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-16 04:15:03.446,4031520211256485294,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103159440483605,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2021,M3,202103159440483608,F3X,4031520211255868065,23,BB80AC30B50C4263149,1504074,CCM,CAMPAIGN COMMITTEE,C00648915,C00648915,KENDRA HORN FOR CONGRESS,OKLAHOMA CITY,OK,73154,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID STALE DATE GENERAL 2020 CONTRIBUTION ISSUED 10/29/20 - CHECK NOT CASHED,CONTRIBUTIONS,,,,2021-02-28 00:00:00,-1000.00,H,HOUSE,05,H8OK05109,"HORN, KENDRA S.",KENDRA,HORN,S.,,,OK,OKLAHOMA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-16 04:15:03.451,4031520211256485303,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103159440483608,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2022,M8,202208199525677886,F3X,4082020221565600000,23,61AD7CBDD45D5C22660,1626195,CCM,CAMPAIGN COMMITTEE,C00694778,C00694778,NICOLE FOR NEW YORK,STATEN ISLAND,NY,10306,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID CHECK -ISSUED 03/18/22 - LOST - 2022 PRIMARY CONTRIBUTION,CONTRIBUTIONS,,,,2022-07-29 00:00:00,-1000.00,H,HOUSE,11,H0NY11078,"MALLIOTAKIS, NICOLE",NICOLE,MALLIOTAKIS,,,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-21 03:35:44.744,4082020221565688665,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208199525677886,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2021,YE,202201229475079969,F3X,4012220221389012012,23,V31DED1506F3D00F9133,1558216,ORG,ORGANIZATION,C00670547,C00670547,REID POLITICAL CONSULTING LLC,ALEXANDRIA,VA,22302,ARMSTRONG FOR CONGRESS,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: EVENT COORDINATION,OTHER,,,IN-KIND,2021-12-02 00:00:00,500.00,H,HOUSE,01,H8ND00096,"ARMSTRONG, KELLY M.",KELLY,ARMSTRONG,M.,,,ND,NORTH DAKOTA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-23 03:32:15.36,4012220221389029672,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201229475079969,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00361758,"T-MOBILE US, INC.  POLITICAL ACTION COMMITTEE (T-PAC)",2021,YE,202201229475079969,F3X,4012220221389012012,23,V990802357C78A742535,1558216,ORG,ORGANIZATION,C00610212,C00610212,REID POLITICAL CONSULTING LLC,ALEXANDRIA,VA,22302,MIKE GALLAGHER FOR WISCONSIN,,24Z,IN-KIND CONTRIBUTION MADE TO REGISTERED FILER,IN-KIND: EVENT COORDINATION,OTHER,,,IN-KIND,2021-12-02 00:00:00,500.00,H,HOUSE,08,H6WI08155,"GALLAGHER, MICHAEL JOHN",MICHAEL,GALLAGHER,JOHN,,,WI,WISCONSIN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-23 03:32:15.36,4012220221389029673,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201229475079969,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
