committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2022,YE,202301319575332931,F3X,4013120231721276838,23,840D56AE9BD5570747B,1684073,PAC,POLITICAL ACTION COMMITTEE,C00545236,C00545236,NEW VOICE PAC,COLUMBUS,OH,43215,NEW VOICE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/14/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-11-29 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722245862,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575332931,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2022,YE,202301319575332932,F3X,4013120231721276838,23,29856C2B7FF83DE2BA4,1684073,CCM,CAMPAIGN COMMITTEE,C00677492,C00677492,"SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC",SUNRISE,FL,33351,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/24/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-12-31 00:00:00,-1000.00,H,HOUSE,20,H8FL20032,"CHERFILUS-MCCORMICK, SHEILA",SHEILA,CHERFILUS-MCCORMICK,,,,FL,FLORIDA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722245865,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575332932,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2021,YE,202201319485163206,F3X,4013120221403740466,23,58DFD9982186F87D3F3,1562872,CCM,CAMPAIGN COMMITTEE,C00410761,C00410761,CASTOR FOR CONGRESS,TAMPA,FL,33606,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/22/20 DISBURSEMENT,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-1000.00,H,HOUSE,14,H6FL11126,"CASTOR, KATHERINE ANNE",KATHERINE,CASTOR,ANNE,,,FL,FLORIDA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-10 03:50:51.348,4020920221406089869,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485163206,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2021,YE,202201319485163209,F3X,4013120221403740466,23,697447DB5232B1241FC,1562872,CCM,CAMPAIGN COMMITTEE,C00371203,C00371203,JOHN CARTER FOR CONGRESS,ROUND ROCK,TX,78665,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/18/20 DISBURSEMENT,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-1000.00,H,HOUSE,31,H2TX31044,"CARTER, JOHN R.",JOHN,CARTER,R.,,,TX,TEXAS,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-10 03:50:51.349,4020920221406089876,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485163209,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2021,YE,202201319485163209,F3X,4013120221403740466,23,EA358CE2406B3BCB0FD,1562872,CCM,CAMPAIGN COMMITTEE,C00476820,C00476820,JOHNSON FOR CONGRESS,MARIETTA,OH,45750,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/2/20 DISBURSEMENT,CONTRIBUTIONS,,,,2021-11-30 00:00:00,-1000.00,H,HOUSE,06,H0OH06189,"JOHNSON, BILL L.",BILL,JOHNSON,L.,,,OH,OHIO,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-10 03:50:51.349,4020920221406089877,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485163209,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2021,YE,202201319485163213,F3X,4013120221403740466,23,08D7DE70BC90AE8D4C7,1562872,CCM,CAMPAIGN COMMITTEE,C00458976,C00458976,TERRI SEWELL FOR CONGRESS,BIRMINGHAM,AL,35201,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/10/21 DISBURSEMENT,CONTRIBUTIONS,,,,2021-12-15 00:00:00,-1000.00,H,HOUSE,07,H0AL07086,"SEWELL, TERRI ANDREA",TERRI,SEWELL,ANDREA,,,AL,ALABAMA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-10 03:50:51.35,4020920221406089889,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485163213,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2021,YE,202201319485163213,F3X,4013120221403740466,23,FD32612A93762EDFE44,1562872,CCM,CAMPAIGN COMMITTEE,C00458976,C00458976,TERRI SEWELL FOR CONGRESS,BIRMINGHAM,AL,35201,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 3/11/21 DISBURSEMENT,CONTRIBUTIONS,,,,2021-12-15 00:00:00,-1000.00,H,HOUSE,07,H0AL07086,"SEWELL, TERRI ANDREA",TERRI,SEWELL,ANDREA,,,AL,ALABAMA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-10 03:50:51.35,4020920221406089890,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485163213,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2022,M4,202204209500141596,F3X,4042020221470986614,23,0C7EB5182360467F5FA,1589331,CCM,CAMPAIGN COMMITTEE,C00706267,C00706267,ASHLEY HINSON FOR CONGRESS,MARION,IA,52302,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/28/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-03-16 00:00:00,-1000.00,H,HOUSE,02,H0IA01174,"HINSON, ASHLEY",ASHLEY,HINSON,,,,IA,IOWA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:10.238,4050420221474457195,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500141596,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2022,M7,202207209522241574,F3X,4072020221541753334,23,47FA43FD8B4C5FAA486,1617665,CCM,CAMPAIGN COMMITTEE,C00226928,C00226928,PALLONE FOR CONGRESS,LONG BRANCH,NJ,07740,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 5/19/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-06-27 00:00:00,-1000.00,H,HOUSE,06,H8NJ03073,"PALLONE, FRANK JR.",FRANK,PALLONE,,,JR.,NJ,NEW JERSEY,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-26 04:30:35.487,4072520221551550228,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522241574,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00542365,"TOYOTA MOTOR NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (TOYOTA/LEXUS PAC)",2022,M10,202210209537623323,F3X,4102020221589932127,23,401A1BCCE791A60D96E,1644824,CCM,CAMPAIGN COMMITTEE,C00359034,C00359034,GRAVES FOR CONGRESS,PLATTE CITY,MO,64079,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/28/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-09-08 00:00:00,-1000.00,H,HOUSE,06,H0MO06073,"GRAVES, SAMUEL BRUCE JR.",SAMUEL,GRAVES,BRUCE,,JR.,MO,MISSOURI,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-16 04:06:44,4111520221629533417,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537623323,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
