committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2021,MY,202107269451987010,F3X,4072720211322875069,23,B780990,1530432,CCM,CAMPAIGN COMMITTEE,C00718866,C00718866,JON OSSOFF FOR SENATE,ATLANTA,GA,31145,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,VOIDED: ORIGINAL CHECK DATED 11/09/20,2021-05-31 00:00:00,-5000.00,S,SENATE,,S8GA00180,"OSSOFF, JON",JON,OSSOFF,,,,GA,GEORGIA,P2020,SPECIAL GENERAL,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-29 04:52:38.546,4072920211323319073,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107269451987010,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2021,YE,202201279475196906,F3X,4012720221403312083,23,B793042,1559877,CCM,CAMPAIGN COMMITTEE,C00308742,C00308742,SHERMAN FOR CONGRESS,LOS ANGELES,CA,90017,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-08-24 00:00:00,1000.00,H,HOUSE,30,H6CA24113,"SHERMAN, BRAD",BRAD,SHERMAN,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-28 03:50:16.37,4012720221403411520,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475196906,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2021,YE,202201279475196907,F3X,4012720221403312083,23,B796244,1559877,CCM,CAMPAIGN COMMITTEE,C00781443,C00781443,BRITT FOR ALABAMA INC.,MONTGOMERY,AL,36109,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-09-23 00:00:00,1000.00,S,SENATE,,S2AL00145,"BRITT, KATIE",KATIE,BRITT,,,,AL,ALABAMA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-28 03:50:16.37,4012720221403411523,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475196907,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2021,YE,202201279475196911,F3X,4012720221403312083,23,B804733,1559877,PAC,POLITICAL ACTION COMMITTEE,C00450072,C00450072,WEST VIRGINIA BANKERS ASSOCIATION PAC,CHARLESTON,WV,25304,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-11-09 00:00:00,1000.00,,,,,,,,,,,,,P2021,NOT APPLICABLE,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-01-28 03:50:16.371,4012720221403411537,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201279475196911,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2022,Q1,202204139496084606,F3X,4041320221470641266,23,B812845,1581221,CCM,CAMPAIGN COMMITTEE,C00461822,C00461822,CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE,CHATTANOOGA,TN,37401,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-03-07 00:00:00,1000.00,H,HOUSE,03,H0TN03254,"FLEISCHMANN, CHUCK",CHUCK,FLEISCHMANN,,,,TN,TENNESSEE,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-14 10:59:50.999,4041320221470735646,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496084606,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2022,12P,202207069517819877,F3X,4070620221539488069,23,B818972,1606877,CCM,CAMPAIGN COMMITTEE,C00308742,C00308742,SHERMAN FOR CONGRESS,LOS ANGELES,CA,90017,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-20 00:00:00,1000.00,H,HOUSE,32,H6CA24113,"SHERMAN, BRAD",BRAD,SHERMAN,,,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-07 03:34:34.879,4070620221539507319,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207069517819877,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2021,MY,202107269451987006,F3X,4072720211322875069,23,B785670,1530432,CCM,CAMPAIGN COMMITTEE,C00255562,C00255562,FRIENDS OF JIM CLYBURN,COLUMBIA,SC,29211,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-03-19 00:00:00,1000.00,H,HOUSE,06,H2SC02042,"CLYBURN, JAMES E",JAMES,CLYBURN,E,,,SC,SOUTH CAROLINA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-29 04:52:38.545,4072920211323319061,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107269451987006,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2021,MY,202107269451987007,F3X,4072720211322875069,23,B786359,1530432,CCM,CAMPAIGN COMMITTEE,C00540302,C00540302,TIM SCOTT FOR US SENATE,CHARLESTON,SC,29407,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2021-03-31 00:00:00,1000.00,S,SENATE,,S4SC00240,"SCOTT, TIM",TIM,SCOTT,,,,SC,SOUTH CAROLINA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-29 04:52:38.545,4072920211323319065,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107269451987007,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2022,Q1,202204139496084608,F3X,4041320221470641266,23,B813179,1581221,CCM,CAMPAIGN COMMITTEE,C00540302,C00540302,TIM SCOTT FOR US SENATE,CHARLESTON,SC,29407,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-03-15 00:00:00,1500.00,S,SENATE,,S4SC00240,"SCOTT, TIM",TIM,SCOTT,,,,SC,SOUTH CAROLINA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-04-14 10:59:50.999,4041320221470735652,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204139496084608,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00386524,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",2022,12P,202207069517819877,F3X,4070620221539488069,23,B818964,1606877,CCM,CAMPAIGN COMMITTEE,C00308742,C00308742,SHERMAN FOR CONGRESS,LOS ANGELES,CA,90017,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-20 00:00:00,1500.00,H,HOUSE,32,H6CA24113,"SHERMAN, BRAD",BRAD,SHERMAN,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-07 03:34:34.884,4070620221539507320,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207069517819877,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
