committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,30G,202212089547683020,F3X,4120820221633585726,23,DA09EB7C7FDFFEA9A83,1669159,CCM,CAMPAIGN COMMITTEE,C00662601,C00662601,LANCE GOODEN FOR CONGRESS COMMITTEE,TERRELL,TX,75160,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 9/16/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-11-03 00:00:00,-5000.00,H,HOUSE,05,H8TX05144,"GOODEN, LANCE",LANCE,GOODEN,,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-13 04:11:25,4011220231691118186,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547683020,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,30G,202212089547683022,F3X,4120820221633585726,23,CB0A64EBE908B118F17,1669159,CCM,CAMPAIGN COMMITTEE,C00606939,C00606939,ROSEN FOR NEVADA,LAS VEGAS,NV,89126,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/28/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-11-22 00:00:00,-5000.00,S,SENATE,,S8NV00156,"ROSEN, JACKY",JACKY,ROSEN,,,,NV,NEVADA,P2024,,PRIMARY,2024,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-13 04:11:25,4011220231691118191,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547683022,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,M3,202203189493993122,F3X,4031820221460873128,23,6CE8C624CCB01B83011,1574927,PAC,POLITICAL ACTION COMMITTEE,C00549014,C00549014,HUDSON VALLEY PAC,WASHINGTON,DC,20003,HUDSON VALLEY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/28/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-02-02 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-19 03:35:15.206,4031820221460923264,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189493993122,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2021,M4,202104209444026652,F3X,4042120211278480415,23,7AD20C08C21B3DA7C52,1513856,PAC,POLITICAL ACTION COMMITTEE,C00750539,C00750539,THE VOLUNTEER PAC,BRENTWOOD,TN,37024,THE VOLUNTEER PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2020 CONTRIBUTION AS REPORTED ON YE FEC REPORT,CONTRIBUTIONS,X,,,2020-12-30 00:00:00,-5000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-04-26 05:14:18.426,4042520211279064902,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202104209444026652,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,M6,202206179515010925,F3X,4061720221530229553,23,6D4C28C0E47005DAD40,1603443,PAC,POLITICAL ACTION COMMITTEE,C00363648,C00363648,FIRST STATE PAC,WASHINGTON,DC,20005,FIRST STATE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/28/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-05-17 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-23 03:34:19.624,4062220221530773444,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206179515010925,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2021,M7,202107209451779336,F3X,4072120211321224264,23,FB10057E75D6C4AD89D,1529092,CCM,CAMPAIGN COMMITTEE,C00654079,C00654079,ANTHONY GONZALEZ FOR CONGRESS,DUBLIN,OH,430178914,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"VOID 05-06-21 CONTRIBUTION, 2022 PRIMARY",CONTRIBUTIONS,,,,2021-06-29 00:00:00,-5000.00,H,HOUSE,16,H8OH16124,"GONZALEZ, ANTHONY E.",ANTHONY,GONZALEZ,E.,,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-07-27 07:01:39.741,4072720211322947618,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202107209451779336,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,M8,202208189525521821,F3X,4081820221565084154,23,85C78C1FD04FF83A9E0,1625087,CCM,CAMPAIGN COMMITTEE,C00632828,C00632828,CLAUDIA TENNEY FOR CONGRESS,CLINTON,NY,13323,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/27/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-07-29 00:00:00,-5000.00,H,HOUSE,24,H4NY22051,"TENNEY, CLAUDIA",CLAUDIA,TENNEY,,,,NY,NEW YORK,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-08-19 03:36:18.916,4081820221565460853,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202208189525521821,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2021,M9,202109209466816861,F3X,4092120211371134279,23,9839BA9582565785B57,1539008,PAC,POLITICAL ACTION COMMITTEE,C00436022,C00436022,MODERATE DEMOCRATS PAC,WASHINGTON,DC,20024,MODERATE DEMOCRATS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"VOID 06-07-2021 CONTRIBUTION, 2021 CONTRIBUTION",CONTRIBUTIONS,,,,2021-08-05 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-09-23 03:53:38.245,4092320211371923416,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466816861,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2021,M9,202109209466816861,F3X,4092120211371134279,23,8A355AC2F9A6DC2AA97,1539008,PAC,POLITICAL ACTION COMMITTEE,C00403592,C00403592,NARRAGANSETT BAY PAC,CRANSTON,RI,02920,NARRAGANSETT BAY PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"VOID 06-07-2021 CONTRIBUTION, 2021 CONTRIBUTION",CONTRIBUTIONS,,,,2021-08-05 00:00:00,-5000.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-09-23 03:53:38.246,4092320211371923418,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466816861,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,M10,202210209537702138,F3X,4102020221589932522,23,C7B3BECF0824688AC5F,1645275,PAC,POLITICAL ACTION COMMITTEE,C00708636,C00708636,HOULAPAC,WASHINGTON,DC,20035,HOULAPAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/27/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-09-13 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-19 04:06:21,4111820221630363735,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537702138,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,30G,202212089547683023,F3X,4120820221633585726,23,0FB0AF7E3D30743A4D9,1669159,CCM,CAMPAIGN COMMITTEE,C00660555,C00660555,SYLVIA GARCIA FOR CONGRESS,HOUSTON,TX,77249,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/12/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-11-03 00:00:00,-2500.00,H,HOUSE,29,H8TX29052,"GARCIA, SYLVIA R.",SYLVIA,GARCIA,R.,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-13 04:11:25,4011220231691118193,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547683023,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,M3,202203189493993125,F3X,4031820221460873128,23,7A073224B0EB7266612,1574927,CCM,CAMPAIGN COMMITTEE,C00457556,C00457556,QUIGLEY FOR CONGRESS,CHICAGO,IL,60614,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/17/2021 CONTRIBUTION,CONTRIBUTIONS,,,,2022-02-28 00:00:00,-2500.00,H,HOUSE,05,H0IL05096,"QUIGLEY, MICHAEL",MICHAEL,QUIGLEY,,,,IL,ILLINOIS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-19 03:35:15.21,4031820221460923273,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189493993125,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,M7,202207199522187088,F3X,4071920221541689200,23,CDE27FE03629AB61465,1617032,CCM,CAMPAIGN COMMITTEE,C00506832,C00506832,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,FORT WORTH,TX,76105,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 3/30/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-06-16 00:00:00,-2500.00,H,HOUSE,33,H2TX33073,"VEASEY, MARC A.",MARC,VEASEY,A.,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:12.732,4072820221553301044,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207199522187088,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,M10,202210209537702152,F3X,4102020221589932522,23,39997D6D3D11BE8F155,1645275,CCM,CAMPAIGN COMMITTEE,C00660555,C00660555,SYLVIA GARCIA FOR CONGRESS,HOUSTON,TX,77249,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/27/2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-09-13 00:00:00,-2500.00,H,HOUSE,29,H8TX29052,"GARCIA, SYLVIA R.",SYLVIA,GARCIA,R.,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-19 04:06:21,4111820221630363778,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537702152,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,M7,202207199522187083,F3X,4071920221541689200,23,294F83C1C5445EA9A9D,1617032,CCM,CAMPAIGN COMMITTEE,C00395848,C00395848,CLEAVER FOR CONGRESS,KANSAS CITY,MO,64141,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-06-27 00:00:00,500.00,H,HOUSE,05,H4MO05234,"CLEAVER, EMANUEL II",EMANUEL,CLEAVER,,,II,MO,MISSOURI,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-29 03:36:12.733,4072820221553301030,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207199522187083,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2022,30G,202212089547683019,F3X,4120820221633585726,23,88E5D0CB5D09091F958,1669159,CCM,CAMPAIGN COMMITTEE,C00461061,C00461061,BERA FOR CONGRESS,ELK GROVE,CA,95758,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-10-28 00:00:00,1000.00,H,HOUSE,06,H0CA03078,"BERA, AMERISH B.",AMERISH,BERA,B.,,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-13 04:11:25,4011220231691118182,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547683019,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00012245,UBS AMERICAS INC. POLITICAL ACTION COMMITTEE (UBS PAC),2021,YE,202201319485204531,F3X,4013120221403740613,23,9B2064802C0D08480E3,1563111,CCM,CAMPAIGN COMMITTEE,C00629659,C00629659,JIMMY GOMEZ FOR CONGRESS,LOS ANGELES,CA,90017,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-12-17 00:00:00,1000.00,H,HOUSE,34,H8CA34266,"GOMEZ, JIMMY",JIMMY,GOMEZ,,,,CA,CALIFORNIA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-11 03:33:55.409,4021020221406500165,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485204531,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
