committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2021,YE,202201319485557910,F3X,4013120221403741324,23,46985104,1564355,PAC,POLITICAL ACTION COMMITTEE,C00693127,C00693127,PAC UNITATIS,ATHENS,GA,30605,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - PAC UNITATIS CHECK WRITTEN 10.13.2021,CONTRIBUTIONS,,,VOID - PAC UNITATIS CHECK WRITTEN 10.13.2021,2021-12-21 00:00:00,-5000.00,,,,,,,,,,,,,P,,PRIMARY,,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-11 03:34:17.383,4021020221406508264,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485557910,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2021,YE,202201319485557893,F3X,4013120221403741324,23,46934433,1564355,CCM,CAMPAIGN COMMITTEE,C00434191,C00434191,HIMES FOR CONGRESS,FAIRFIELD,CT,06824,HIMES FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,CONTRIBUTIONS,X,,RE-DESIGNATION ON 12/22/2021,2021-12-22 00:00:00,-2500.00,H,HOUSE,04,H8CT04172,"HIMES, JAMES REP.",JAMES,HIMES,,REP.,,CT,CONNECTICUT,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-11 03:34:17.371,4021020221406508033,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485557893,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2022,M4,202204209500141843,F3X,4042020221470986618,23,47352540,1589336,CCM,CAMPAIGN COMMITTEE,C00653634,C00653634,VAN TAYLOR CAMPAIGN,PLANO,TX,75093,VAN TAYLOR CAMPAIGN,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - VAN TAYLOR CAMPAIGN; CHECK DATED 12/17/2021,CONTRIBUTIONS,,,VOID - VAN TAYLOR CAMPAIGN; CHECK DATED 12/17/2021,2022-03-09 00:00:00,-2500.00,H,HOUSE,03,H8TX03123,"TAYLOR, NICHOLAS REP.",NICHOLAS,TAYLOR,,REP.,,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:16.943,4050420221474460718,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500141843,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2022,M6,202206209515050476,F3X,4062020221530402267,23,47629319,1604179,CCM,CAMPAIGN COMMITTEE,C00541862,C00541862,JASON SMITH FOR CONGRESS,CAPE GIRARDEAU,MO,63702,JASON SMITH FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - JASON SMITH FOR CONGRESS; CHECK DATED 06/24/2020,CONTRIBUTIONS,,,VOID - JASON SMITH FOR CONGRESS; CHECK DATED 06/24/2020,2022-05-26 00:00:00,-2500.00,H,HOUSE,08,H4MO08162,"SMITH, JASON REP.",JASON,SMITH,,REP.,,MO,MISSOURI,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-06-22 03:35:07.469,4062120221530599705,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202206209515050476,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2022,M10,202210209537725536,F3X,4102020221589932665,23,47944888,1645436,CCM,CAMPAIGN COMMITTEE,C00668491,C00668491,WILLIAM TIMMONS FOR CONGRESS,GREENVILLE,SC,29602,WILLIAM TIMMONS FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - WILLIAM TIMMONS FOR CONGRESS; CHECK DATED 12/17/2021,CONTRIBUTIONS,,,VOID - WILLIAM TIMMONS FOR CONGRESS; CHECK DATED 12/17/2021,2022-09-07 00:00:00,-2500.00,H,HOUSE,04,H8SC04250,"TIMMONS, WILLIAM R. REP. IV",WILLIAM,TIMMONS,R.,REP.,IV,SC,SOUTH CAROLINA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-19 04:06:21,4111820221630371396,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537725536,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2022,M4,202204209500141852,F3X,4042020221470986618,23,47386942,1589336,CCM,CAMPAIGN COMMITTEE,C00539866,C00539866,ROBIN KELLY FOR CONGRESS,CHICAGO,IL,60654,ROBIN KELLY FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,CONTRIBUTION,2022-03-24 00:00:00,500.00,H,HOUSE,02,H2IL02172,"KELLY, ROBIN REP.",ROBIN,KELLY,,REP.,,IL,ILLINOIS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:16.949,4050420221474460750,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500141852,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2022,M4,202204209500141875,F3X,4042020221470986618,23,47391992,1589336,CCM,CAMPAIGN COMMITTEE,C00527457,C00527457,FRIENDS OF DAVE JOYCE,DUBLIN,OH,43017,FRIENDS OF DAVE JOYCE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,CONTRIBUTION,2022-03-30 00:00:00,500.00,H,HOUSE,14,H2OH14064,"JOYCE, DAVID P REP.",DAVID,JOYCE,P,REP.,,OH,OHIO,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:16.962,4050420221474460820,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500141875,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2022,M4,202204209500141844,F3X,4042020221470986618,23,47386903,1589336,CCM,CAMPAIGN COMMITTEE,C00763649,C00763649,TROY CARTER FOR CONGRESS,NEW ORLEANS,LA,70150,TROY CARTER FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,CONTRIBUTION,2022-03-24 00:00:00,1000.00,H,HOUSE,02,H2LA02149,"CARTER, TROY REP.",TROY,CARTER,,REP.,,LA,LOUISIANA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:16.945,4050420221474460727,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500141844,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2022,M4,202204209500141852,F3X,4042020221470986618,23,47386944,1589336,CCM,CAMPAIGN COMMITTEE,C00326363,C00326363,MIKE THOMPSON FOR CONGRESS,SACRAMENTO,CA,95841,MIKE THOMPSON FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,CONTRIBUTION,2022-03-24 00:00:00,1000.00,H,HOUSE,04,H8CA01109,"THOMPSON, MIKE REP.",MIKE,THOMPSON,,REP.,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-05 03:35:16.949,4050420221474460751,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500141852,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00274431,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),2022,M10,202210209537725537,F3X,4102020221589932665,23,47950612,1645436,CCM,CAMPAIGN COMMITTEE,C00330142,C00330142,LARSON FOR CONGRESS,HARTFORD,CT,06126,LARSON FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION,CONTRIBUTIONS,,,CONTRIBUTION,2022-09-12 00:00:00,1000.00,H,HOUSE,01,H8CT01046,"LARSON, JOHN B. REP.",JOHN,LARSON,B.,REP.,,CT,CONNECTICUT,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-11-19 04:06:21,4111820221630371441,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202210209537725537,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
