committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2021,M3,202103169440546717,F3X,4031720211261351098,23,52DE8AB47CCF05E7D9F,1504335,PAC,POLITICAL ACTION COMMITTEE,C00570622,C00570622,VAQUERO PAC,SAN ANTONIO,TX,78248,VAQUERO PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,ORIGINAL CHECK #12170,CONTRIBUTIONS,,,,2021-02-26 00:00:00,-5000.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-03-17 03:51:54.92,4031720211261407137,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202103169440546717,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2021,M10,202110209468051084,F3X,4102120211374312126,23,A3E6A3BD0C06D1C78BB,1545697,CCM,CAMPAIGN COMMITTEE,C00640045,C00640045,ELIZABETH PANNILL FLETCHER FOR CONGRESS,HOUSTON,TX,77098,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-09-27 00:00:00,1000.00,H,HOUSE,07,H8TX07140,"FLETCHER, ELIZABETH PANNILL",ELIZABETH,FLETCHER,PANNILL,,,TX,TEXAS,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-23 03:53:52.35,4102320211375306854,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468051084,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2021,M10,202110209468051086,F3X,4102120211374312126,23,BE026FD6511FA272500,1545697,CCM,CAMPAIGN COMMITTEE,C00446906,C00446906,KURT SCHRADER FOR CONGRESS,OREGON CITY,OR,97045,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2021-09-27 00:00:00,1000.00,H,HOUSE,05,H8OR05107,"SCHRADER, KURT",KURT,SCHRADER,,,,OR,OREGON,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-23 03:53:52.351,4102320211375306860,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468051086,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2021,M10,202110209468051087,F3X,4102120211374312126,23,46987FF3B198E414E62,1545697,CCM,CAMPAIGN COMMITTEE,C00506832,C00506832,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,FORT WORTH,TX,76105,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2021-09-27 00:00:00,1000.00,H,HOUSE,33,H2TX33073,"VEASEY, MARC A.",MARC,VEASEY,A.,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-23 03:53:52.351,4102320211375306861,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468051087,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2021,M10,202110209468051091,F3X,4102120211374312126,23,63116177F79BB043958,1545697,CCM,CAMPAIGN COMMITTEE,C00592659,C00592659,VICENTE GONZALEZ FOR CONGRESS,MCALLEN,TX,78501,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2021-09-27 00:00:00,1000.00,H,HOUSE,15,H6TX15162,"GONZALEZ, VICENTE",VICENTE,GONZALEZ,,,,TX,TEXAS,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-10-23 03:53:52.351,4102320211375306873,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468051091,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2022,M5,202205209512429966,F3X,4052020221492737213,23,9BD104188359B94798D,1596203,CCM,CAMPAIGN COMMITTEE,C00446906,C00446906,KURT SCHRADER FOR CONGRESS,OREGON CITY,OR,97045,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-04-25 00:00:00,1500.00,H,HOUSE,05,H8OR05107,"SCHRADER, KURT",KURT,SCHRADER,,,,OR,OREGON,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-05-24 03:37:12.202,4052320221492946569,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202205209512429966,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2022,30G,202212089550109561,F3X,4120820221633586499,23,8B06D7E6C6FFB903C7D,1670184,PAC,POLITICAL ACTION COMMITTEE,C00765644,C00765644,BIG IDEAS CREATE EXCELLENCE - BICE PAC,OKLAHOMA CITY,OK,73156,BIG IDEAS CREATE EXCELLENCE - BICE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-26 00:00:00,2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-14 03:36:41,4011320231698162310,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550109561,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2022,30G,202212089550109561,F3X,4120820221633586499,23,DDA27D015EA50FF9945,1670184,CCM,CAMPAIGN COMMITTEE,C00653220,C00653220,CAROL FOR CONGRESS,ALEXANDRIA,VA,22314,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-10-26 00:00:00,2500.00,H,HOUSE,01,H8WV03097,"MILLER, CAROL DEVINE",CAROL,MILLER,DEVINE,,,WV,WEST VIRGINIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-14 03:36:41,4011320231698162311,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550109561,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2022,30G,202212089550109561,F3X,4120820221633586499,23,C30FB6036CDD9C2389B,1670184,PAC,POLITICAL ACTION COMMITTEE,C00632323,C00632323,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),ALEXANDRIA,VA,22313,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-26 00:00:00,2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-14 03:36:41,4011320231698162312,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550109561,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,2022,30G,202212089550109562,F3X,4120820221633586499,23,0C6CD0BDD557BFA0CBD,1670184,CCM,CAMPAIGN COMMITTEE,C00359034,C00359034,GRAVES FOR CONGRESS,PLATTE CITY,MO,64079,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-10-26 00:00:00,2500.00,H,HOUSE,06,H0MO06073,"GRAVES, SAMUEL BRUCE JR.",SAMUEL,GRAVES,BRUCE,,JR.,MO,MISSOURI,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-14 03:36:41,4011320231698162313,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550109562,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
