committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2022,YE,202301319575330948,F3X,4013120231721276813,23,B8526924BADC2BDB986,1684040,PAC,POLITICAL ACTION COMMITTEE,C00368696,C00368696,RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC),JACKSON,MS,392050054,RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/27/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-12-09 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722244835,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575330948,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2022,M3,202203189493994666,F3X,4031820221460873149,23,30A18627EC1020E70FE,1574950,CCM,CAMPAIGN COMMITTEE,C00516666,C00516666,GRACE FOR NEW YORK,FRESH MEADOWS,NY,11365,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/29/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-02-16 00:00:00,-5000.00,H,HOUSE,06,H2NY06116,"MENG, GRACE",GRACE,MENG,,,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-03-19 03:35:15.973,4031820221460924030,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202203189493994666,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2022,M7,202207209522221750,F3X,4072020221541753101,23,178216E2E0C0A6A2BEF,1617388,PAC,POLITICAL ACTION COMMITTEE,C00165159,C00165159,REPUBLICAN MAINSTREET PARTNERSHIP PAC,WASHINGTON,DC,20003,REPUBLICAN MAINSTREET PARTNERSHIP PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/13/21 DISBURSEMENT,CONTRIBUTIONS,,,,2022-06-30 00:00:00,-5000.00,,,,,,,,,,,,,G2021,CONTRIBUTION,GENERAL,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:37:20.233,4072220221543466217,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522221750,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2021,YE,202201319485285223,F3X,4013120221403740764,23,8FE53537C7BB8820EAC,1563366,CCM,CAMPAIGN COMMITTEE,C00558213,C00558213,DEBBIE DINGELL FOR CONGRESS,DEARBORN,MI,48124,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/28/21 DISBURSEMENT,CONTRIBUTIONS,,,,2021-11-21 00:00:00,-3000.00,H,HOUSE,12,H4MI12079,"DINGELL, DEBORAH ANN",DEBORAH,DINGELL,ANN,,,MI,MICHIGAN,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-05 03:35:18.128,4020420221404999690,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485285223,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2021,YE,202201319485285247,F3X,4013120221403740764,23,479258BCDBF664D4EFD,1563366,CCM,CAMPAIGN COMMITTEE,C00714261,C00714261,SALAZAR FOR CONGRESS,CORAL GABLES,FL,33134,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/28/21 DISBURSEMENT,CONTRIBUTIONS,,,,2021-10-27 00:00:00,-3000.00,H,HOUSE,27,H8FL27185,"SALAZAR, MARIA E.",MARIA,SALAZAR,E.,,,FL,FLORIDA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-05 03:35:18.133,4020420221404999761,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485285247,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2022,YE,202301319575330941,F3X,4013120231721276813,23,5AA36DD7A28878B72C9,1684040,CCM,CAMPAIGN COMMITTEE,C00781443,C00781443,BRITT FOR ALABAMA INC,MONTGOMERY,AL,36109,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/15/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-12-31 00:00:00,-2500.00,S,SENATE,,S2AL00145,"BRITT, KATIE BOYD",KATIE,BRITT,BOYD,,,AL,ALABAMA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722244813,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575330941,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2021,YE,202201319485285232,F3X,4013120221403740764,23,F94C6283766201FDB2E,1563366,PAC,POLITICAL ACTION COMMITTEE,C00540187,C00540187,INNOVATION POLITICAL ACTION COMMITTEE,ALEXANDRIA,VA,22314,INNOVATION POLITICAL ACTION COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/29/21 DISBURSEMENT,CONTRIBUTIONS,,,,2021-12-12 00:00:00,-2500.00,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-02-05 03:35:18.13,4020420221404999717,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202201319485285232,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2022,M7,202207209522221741,F3X,4072020221541753101,23,71BC19A2E00C91DB58F,1617388,CCM,CAMPAIGN COMMITTEE,C00706788,C00706788,JACOBS FOR CONGRESS,CLARENCE,NY,14031,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 5/20/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-06-16 00:00:00,-2500.00,H,HOUSE,23,H0NY27090,"JACOBS, CHRISTOPHER L.",CHRISTOPHER,JACOBS,L.,,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-07-23 03:37:20.147,4072220221543466189,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202207209522221741,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2022,YE,202301319575330942,F3X,4013120231721276813,23,EA6AAA3C856FDF9E2F8,1684040,CCM,CAMPAIGN COMMITTEE,C00581074,C00581074,DARREN SOTO FOR CONGRESS,KISSIMMEE,FL,34742,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 8/2/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-12-15 00:00:00,-2000.00,H,HOUSE,09,H6FL09179,"SOTO, DARREN MICHAEL",DARREN,SOTO,MICHAEL,,,FL,FLORIDA,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722244818,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575330942,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00186288,"VERIZON COMMUNICATIONS, INC. POLITICAL ACTION COMMITTEE (VERIZON PAC)",2022,YE,202301319575330945,F3X,4013120231721276813,23,EFB837BD5094AC5D776,1684040,PAC,POLITICAL ACTION COMMITTEE,C00691162,C00691162,HOOSIER PAC,HUDSON,WI,54016,HOOSIER PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/15/22 DISBURSEMENT,CONTRIBUTIONS,,,,2022-12-15 00:00:00,-2000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-02-03 03:36:05,4020220231722244825,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301319575330945,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
