committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2021,M5,202105069446308059,F3X,4050820211287135019,23,53BF97B9A440061EBE9,1515340,CCM,CAMPAIGN COMMITTEE,C00547570,C00547570,PERDUE FOR SENATE,ATLANTA,GA,303552077,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"2020 RUN-OFF - ORIGINAL CHECK ISSUED 11/19/20, CHECK NEVER CLEARED",CONTRIBUTIONS,,,,2021-04-06 00:00:00,-5000.00,S,SENATE,,S4GA11285,"PERDUE, DAVID ALFRED JR.",DAVID,PERDUE,ALFRED,,JR.,GA,GEORGIA,R2020,RUNOFF,RUNOFF,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-08 04:56:30,4050820211288125945,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105069446308059,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2022,30G,202301269574978700,F3X,4012620231720554052,23,BB08481FF70844246B37,1679742,CCM,CAMPAIGN COMMITTEE,C00459297,C00459297,HUIZENGA FOR CONGRESS,ZEELAND,MI,494640254,HUIZENGA FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID OF 7/19/2022 PRIMARY CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-10-21 00:00:00,-2500.00,H,HOUSE,04,H0MI02094,"HUIZENGA, BILL REP.",BILL,HUIZENGA,,REP.,,MI,MICHIGAN,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-01-28 03:36:10,4012720231720803930,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574978700,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2021,M5,202105069446308056,F3X,4050820211287135019,23,7FB2EF82F729ACF688A,1515340,CCM,CAMPAIGN COMMITTEE,C00385773,C00385773,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,WESTON,FL,33326,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"2020 GENERAL - ORIGINAL CHECK ISSUED 10/21/20, CHECK NEVER CLEARED",CONTRIBUTIONS,,,,2021-04-06 00:00:00,-2500.00,H,HOUSE,23,H4FL20023,"WASSERMAN SCHULTZ, DEBBIE",DEBBIE,WASSERMAN SCHULTZ,,,,FL,FLORIDA,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2021-05-08 04:56:29.999,4050820211288125938,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202105069446308056,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2022,30G,202301269574978694,F3X,4012620231720554052,23,B1EFEA5812B8843EC999,1679742,CCM,CAMPAIGN COMMITTEE,C00459297,C00459297,HUIZENGA FOR CONGRESS,ZEELAND,MI,494640254,HUIZENGA FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-10-21 00:00:00,500.00,H,HOUSE,04,H0MI02094,"HUIZENGA, BILL REP.",BILL,HUIZENGA,,REP.,,MI,MICHIGAN,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-01-28 03:36:10,4012720231720803912,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574978694,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2022,YE,202301269574978959,F3X,4012620231720554053,23,B1CEE3F393F0A4A2AB7A,1679743,PAC,POLITICAL ACTION COMMITTEE,C00633156,C00633156,I GOT YOUR BACK PAC,WASHINGTON,DC,20013,I GOT YOUR BACK PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,CONTRIBUTION TO COMMITTEE,CONTRIBUTIONS,,,,2022-12-09 00:00:00,1000.00,,,,,,,,,,,,,P2022,OTHER,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2023-01-27 12:26:32,4012620231720642688,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574978959,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2022,M7,202301269574977949,F3X,4012620231720554047,23,B1B184BA551FA40E6A83,1679737,CCM,CAMPAIGN COMMITTEE,C00301838,C00301838,STEVE CHABOT FOR CONGRESS,DUBLIN,OH,430178914,STEVE CHABOT FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-06-22 00:00:00,1000.00,H,HOUSE,01,H8OH01043,"CHABOT, STEVE REP.",STEVE,CHABOT,,REP.,,OH,OHIO,G2022,,GENERAL,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-01-28 03:36:10,4012720231720803803,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574977949,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2022,M7,202301269574977950,F3X,4012620231720554047,23,BBA73E0EA455043DBBBC,1679737,CCM,CAMPAIGN COMMITTEE,C00729954,C00729954,GARBARINO FOR CONGRESS,BAYPORT,NY,11705,GARBARINO FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-06-22 00:00:00,1000.00,H,HOUSE,02,H0NY02234,"GARBARINO, ANDREW REP.",ANDREW,GARBARINO,,REP.,,NY,NEW YORK,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-01-28 03:36:10,4012720231720803804,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574977950,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2022,M7,202301269574977951,F3X,4012620231720554047,23,BAC71D134599D46E3935,1679737,CCM,CAMPAIGN COMMITTEE,C00551275,C00551275,FRENCH HILL FOR ARKANSAS,LITTLE ROCK,AR,722177800,FRENCH HILL FOR ARKANSAS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-06-07 00:00:00,1000.00,H,HOUSE,02,H4AR02141,"HILL, FRENCH REP.",FRENCH,HILL,,REP.,,AR,ARKANSAS,G2022,,GENERAL,2022,2022,C,CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-01-28 03:36:10,4012720231720803808,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574977951,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2022,M7,202301269574977952,F3X,4012620231720554047,23,B6E91A87EF41B4C06BF3,1679737,CCM,CAMPAIGN COMMITTEE,C00577353,C00577353,BARRAGAN FOR CONGRESS,SAN PEDRO,CA,907315324,BARRAGAN FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 GENERAL,CONTRIBUTIONS,,,,2022-06-22 00:00:00,1000.00,H,HOUSE,44,H6CA44103,"BARRAGAN, NANETTE DIAZ REP.",NANETTE,BARRAGAN,DIAZ,REP.,,CA,CALIFORNIA,G2022,,GENERAL,2022,2022,C,CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-01-28 03:36:10,4012720231720803810,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574977952,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
C00365122,"VISA, INC. POLITICAL ACTION COMMITTEE",2022,M7,202301269574977952,F3X,4012620231720554047,23,B157577BB8CCB4783974,1679737,CCM,CAMPAIGN COMMITTEE,C00466482,C00466482,FAMILIES FOR JAMES LANKFORD,BETHANY,OK,730081639,FAMILIES FOR JAMES LANKFORD,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,2022 PRIMARY,CONTRIBUTIONS,,,,2022-06-07 00:00:00,1000.00,S,SENATE,,S4OK00232,"LANKFORD, JAMES SEN.",JAMES,LANKFORD,,SEN.,,OK,OKLAHOMA,P2022,,PRIMARY,2022,2022,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2023-01-28 03:36:10,4012720231720803811,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202301269574977952,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,,,,,,,,,,,Q,C,B
