committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263179,F3X,4120720221633442782,23,EBFD74DE01456DB009A,1666803,PAC,POLITICAL ACTION COMMITTEE,C00696591,C00696591,ACROSS THE AISLE PAC,WASHINGTON,DC,20003,ACROSS THE AISLE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 3/24/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548274,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263179,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263180,F3X,4120720221633442782,23,F10AFEE0F879B2ECF67,1666803,PAC,POLITICAL ACTION COMMITTEE,C00413948,C00413948,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),ALEXANDRIA,VA,22313,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 5/12/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548277,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263180,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263187,F3X,4120720221633442782,23,FDF4F5F061D45C6110D,1666803,PTY,POLITICAL PARTY COMMITTEE,C00104471,C00104471,NEW JERSEY DEMOCRATIC STATE COMMITTEE,TRENTON,NJ,08608,NEW JERSEY DEMOCRATIC STATE COMMITTEE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 3/31/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-5000.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548300,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263187,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263183,F3X,4120720221633442782,23,2FF3488D9761B838D61,1666803,PAC,POLITICAL ACTION COMMITTEE,C00570945,C00570945,E-PAC,GLENS FALLS,NY,12801,E-PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 1/31/22 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-2500.00,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548288,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263183,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263185,F3X,4120720221633442782,23,2AD6487EECB1E517A6C,1666803,CCM,CAMPAIGN COMMITTEE,C00140715,C00140715,HOYER FOR CONGRESS,WASHINGTON,DC,20005,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/25/21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-2500.00,H,HOUSE,05,H2MD05155,"HOYER, STENY HAMILTON",STENY,HOYER,HAMILTON,,,MD,MARYLAND,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548292,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263185,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263185,F3X,4120720221633442782,23,1666DB2E19E2BC8EF82,1666803,CCM,CAMPAIGN COMMITTEE,C00140715,C00140715,HOYER FOR CONGRESS,WASHINGTON,DC,20005,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 6/25/21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-2500.00,H,HOUSE,05,H2MD05155,"HOYER, STENY HAMILTON",STENY,HOYER,HAMILTON,,,MD,MARYLAND,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548293,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263185,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263189,F3X,4120720221633442782,23,69FA78E9BFAB536BA1D,1666803,CCM,CAMPAIGN COMMITTEE,C00699744,C00699744,TORRES FOR CONGRESS,BRONX,NY,10458,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/28/20 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-2500.00,H,HOUSE,15,H0NY15160,"TORRES, RITCHIE J.",RITCHIE,TORRES,J.,,,NY,NEW YORK,G2020,,GENERAL,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548305,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263189,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263183,F3X,4120720221633442782,23,90B6C4FCDA7BAD97097,1666803,CCM,CAMPAIGN COMMITTEE,C00607838,C00607838,DREW FERGUSON FOR CONGRESS INC.,NEWNAN,GA,30271,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 12/21/21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-2000.00,H,HOUSE,03,H6GA03113,"FERGUSON, A. DREW IV",A. DREW,FERGUSON,,,IV,GA,GEORGIA,G2022,,GENERAL,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548287,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263183,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263188,F3X,4120720221633442782,23,CEA499AE7A2B1FC346F,1666803,PAC,POLITICAL ACTION COMMITTEE,C00571802,C00571802,SENSIBLE AMERICAN SOLUTIONS SUPPORTING EVERYONE PAC,HUDSON,WI,54016,SENSIBLE AMERICAN SOLUTIONS SUPPORTING EVERYONE PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 10/30/20 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-1500.00,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548303,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263188,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
C00093054,WALMART INC. PAC FOR RESPONSIBLE GOVERNMENT,2022,30G,202212079547263179,F3X,4120720221633442782,23,76DB0A3B02D76978181,1666803,CCM,CAMPAIGN COMMITTEE,C00654079,C00654079,ANTHONY GONZALEZ FOR CONGRESS,DUBLIN,OH,430178914,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,UNCASHED 8/25//21 CONTRIBUTION,CONTRIBUTIONS,,,,2022-10-25 00:00:00,-1000.00,H,HOUSE,16,H8OH16124,"GONZALEZ, ANTHONY E.",ANTHONY,GONZALEZ,E.,,,OH,OHIO,P2022,,PRIMARY,2022,2022,A,ADD,SB,ITEMIZED DISBURSEMENTS,2022-12-31 04:06:04,4123020221645548276,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202212079547263179,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,011,Political Contributions,,,,,,,,,Q,C,B
