Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
C00955369,COMMITTEE FOR A STRONGER AMERICA,http://docquery.fec.gov/cgi-bin/fecimg/?C00955369,"MCGUIRE, MIKE",,,,
C00955377,DEFEAT EVERY REPUBLICAN,http://docquery.fec.gov/cgi-bin/fecimg/?C00955377,"BROWNLEY, JULIA",,,,
C00829408,FIGHTING BACK PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00829408,"PETTERSEN, BRITTANY LOUISE MS.",31343.02,31-May-26,157485.3,186768.7
C00701680,HOPE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00701680,"NEGUSE, JOSEPH",158238.35,31-May-26,208663.6,281022.7
C00955153,FRAUD FIGHTERS PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00955153,"LE ROUX, JENNY RAE",,,,
C00955260,FROM THE BLOCK PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00955260,nan,0,30-Jun-26,0,0
C00955286,GRANITE STRONG PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00955286,"COLE, BRIAN",0,30-Jun-26,0,0
C00955005,AMERIPAC FUTURE,http://docquery.fec.gov/cgi-bin/fecimg/?C00955005,nan,,,,
C00547356,INLAND EMPIRE STRIKES PAC; THE,http://docquery.fec.gov/cgi-bin/fecimg/?C00547356,"TAKANO, MARK",3005.94,31-Mar-26,78399.4,80192.5
C00753947,LA BAMBA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00753947,"TORRES, RITCHIE",191337.03,31-Mar-26,833091.5,948033.4
C00929075,BOLDLY UPHOLDING CONSTITUTIONAL KNOWLEDGE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00929075,"BUCK, CARRIE",12571.31,30-Jun-26,7928.7,20500
C00953414,ALLIGATOR ALLEY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00953414,"ASKAR, CASEY",,,,
C00954396,END MAGA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00954396,,,,,
C00954370,HEARTLAND LEADERSHIP PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00954370,"BUTLER, BENJAMIN BEN",,,,
C00749481,RAPTOR PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00749481,"PFLUGER, AUGUST LEE II",71892.94,31-May-26,940027.1,855006.6
C00954321,DOT DOT DOT PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00954321,"POWELL, DENISE",,,,
C00954214,UNITY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00954214,"FORD, LA SHAWN K",,,,
C00954180,BUILDING AMERICA THROUGH RESPONSIBLE BELIEFS PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00954180,"REGNITZ, BARB",,,,
C00571000,TRUE NORTH PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00571000,"SULLIVAN, DAN",372472.9,31-Mar-26,526634.4,826851.7
C00884692,DEMOCRACY & FREEDOM PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00884692,"LANDSMAN, GREG",42632.26,31-May-26,38224.3,72600
C00953976,MAKING OPPORTUNITIES THROUGH ORGANIZING & REFORM,http://docquery.fec.gov/cgi-bin/fecimg/?C00953976,"GREIMEL, TIM",,,,
C00953901,THE FIGHTIN' IRISHMAN PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00953901,"GALLAGHER, JAMES",,,,
C00878389,HEAL AMERICA,http://docquery.fec.gov/cgi-bin/fecimg/?C00878389,"KENNEDY, MIKE",6578.23,30-Jun-26,31721.8,37100
C00884452,HELPING ELECT AMERICAN LEADERS PAC HEAL PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00884452,"BIGGS, SHERI",362.46,30-Jun-26,25317,18779.5
C00877506,SPACE COAST LEADERSHIP PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00877506,"HARIDOPOLOS, MIKE",26183.5,29-Apr-26,121650.1,140220.5
C00953711,13TH COLONY LEADERSHIP COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00953711,"KINGSTON, JAMES",,,,
C00721233,BEAT THE ODDS PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00721233,"LEE, SUSIE",25175.42,31-Mar-26,146311.4,155850.7
C00896092,FLORIDA LEADS,http://docquery.fec.gov/cgi-bin/fecimg/?C00896092,"MOODY, ASHLEY",767453.94,31-Mar-26,295287.2,1062741.2
C00953679,1681 PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00953679,"HARVIE, ROBERT",,,,
C00953596,"FOOD, FUEL, AND FIBER PAC",http://docquery.fec.gov/cgi-bin/fecimg/?C00953596,"SELL, TOM",,,,
C00953562,IOWA4AMERICA,http://docquery.fec.gov/cgi-bin/fecimg/?C00953562,"MCGOWAN, CHRIS",,,,
