committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2024,M4,2.02404E+17,F3X,4.04192E+18,29,88467648,1778041,ORG,ORGANIZATION,,,REPUBLICAN LIEUTENANT GOVERNORS ASSOCIATION,WASHINGTON,DC,20003,,,,,VOID - REPUBLICAN LIEUTENANT GOVERNORS ASSOCIATION; CHECK DATED 12.12.2023,OTHER,,,VOID - REPUBLICAN LIEUTENANT GOVERNORS ASSOCIATION; CHECK DATED 12.12.2023,3/12/24 0:00,-10000,,,,,,,,,,,,,,,,,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,5/15/24 3:36,4.05142E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202404199633501106,Other Disbursements,,,,,,,,12,Donations,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2024,M6,2.02406E+17,F3X,4.06202E+18,29,88761282,1791353,ORG,ORGANIZATION,,,REPUBLICAN LIEUTENANT GOVERNORS ASSOCIATION,WASHINGTON,DC,20003,,,,,VOID - REPUBLICAN LIEUTENANT GOVERNORS ASSOCIATION; CHECK DATED 03.18.2024,OTHER,,,VOID - REPUBLICAN LIEUTENANT GOVERNORS ASSOCIATION; CHECK DATED 03.18.2024,5/30/24 0:00,-10000,,,,,,,,,,,,,,,,,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,6/22/24 3:36,4.06212E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202406209649358002,Other Disbursements,,,,,,,,12,Donations,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2024,YE,2.02501E+17,F3X,4.01302E+18,23,89422059,1868523,PAC,POLITICAL ACTION COMMITTEE,C00464727,C00464727,HUSKY PAC,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - HUSKY PAC; CHECK DATED 10.25.2024,CONTRIBUTIONS,,,VOID - HUSKY PAC; CHECK DATED 10.25.2024,12/3/24 0:00,-5000,,,,H2CT02112,,,,,,,,,P,,PRIMARY,,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,1/31/25 2:36,4.01302E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202501309748177575,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,11,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2023,M6,2.02306E+17,F3X,4.06202E+18,23,87351200,1708197,PAC,POLITICAL ACTION COMMITTEE,C00413948,C00413948,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),ALEXANDRIA,VA,22313,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE; CHECK DATED 02/27/2023,CONTRIBUTIONS,,,VOID - ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE; CHECK DATED 02/27/2023,5/30/23 0:00,-5000,,,,S0AR00150,,,,,,,,,P,,PRIMARY,,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,6/21/23 3:36,4.06202E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202306209582268328,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,11,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2024,12G,2.0241E+17,F3X,4.10242E+18,23,89219644,1839503,PAC,POLITICAL ACTION COMMITTEE,C00464727,C00464727,HUSKY PAC,WASHINGTON,DC,20003,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,"REFUND FOR 08/14/2024, RECEIVED THROUGH COURTNEY FOR CONGRESS",CONTRIBUTIONS,,,"REFUND FOR 08/14/2024, RECEIVED THROUGH COURTNEY FOR CONGRESS",10/1/24 0:00,-5000,,,,H2CT02112,,,,,,,,,P,,PRIMARY,,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,12/6/24 2:36,4.12052E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202410249710409298,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,11,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2023,M4,2.02304E+17,F3X,4.04202E+18,29,87183363,1701528,PTY,POLITICAL PARTY COMMITTEE,,,COMMONWEALTH VICTORY FUND,RICHMOND,VA,23223,,,,,VOID - COMMONWEALTH VICTORY FUND - CHECK DATED 12/8/2022,OTHER,,,VOID - COMMONWEALTH VICTORY FUND - CHECK DATED 12/8/2022,3/22/23 0:00,-2500,,,,,,,,,,,,,,,,,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,4/27/23 3:37,4.04262E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202304209581187593,Other Disbursements,,,,,,,,11,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2024,M4,2.02404E+17,F3X,4.04192E+18,23,88467650,1778041,PAC,POLITICAL ACTION COMMITTEE,C00439398,C00439398,TEXAS FIRST PAC,LAREDO,TX,78040,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - TEXAS FIRST PAC; CHECK DATED 12.19.2023,CONTRIBUTIONS,,,VOID - TEXAS FIRST PAC; CHECK DATED 12.19.2023,3/12/24 0:00,-2500,,,,,,,,,,,,,P,,PRIMARY,,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,5/15/24 3:36,4.05142E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202404199633501080,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,11,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2024,M2,2.02402E+17,F3X,4.02202E+18,23,88264373,1757885,CCM,CAMPAIGN COMMITTEE,C00574889,C00574889,TAMMY FOR ILLINOIS,CHICAGO,IL,60610,TAMMY FOR ILLINOIS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - TAMMY FOR ILLINOIS; CHECK DATED 09.26.2023,CONTRIBUTIONS,,,VOID - TAMMY FOR ILLINOIS; CHECK DATED 09.26.2023,1/24/24 0:00,-2000,S,SENATE,,S6IL00292,"DUCKWORTH, TAMMY SEN.",TAMMY,DUCKWORTH,,SEN.,,IL,ILLINOIS,P2028,,PRIMARY,2028,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,2/29/24 2:36,4.02282E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202402209619841685,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,11,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2023,YE,2.02401E+17,F3X,4.01312E+18,23,87913796,1749848,CCM,CAMPAIGN COMMITTEE,C00238865,C00238865,FRIENDS OF ROSA DELAURO,NEW HAVEN,CT,6511,FRIENDS OF ROSA DELAURO,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,,CONTRIBUTIONS,X,,RE-DESIGNATION ON 12/07/2023,12/7/23 0:00,-1500,H,HOUSE,3,H0CT03072,"DELAURO, ROSA L. REP.",ROSA,DELAURO,L.,REP.,,CT,CONNECTICUT,P2024,,PRIMARY,2024,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,2/7/24 2:37,4.02062E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202401319600806919,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,11,Political Contributions,,,,,,,,,Q,C,B
C00097568,EMPLOYEES OF RTX CORPORATION POLITICAL ACTION COMMITTEE,2023,M10,2.0231E+17,F3X,4.10202E+18,23,87784235,1733081,CCM,CAMPAIGN COMMITTEE,C00665638,C00665638,YOUNG KIM FOR CONGRESS,ANAHEIM,CA,92817,YOUNG KIM FOR CONGRESS,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOID - YOUNG KIM FOR CONGRESS; CHECK DATED 06/13/2023,CONTRIBUTIONS,,,VOID - YOUNG KIM FOR CONGRESS; CHECK DATED 06/13/2023,9/14/23 0:00,-1500,H,HOUSE,40,H8CA39240,"KIM, YOUNG REP.",YOUNG,KIM,,REP.,,CA,CALIFORNIA,P2024,,PRIMARY,2024,2024,A,ADD,SB,ITEMIZED DISBURSEMENTS,10/31/23 3:36,4.10302E+18,,,,0,https://docquery.fec.gov/cgi-bin/fecimg/?202310209598740469,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,,,11,Political Contributions,,,,,,,,,Q,C,B
